Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"#LIVEFORLOVE Campaign for UK Food Banks","London, Greater London, United Kingdom",https://www.gofundme.com/f/LIVEFORLOVEUK,34070,50000,2020-05-16T18:50:17.0000000-05:00,03/19/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",1000,"#LIVEFORLOVE 

During COVID- 19 we are asking musicians, artists, DJs, Producers to live stream for love. During this difficult time, now more than ever there are people that are desperately relying on Food Banks across the UK. 

The Trussell Trust support a nationwide network of food banks and provide emergency food and support to people locked in poverty. 

In the UK, more than 14 million people are living in poverty – including 4.5 million children. The Trussell Trust support more than 1,200 food bank centres to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face.

If you want to get involved please join our facebook group and let us know if you would like to do a set: www.facebook.com/groups/LIVEFORLOVEUK

liveforloveuk@gmail.com

More information about The Trussell Trust: The Trussell Trust, in conjunction with local communities, develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need, providing practical care and support. www.trusselltrust.org."
"Bute Oasis Food Bank Fund","Rothesay, Scotland, United Kingdom",https://www.gofundme.com/f/bute-oasis-food-bank-fund,8995,20000,2020-05-16T14:25:34.0000000-05:00,03/19/2020,,,186,"We are Bute Oasis we are an NPO. We are a self funded food bank located on the Isle of Bute. 
We have a mainly elderly community who because of coronavirus have had to self isolate. We are delivering food which is firstly hard to come by. The increase in need in the last week has more than doubled. We cannot keep up and we need help to meet these demands. Because of the need for delivering food we have had to stop picking up donated furniture to sell. The schools close next week we are concerned for our community. We can not close. please Help us help our community. https://www.facebook.com/buteoasis2/ visit our Facebook page and see what we do, 7 days a week. "
"Hornets raising money for Trussell food bank","Catshill, West Midlands, United Kingdom",https://www.gofundme.com/f/hornets-raising-money-for-food-banks,685,500,2020-04-06T16:38:10.0000000-05:00,04/03/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",60,"We are a netball team based in Harborne, Birmingham. Due to the Coronavirus crisis we would like to show our support and help as much as we can. We thought we could donate match subs we are currently not paying due to no netball being played throughout the country and would love people to also get on board with helping us achieve our goal. We would just like to help in anyway we can and thought food banks are currently in need of help and support due to this crisis and feel this is something that is important to us. Please help us too if you can! 
lots of love and please stay safe
Harborne Hornets Netball Club "
"The Lambeth Food Bank Fund","London, Greater London, United Kingdom",https://www.gofundme.com/f/the-lambeth-food-bank-fund,54928,50000,2020-05-16T05:20:18.0000000-05:00,03/20/2020,,,910,"The world is experiencing an unprecedented challenge. It is important, in this moment, that we cooperate and do what we can to support one another. The Lambeth Food Bank Fund has launched to support our community and the organisations that can have the most impact on those that are most vulnerable.

The Lambeth Food Bank Fund 

Right now we are all feeling scared and vulnerable, but there are many among us that will need more support, from food banks to food delivery and far beyond.

In Lambeth we have a history of looking after one another - and that spirit has never been more important than right now. 

So we are creating something called the Lambeth Food Bank Fund and its aim is to ensure those in need at this difficult time are being looked after. 

Our borough has some exceptional people and projects that help individuals in need every day. The Lambeth Food Bank Fund has been set up for us to help ensure they have the funding in place to continue their work at this incredibly difficult time. 

Please, even during these unprecedented circumstances, we ask that - if possible - you donate and contribute to the common good of Lambeth. We know that so much is uncertain for us all right now but the smallest contribution can make the biggest difference.


* * *

FAQs

What can I do?

Right now because of the severity of the situation, the single most important thing we can do is try to raise money, so that we are able to help the most vulnerable. 

Where will the funds go?

The funds will go to the most vulnerable people during this crisis. They will be administered by Holy Trinity Clapham and delivered to food banks across the borough - including Brixton & Norwood, Clapham Park, Vauxhall, and Waterloo - that can help the most vulnerable. 

If I do donate will it go to those who need it? 

Yes, your donation will go to those who need it. Unlike other platforms, GoFundMe do not charge a fundraising fee although they take a small transaction fee. See here for more details. You do not need to leave a 'tip' if you don't want to. 

I want to help my local community, will this money be spent in Lambeth? 

Yes. 

Where can I find accurate information about covid-19? 

For general information on CV-19, please visit the Government website: https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response

Lambeth Council have some useful information: https://www.lambeth.gov.uk/elections-and-council/about-lambeth/coronavirus-covid-19-information

If you are worried about your own health, call the NHS on 111."
"LoVE Foodbank Camp IN weekend (VE Celebrations)","Nailsea, South West England, United Kingdom",https://www.gofundme.com/f/love-foodbank-camp-in-weekend-May-8-0-VE-Weekend,1500,200,2020-05-13T07:07:22.0000000-05:00,04/30/2020,,,71,"FUND RAISING FOR FOODBANKS (VE BANK HOLIDAY WEEKEND) May 8-10th

So in today's tough times so many people during the Covid 19 pandemic, are finding many great ways to raise funds, for those less fortunate.
Currently, there is a huge need to help support the food banks, as so many people are needing additional help, to put food on the table, which is where the idea came from.

Many people leading up to the bank holiday would be planning where they are going to stay overnight camping or in their vans or on holiday, sadly for the VE-Day weekend that can no longer happen. So why dont we celebrate at home ?

So the idea is simple plan your trip based at home, prepare everything you need to go camping, stay overnight on the drive in your van, a tent in your garden, or even in your house (but it must be set up like a camping trip), or in your caravan. 

So how do we raise funds ? 
Donate a minimum of £5 in the pot or the amount you would normally have paid for a night camping at your favourite spot during the bank holiday weekend.
If local to Nailsea, the money will go to food bank in Nailsea, if not to the national food bank network, every £ will make a difference.

Its not just about fundraising, so let's have some fun, go to town decorating your place of accommodation, take pictures, upload them to the Facebook page, use your imagination to have an amazing night or more 'away at home!'"
"PPE and Food-bank Appeal","Mountfield, Northern Ireland, United Kingdom",https://www.gofundme.com/f/omagh-district-ppe-and-foodbank-appeal,8785,20000,2020-05-15T17:49:21.0000000-05:00,04/04/2020,,,269,"Hello all, we are a team of ordinary people from Omagh and we have created this page in the first instance to create some positivity in the midst of the Covid-19 pandemic and to promote the great community and charity work happening throughout Omagh District and surrounding areas at this time. But as importantly to raise much needed funds to purchase PPE for frontline staff and food for those in need due to this unprecedented crisis. We would appeal to all organisations in the wider area to donate any PPE equipment they would have to help protect our vital frontline workers. Due to a number of donations and an online fundraiser we have been able to purchase PPE which has been passed on to frontline staff in the local area. We have also passed on a wide range of donations to the local food bank appeals taking place. We are establishing a fund in order to purchase additional PPE which frontline staff urgently need at this crucial time in the fight against Covid-19 and also to assist the vital work of all the food banks. Please donate if you can. If you can help in any way, please contact us also. Whether it be food, donations, or contacts . Please get in touch. Thanks. https://www.facebook.com/FeedingOmaghsFoodBanks"
"Fundraising for food bank, free meals and services","Uddingston, Scotland, United Kingdom",https://www.gofundme.com/f/Bothwell-Uddingston-Viewpark-Action-Group,2980,5000,2020-05-15T15:59:26.0000000-05:00,05/03/2020,,,66,"We are raising money to cover the running costs for the food bank, preparation and delivery of free meals and prescription deliveries for the most vulnerable residents in Bothwell, Uddingston and Viewpark in Glasgow. 

We are self-funded with no means to receive government grants currently and we rely on your kind donations to keep this going. 

Running costs are currently £15,000 per month to supply:

- 2,000 essential bags of food and supplies

- 3,500 free breakfast and lunches

- 7,000 free dinners"
"Let's help our most vulnerable through this crisis","Strabane, Northern Ireland, United Kingdom",https://www.gofundme.com/f/w8dn9-let039s-help-our-most-vulnerable-through-this-crisis,2492,1000,2020-05-09T05:40:07.0000000-05:00,04/10/2020,,,92,"At a time of great crisis, it is heart warming to see that communities have rallied to the call of protecting their most vulnerable and the people of Strabane and the surrounding areas have been absolutely brilliant. As a community and beyond, we are all in this together and we will fight this virus and its impact on us every step of the way.

This is a very distressing and difficult period for many people and the food-bank is providing an essential service to many vulnerable people throughout the Strabane district and beyond. This service means so much to so many people.

We are appealing to anyone who is in a position to donate at this time to please help us out, so that we can continue to provide as much as we can to as many people as we can. Any donation, no matter how small would be greatly appreciated.

We will get through this together.

Thanks a million and stay safe!"
"Solidarity Britannia Food Bank Appeal","London, Greater London, United Kingdom",https://www.gofundme.com/f/Solidarity-Britania-Appeal,7375,8000,2020-05-16T17:12:04.0000000-05:00,04/07/2020,,,162,"Solidarity Britania Food Bank Appeal

We are a group of volunteers who came together to support people with no access to public funds so they don't have to starve during the hard times of COVID19 pandemic . 

Eveday, we deliver food parcels to homeless people and vulnerable families in our communities all over London.

We urge you to help us so we can help them 

Our group initiated the launch of a solidarity humanitarian campaign to raise money and buy food aids to distribute to those who are deservingly vulnerable and with no source of livelihood or bread-winning.

We focus on helping those not eligible to ask for government support because of of not yet having their legal status in Britain.

These people are our brothers and sisters, they are suffering in silence, it is our duty to help them in these very tough times ‼️ 

Please continue supporting us to provide more food so that people don't have to feel hungry during this pandemic.



"
"St Pats FPs running 200km - Foodbank Fundraiser","Dumbarton, Scotland, United Kingdom",https://www.gofundme.com/f/stpats200km,13790,5000,2020-05-13T18:47:33.0000000-05:00,04/28/2020,,,720,"St Patrick’s FPs are looking to raise funds for the local food bank, who have been struggling since the Coronavirus outbreak. Last week alone, they helped 285 families and they expect this to increase in the coming weeks. Some of our players and friends of the club, will run a combined total of 200km in one day (this Saturday 2nd of May), and each individual will contribute with either a 5km or 10km, also ensuring the governments social distancing guidelines are adhered to. (Runners will go out on their own) We would encourage family members, pals, work colleagues to join in and/or donate. We’re aiming to do something positive for the community by helping those who are less fortunate in difficult times. If you can spare a few quid then it would go a long way! Thank you."
