Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"Mayor of Lewisham's Foodbank Appeal","London, Greater London, United Kingdom",https://www.gofundme.com/f/mayor-of-lewisham039s-foodbank-appeal,117253,150000,2020-05-16T07:07:08.0000000-05:00,03/16/2020,,,1000,"As the situation unfolds in response to COVID-19 we are raising vital funds so that the Foodbank can respond to increasing demand. We are facing an unprecedented challenge and so any donation will be warmly welcomed as we continue to support people most in need.

I am Rev Carol Bostridge, Senior Project Manager of Lewisham Foodbank, I live in Sydenham and have been employed part-time by the Foodbank for 5 years. 

All donations given via this campaign will be used by Lewisham Foodbank to either purchase food for our clients or enhancing the service we offer (eg providing volunteers with gloves, setting up a delivery service for those self isolating and purchasing addition equipment as needed). 

All donations will be given directly to Lewisham Foodbank which is part of a registered charity (Transform Network) and their trustees will oversee the spending of the money and produce clear accounts."
"HELP FOODBANKS FEED PEOPLE DURING CORONAVIRUS","Southend-on-Sea, East of England, United Kingdom",https://www.gofundme.com/f/help-foodbanks-feed-people-during-coronavirus,83232,10000,2020-05-12T12:41:53.0000000-05:00,03/16/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",1000,"WE ARE IN THE MIDST OF A GLOBAL PANDEMIC. SUPERMARKET SHELVES ARE EMPTY. BUSINESSES ARE CLOSING. PEOPLE ARE LOSING WORK. 

1.3 MILLION FOOD BANK PARCELS WERE HANDED OUT BY THE TRUSSELL TRUST IN EMERGENCY SITUATIONS LAST YEAR, to people who would have gone hungry if not for charitable help.

I've been a food bank user myself. I'm only here today because of the kindness of strangers - donating food, distributing it, identifying that I was struggling and helping me out. 

And now the supermarket shelves are empty. People are filling up their own trollies and cupboards to try to deal with the panic of an unknown pandemic - and food banks up and down the country are running out of food.

As the impact of coronavirus takes hold, and the knock on effect of unpaid work, unfulfilled contracts, zero hours workers getting literally zero hours, new universal credit claims (currently a six week delay, who knows how much longer it will be with so many new claims to process?!), More and more people are going to find themselves at the door of the food bank, only to find that their shelves are empty too.

It's my birthday today (17th March) and I'm sitting here on my sofa at half past midnight truly thankful to be seeing another birthday at all. But all I want - really - is for people to dig as deep as they can and help restock struggling food banks so that the most vulnerable people in our neighbourhoods can access a little help in this precarious and difficult time.

People who can't afford to stockpile. People who buy their shopping in meagre amounts day to day. People who were already struggling who now won't be able to make ends meet.

We don't know how Covid19 is going to end up. We have no idea of the impact on our economy, society, communities. But poverty is already isolating, lonely, and exhausting. If we all turn inwards and only look after ourselves, more and more people are going to slip through the cracks.

All the money raised here does directly to the TRUSSELL Trust who will use it to support people in need and at risk of food insecurity and hunger throughout the UK.

If you can't afford to donate - sharing it on social media is free. Thankyou for your support.

The Trussell Trust, in conjunction with local communities, develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need, providing practical care and support. www.trusselltrust.org.

All the best

Jack Monroe. "
"Raising money for nhs workers and foodbanks","Sidcup, Greater London, United Kingdom",https://www.gofundme.com/f/raising-money-for-our-frontline-nhs-workers,13168,2500,2020-05-16T06:57:16.0000000-05:00,03/23/2020,,,683,"Raising money for frontline nhs staff for food ,accommodation and whatever else needed
and putting back into the community for food banks for families unable to work So lockdown is now upon us all so I thought of a way of raising money for nhs frontline staff and foodbanks for families unable to work, And a way to keep people smiling, So..... nominate a friend to shave there hair ( it’ll grow back by the time we’re out of this sh#t ) They name there price, Check the link to see if they’ve donated And shave it !!!!! Please copy and share and let’s see how much we can raise for this much needed cause and have a barrel of laughs along the way. Before and after pics will make it so much funnier "
"Sadaqa Jariya Foodbank UK","Luton, East of England, United Kingdom",https://www.gofundme.com/f/sadaqa-jariya-foodbank-uk,4660,5000,2020-05-16T18:41:41.0000000-05:00,04/25/2020,,,136,"Following the passing of our beloved father and grandfather, Syed Safdar Hussain Shah, we took it in our hands to fulfil his final wishes to open a foodbank providing food for the less fortunate and those who need it most in our motherland, Pakistan, to begin with. Our family were in awe by his altruistic desire to give, feed and aid ALL, despite race/ethnicity/religion among him even whilst suffering himself.

 Since opening, our family alone have vetted 25 families with monthly food rations from December 2019- present. Unfortunately, 25 families do not cover the innumerable amount of people starving, for whom we want to share some light, hope and nurture to amidst dark times, that is their indefinite reality.

Our foodbank prioritises poor families with children, single mothers/widowers and those who themselves or their children suffer with debilitating mental/physical health issues trying to make ends meet to provide for their children- this is done with rigorous checks by our team to ensure nobody exploits such a service. The families are issued with a monthly ration card valid for 12 months which provides them with stock for each month as per the individual needs of the family. These include: 10kg chapati flour (atta), 5kg sugar, 5kg various lentils/daal, 5kg rice, 5L cooking oil, tea leaves, salt, spices and other necessary food items. £25 will feed a family of 5 for the month however any donation, no matter how big or small will impact them greatly. 

100% of the donationsgo to those in need, with our incredible staff being voluntary workers (so no wages or salaries are deducted from donations) and our facilities funded with the finances that the late Safdar Hussain Shah left behind for us to carry this out in his legacy- we are relying on your kind donations which will solely provide stock for the families. 

During the current COVID-19 crisis, we are aiming to try and provide emergency food supplies to all those suffering in the locale, with the most vulnerable holding priority, we are giving out thousands of food rations but are broken to see that we are unable to extend our help to everyone that needs it- as a small start-up charity, we are grateful for all the support and donations we receive in order to help us reach as many individuals suffering from the crisis as possible. 

Unfortunately, we can't do this alone, with the power of unity together we can help fill the stomachs of the poor, not only with food but also the fulfilment of life and hope they may gradually receive from your donations. Our brothers and sisters around the globe need us, we are united by our efforts. 
Any donation, no matter how big or small will be greatly appreciated especially in the blessed month of Ramadan, whereby charity is considered its greatest. 

We are not the givers, we are just Allah SWT, the Almighty's, servants and can only give what he allows and wishes to be given. The families we aim to feed is by the grace of Allah SWT and it is he who provides to all. 

May Allah SWT accept this from you and me, may we fulfil our duty by helping those in need, for which it is their right upon you and I.

“A man’s true wealth is the good he does in this world.” Prophet Muhammad (S.A.W)

Instagram: sadaqajariya.foodbank for further updates"
"LoVE Foodbank Camp IN weekend (VE Celebrations)","Nailsea, South West England, United Kingdom",https://www.gofundme.com/f/love-foodbank-camp-in-weekend-May-8-0-VE-Weekend,1500,200,2020-05-13T07:07:22.0000000-05:00,04/30/2020,,,71,"FUND RAISING FOR FOODBANKS (VE BANK HOLIDAY WEEKEND) May 8-10th

So in today's tough times so many people during the Covid 19 pandemic, are finding many great ways to raise funds, for those less fortunate.
Currently, there is a huge need to help support the food banks, as so many people are needing additional help, to put food on the table, which is where the idea came from.

Many people leading up to the bank holiday would be planning where they are going to stay overnight camping or in their vans or on holiday, sadly for the VE-Day weekend that can no longer happen. So why dont we celebrate at home ?

So the idea is simple plan your trip based at home, prepare everything you need to go camping, stay overnight on the drive in your van, a tent in your garden, or even in your house (but it must be set up like a camping trip), or in your caravan. 

So how do we raise funds ? 
Donate a minimum of £5 in the pot or the amount you would normally have paid for a night camping at your favourite spot during the bank holiday weekend.
If local to Nailsea, the money will go to food bank in Nailsea, if not to the national food bank network, every £ will make a difference.

Its not just about fundraising, so let's have some fun, go to town decorating your place of accommodation, take pictures, upload them to the Facebook page, use your imagination to have an amazing night or more 'away at home!'"
"PPE and Food-bank Appeal","Mountfield, Northern Ireland, United Kingdom",https://www.gofundme.com/f/omagh-district-ppe-and-foodbank-appeal,8785,20000,2020-05-15T17:49:21.0000000-05:00,04/04/2020,,,269,"Hello all, we are a team of ordinary people from Omagh and we have created this page in the first instance to create some positivity in the midst of the Covid-19 pandemic and to promote the great community and charity work happening throughout Omagh District and surrounding areas at this time. But as importantly to raise much needed funds to purchase PPE for frontline staff and food for those in need due to this unprecedented crisis. We would appeal to all organisations in the wider area to donate any PPE equipment they would have to help protect our vital frontline workers. Due to a number of donations and an online fundraiser we have been able to purchase PPE which has been passed on to frontline staff in the local area. We have also passed on a wide range of donations to the local food bank appeals taking place. We are establishing a fund in order to purchase additional PPE which frontline staff urgently need at this crucial time in the fight against Covid-19 and also to assist the vital work of all the food banks. Please donate if you can. If you can help in any way, please contact us also. Whether it be food, donations, or contacts . Please get in touch. Thanks. https://www.facebook.com/FeedingOmaghsFoodBanks"
"Let's help our most vulnerable through this crisis","Strabane, Northern Ireland, United Kingdom",https://www.gofundme.com/f/w8dn9-let039s-help-our-most-vulnerable-through-this-crisis,2492,1000,2020-05-09T05:40:07.0000000-05:00,04/10/2020,,,92,"At a time of great crisis, it is heart warming to see that communities have rallied to the call of protecting their most vulnerable and the people of Strabane and the surrounding areas have been absolutely brilliant. As a community and beyond, we are all in this together and we will fight this virus and its impact on us every step of the way.

This is a very distressing and difficult period for many people and the food-bank is providing an essential service to many vulnerable people throughout the Strabane district and beyond. This service means so much to so many people.

We are appealing to anyone who is in a position to donate at this time to please help us out, so that we can continue to provide as much as we can to as many people as we can. Any donation, no matter how small would be greatly appreciated.

We will get through this together.

Thanks a million and stay safe!"
"St Pats FPs running 200km - Foodbank Fundraiser","Dumbarton, Scotland, United Kingdom",https://www.gofundme.com/f/stpats200km,13790,5000,2020-05-13T18:47:33.0000000-05:00,04/28/2020,,,720,"St Patrick’s FPs are looking to raise funds for the local food bank, who have been struggling since the Coronavirus outbreak. Last week alone, they helped 285 families and they expect this to increase in the coming weeks. Some of our players and friends of the club, will run a combined total of 200km in one day (this Saturday 2nd of May), and each individual will contribute with either a 5km or 10km, also ensuring the governments social distancing guidelines are adhered to. (Runners will go out on their own) We would encourage family members, pals, work colleagues to join in and/or donate. We’re aiming to do something positive for the community by helping those who are less fortunate in difficult times. If you can spare a few quid then it would go a long way! Thank you."
"Martha gets the Chop for Stroud District Foodbank","Chalford Hill, South West England, United Kingdom",https://www.gofundme.com/f/martha-gets-the-chop-for-stroud-district-foodbank,1105,300,2020-05-10T13:39:08.0000000-05:00,05/03/2020,,,56,"Due to the Coronavirus, I have heard that even more people are struggling to buy food and some of them live where I do. I have decided that if I can raise money for them I will cut off all my hair. I have been growing it for about 2 years since I had a bob. Please sponsor me if you can. It would be brilliant

Love Martha, age 8

supported by my family "
"Nether Edge & Sharrow Foodbank Appeal","Sheffield, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/1truz6ghao,3952,5000,2020-05-16T15:57:36.0000000-05:00,04/03/2020,,,98,"TSY Ehsaas Bame outreach in collaboration with Sheffield's local Charities (Families Relief and iAspire Foundation) are collecting donations enabling us to purchase Food for the Local Community who are struggling during this Covid 19 Pandemic. The support has been an ongoing one since the crisis and is aimed at supporting the Sharrow/Netheredge elderly and vulnerable. Focus is kept local also to avoid the risk of spreading as its been very hard for many food banks who are struggling due to the covid-19. For this reason we felt it was important to support our local charities who have been providing vital support to many vulnerable in the community locally and nationally but are in need of us today to carry on reaching out to our people in time of great need. Your generous donation however small will make a big difference. May Allah bless and reward you always. Ameen. Stay safe and keep us all in your duas. Jazakallah Khair"
