Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"UoB Help the Homeless Society",410,"Let's Feed Brum",,,,"Let’s Feed Brum is a team of dedicated volunteers who provide essential supplies and friendship to those living on our streets. We build trust to start conversations and signpost existing services; playing our part in tackling the city’s homelessness issue.

www.letsfeedbrum.com 
 info@letsfeedbrum.com 
 Let's Feed Brum Registered charity number 1178574","5 Deansway,  Worcester,Worcestershire  WR1 2JG",11/02/2020,21/04/2020
1,"Hope For Southall Street Homeless -",0,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",,
2,"Ayoub Oustouh",0,"Stoke City Community Trust",,,,,"Stoke City Football Club,The bet 365 Stadium  Stanley Matthews Way,Stoke-on-trent  ST4 4EG",,
3,"BILLINGE NATURE RANGERS",329,"Whitechapel Centre","Birmingham City, Solihull","B45 9SN ","Services for people with acquired Brain Injury - programmes aimed at different stages of developement - meeting a variety of needs.
Services in the Community for carers and families, giving assessment and support,Counselling, BMEG services and training.
Lifestyle Service offering 1 to 1 support for Brain Injured peop;le to access social,leisure and vocational apportunities in the Community.","The Whitechapel Centre is the leading homeless and housing charity for the Liverpool region. We work with people who are sleeping rough, living in hostels or struggling to manage their accommodation. We are committed to helping people find and maintain a home and learn the life skills essential for independent living.

Thank you for supporting the Whitechapel Centre. Your donation will help us to make a lasting change to lives of people who are homeless. 

£5 could pay for a cooked breakfast for 10 rough sleepers. 
£15 could buy an advice session, securing accommodation for someone who is homeless","Langsdale Street,Everton  Liverpool,  L3 8DU",27/02/2020,06/03/2020
4,"Beccy Farrow",65,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",09/05/2020,11/05/2020
5,"Beckey Boyles",74,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",05/05/2020,11/05/2020
6,"Bernie Woulfe",0,Threshold,"Devon, Dorset",,,"Threshold is a Swindon based charity for single homeless people providing quality caring services and supportive hostel accommodation with resettlement programmes. 
 
 Threshold Strategic Objectives are:
1) To prevent homelessness
2) To alleviate the associated social exclusion of homelessness and actively assist recovery from its effects
3) Influence policy that affects homeless and socially excluded people

We support over 750 people each year. We do this through our street outreach service which helps those sleeping on the Swindon's streets and through our move-on projects and  resettlement hostels. 
Welcoming vulnerable homeless people into our projects is only part of our role; preparing them to live independently is just as important.
Our sources of income are grants from government and charitable foundations and trusts and licence fee income. However, we also rely upon the continued generosity of members of the public and our supporters just like you.
Please help us continue to give homeless people the chance to change.","1 John Street,  Swindon,Wiltshire  SN1 1RT",,
7,"Blundell's School",1260.63,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",04/05/2020,15/05/2020
8,"CHARGE St George and St Paul Tiverton",878.75,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",30/04/2020,16/05/2020
9,"Carley Hassell",530,"YMCA Derbyshire",,,,"YMCA Derbyshire founded in 1847 is an independent Christian charity committed to helping young people, particularly at times of need, regardless of gender, race, ability or faith. 
Our two core service areas are accommodation and YMCA Key College. We provide accommodation at our Campus and in the community for people who find themselves temporarily without somewhere to live. Our belief is that stable accommodation and a journey that is person-centred will assist individuals in moving forward. 
Our vision is enabling young people and communities to thrive.","YMCA Derbyshire,770 London Road  Alvaston,Derby  DE24 8UT",03/02/2020,09/03/2020
