Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"Rugby Foodbank",8455.83,Hope4,"Bedford, Central Bedfordshire, Luton",,,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk.
The Hope Centre is open 364 days a year and provides the following help
Homeless and badly housed people are helped to:


Thank you for your support!","8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",07/10/2019,12/06/2020
1,"Luton Foodbank",16440.13,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",13/03/2020,12/06/2020
2,"Runnymede Foodbank Covid Appeal",26793.98,"Runnymede Foodbank","Throughout Wales",,"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","£5 will buy a flask for a homeless person
£10 will fund a Christmas dinner for a local family
£21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program
Thank you for your generosity


Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide.
We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis. 
We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively. 
People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses. 
We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future. 
The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS",18/03/2020,07/06/2020
3,"Walton and Hersham Foodbank",25862.57,"St Peters Hersham","West Sussex","RH13 5SA","Monthly meeting of members of the Women's Institute .",,"Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA",20/10/2019,13/06/2020
4,"Weybridge Covid Foodbank Appeal",560.5,"Runnymede Foodbank","Throughout Wales",,"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","£5 will buy a flask for a homeless person
£10 will fund a Christmas dinner for a local family
£21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program
Thank you for your generosity


Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide.
We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis. 
We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively. 
People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses. 
We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future. 
The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS",10/05/2020,12/06/2020
5,"Dylan Evans",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
6,"John Leaver",3621.7,"Vineyard Community Centre",,,,"Vineyard Community Urgent Covid-19 Appeal
Why we need your help
We urgently need more funds to enable us to sustain our operations here in Richmond Upon Thames and to develop our response to the coronavirus crisis.
To avoid contributing to the spread of the virus we have temporarily closed our Morning-Drop in sessions for homeless people, but we are continuing to provide individual help and support - particularly through our food bank services.  We are moving to a delivery-only service - taking food parcels to individuals and families in need across the borough.  

Demand for our services is increasing dramatically as more people are finding themselves suddenly in need of support.  Unfortunately we have been simultaneously hit by:


The Vineyard Community Centre provides help at a morning drop-in to those in crisis: whether by homelessness, addictions or those experiencing mental or social difficulty. In an afternoon cafe, open to all, there is support to those who feel lonely, isolated or socially excluded.  The Richmond Foodbank runs during the afternoon cafe on a Monday and Thursday.","The Vineyard,  Richmond,  TW10 6AQ",22/04/2020,01/06/2020
7,"Marcus Miller",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
8,"Thomas McShane",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
9,"Dads House Raising funds for our foodbanks",30,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",12/05/2020,12/05/2020
