Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"The Lawyers in the Soup Kitchen Walkers",0,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",,
1,"jo-ann lloyd",5,"St Andrew's Church High Wycombe","Throughout England And Wales",,"IN ADMINISTRATION. HTI IS A THRIVING NOT FOR PROFIT SOCIAL ENTERPRISE AT THE FOREFRONT OF SCHOOL LEADERSHIP DEVELOPMENT OFFERING A DIVERSE AND INNOVATIVE PORTFOLIO OF LEADERSHIP DEVELOPMENT OPPORTUNITIES REGIONALLY, NATIONALLY AND INTERNATIONALLY.WHAT MAKES HTI DIFFERENT FROM OTHER ORGANISATIONS IS THE FOCUS ON ALIGNING EDUCATION PROVISION WITH EMPLOYABILITY NEEDS.","St. Andrew's Church, High Wycombe is an evangelical, outreaching community church on the east-side of the large market town of High Wycombe in Buckinghamshire.
 ","Hatters Lane,  High Wycombe,Buckinghamshire  HP13 7NJ",18/11/2014,18/11/2014
2,"Mud Kitchens",1200,"Bexley and Dartford Samaritans",,,,,"The Upper Mill,Kingston Road  Ewell,Surrey  KT17 2AF",21/02/2020,25/03/2020
3,"Kraft Heinz Company",0,"Soup Kitchen at American International Church",Dudley,"DY1 1YQ ","Flame Trust is an organisation with a Christian ethos, engaged in a variety of community and educational initiatives in the UK and overseas, including mentoring, leadership development and project management.","Established in 1986, The Soup Kitchen is a resource for the homeless, elderly, lonely and vulnerable in London. We provide free meals, clothing, toiletries and a sense of belonging to over 100 of our friends each day. 

Additionally, we recently launched Europe’s first on-site mental health drop-in centre within a soup kitchen, to address our guests' mental health needs. With the help of hundreds of volunteers each year, our aim is to provide a nutritious meal in a safe and warm environment that welcomes everyone. We are so much more than a secure place for the homeless to come for a hot meal. 

 We are creating a community for our friends that is free of judgement and accepting of anyone who needs our help, in an environment that allows people to feel more normal.","Whitefield Memorial Church,79a Tottenham Court Rd  London,UK  W1T 4TD",,
4,"Claire Lane",200,"The Royal Parks",,,,"The Royal Parks are one of Britain’s greatest national treasures, to be protected and enjoyed, for today and future generations. Can you imagine London without them?
London’s eight amazing Royal Parks offer 5,000 acres of green space to more than 77 million visitors a year – from local Londoners to visitors from around the world. Home to thousands of trees, plants and wildlife species and the setting for historic monuments and landscapes, these vital green sanctuaries give our city space to breathe.
It costs more than £35 million to care for these green spaces each year. We work hard to raise funds for a sustainable future for our capital’s green spaces. We are passionate about sharing the magic of the Royal Parks with as many people as possible.
As a charity, we work to protect 500 years of history, inspire the next generation with the wonders of the natural world, make London a happier and healthier place to live and conserve precious wildlife. 
The Royal Parks are: Hyde, The Green, Richmond, Greenwich, St James’s, Bushy and The Regent’s Parks, and Kensington Gardens. We also manage other important open spaces in the capital including Grosvenor Square Garden, Brompton Cemetery, Victoria Tower Gardens, Canning Green and Poet’s Corner.","The Old Police House,Hyde Park  London,  W2 2UH",14/04/2016,14/04/2016
5,"Debbie Kitchen",0,"Macmillan Cancer Support","Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF","Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus. 
For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.  
We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support. 
Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ",,
6,"Guy Kitchen",100,"Diabetes UK",,,,"Diabetes UK is the charity for people with diabetes, their family, friends and carers. Our mission is to improve the lives of people with the condition and work towards a future without diabetes. Diabetes UK is one of the largest patient organisations in Europe. We stand up for the interests of people with diabetes by campaigning for better standards of care. We are the largest funder in the UK of research into better treatments for diabetes and the search for a cure. We provide practical support and information and safety net services to help people manage their diabetes. For more information please visit our website: www.diabetes.org.uk.","10 Parkway,  London,  NW1 7AA",26/10/2019,18/11/2019
7,"Joe Kitchen",0,Thomley,"Bath And North East Somerset",,"The organisation provides information and advice on all categories of enquiry to the constituents of North East Somerset.","A place for people of all abilities & disabilities.
Thomley is a fully-accessible recreation and social centre near Worminghall, between Oxford and Aylesbury. 
Our centre brings disabled people, their families, carers and friends together with experienced and nurturing staff that understand their needs. 
Over a thousand disabled people use our service each year and for many our centre is a lifeline. Without the support of our donors and volunteers we simply wouldn't exist. 
However large or small, your financial contribution will directly support disabled people and their families.
Thank you!","Thomley,Menmarsh Road  Worminghall,Aylesbury  HP18 9JZ",,
8,"Mandy Kitchener",35,"Macmillan Cancer Support","Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF","Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus. 
For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.  
We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support. 
Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ",14/05/2020,16/05/2020
9,"Nicola Kitchener",0,"Pancreatic Cancer UK","Throughout England And Wales","AL1 4SB","The charity makes donations to support general charitable purposes.","Pancreatic Cancer UK is fighting to make a difference. We’re taking on pancreatic cancer together: by supporting those affected by the disease, investing in research, lobbying for greater recognition of pancreatic cancer, and being there for everyone involved in the fight.
For too long this disease has been sidelined. We want to make sure that everyone touched by it gets the support and information they need. We’re here for everything you need to know about pancreatic cancer.","6th Floor Westminster Tower,3 Albert Embankment  LONDON,Greater London  SE1 7SP",,
