CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,213513,"The Y",True,2020-08-26,12,12,"2020-09-05 20/2020-09-05 20/2020-09-04 10/2020-09-04 10/2020-09-04 10/2020-09-04 20/2020-09-03 10/2020-09-03 20/2020-09-03 20/2020-09-03 20/2020-09-03 20/2020-09-03 50",https://www.justgiving.com/RKHBigSleepOut,2020-09-05,230,1000,"The RKH Big Sleep Out"
,,,263710,Shelter,False,2016-04-07,8,0,,https://www.justgiving.com/Group-Soup-Shelter,,215,300,"On behalf of Group Soup's Homeless Awareness Campaign"
,,,1043985,"UCKG HelpCentre",True,2019-12-10,3,3,"2020-01-08 60/2019-12-13 20/2019-12-12 10",https://www.justgiving.com/Florencef,2020-01-08,90,1100,"Florence's Soup Kitchen "
,,,1143096,"GAT Project",False,2017-01-03,3,0,,https://www.justgiving.com/GATSOUPKITCHEN,,30,5000,"GAT SOUP KITCHEN"
,,,1043985,"UCKG HelpCentre",False,2019-12-14,4,4,"2019-12-26 20/2019-12-23 20/2019-12-17 20/2019-12-16 50",https://www.justgiving.com/Kim-Blake6,2019-12-26,255,2000,"Kim & Fay's Catford Soup Kitchen"
,,,1043985,"UCKG HelpCentre",True,2019-12-13,1,1,"2019-12-14 100",https://www.justgiving.com/Yasmin-Senah,2019-12-14,100,1000,"Raising funds to support the Soup Kitchen for the homeless this Christmas"
,,,1051770,"Soup Kitchen at the American International Church",False,2016-11-14,2,0,,https://www.justgiving.com/Soup-kitchen-MKTG,,120,515,"MKTG Soup Kitchen Support"
,,,1082947,Crisis,False,2016-11-17,54,0,,https://www.justgiving.com/Richard-Hartley-Christmas-2016,,1025,1000,"Richard's working at a London hostel for homeless people at Christmas"
,,,1043985,"UCKG HelpCentre",True,2019-12-14,0,0,,https://www.justgiving.com/Tiwonge-Makanema,,0,1350,"Tiwonge 's homless Soup Kitchen "
,,,1026588,"Medecins Sans Frontieres / Doctors Without Borders (MSF)",False,2016-01-15,7,0,,https://www.justgiving.com/Virginia-YIP,,480,0,"Virginia's Syrian Soup Kitchen"
,,,1051770,"Soup Kitchen at the American International Church",False,2020-03-20,15,15,"2020-04-06 15/2020-03-29 25/2020-03-24 30/2020-03-23 20/2020-03-21 50/2020-03-21 40/2020-03-20 50/2020-03-20 20/2020-03-20 30/2020-03-20 50/2020-03-20 50/2020-03-20 100/2020-03-20 25",https://www.justgiving.com/Deborah-Williams39,2020-04-06,535,2000,"Soup Kitchen London Emergency Appeal"
,,,801013,"London's Air Ambulance",False,2020-08-19,37,5,"2020-09-06 30/2020-09-06 6/2020-09-06 6/2020-09-06 6",https://www.justgiving.com/ARiverRunsThroughIt-LondonsAirAmbulance,2020-09-06,559,2000,"A River Runs Through It, a virtual exhibition of London art, Sept 2-6"
,,,1060941,Framework,False,2017-12-07,13,0,,https://www.justgiving.com/Lyndsaybatchelor,,88,500,"Community Meal/Soup Kitchen"
,,,1165317,"Simon On The Streets",False,2016-12-16,4,0,,https://www.justgiving.com/watersideapartments,,100,250,"Waterside Apartments & Simon on the Streets"
,,,1051770,"Soup Kitchen at the American International Church",True,2020-04-10,0,0,,https://www.justgiving.com/ASKCOVID,,0,3000,"Soup Kitchen London Emergency Appeal"
,,,1179298,"Newbury Soup Kitchen",False,2019-10-30,192,193,"2020-03-29 36/2019-12-05 200/2019-12-03 40/2019-12-01 200/2019-11-26 20/2019-11-23 20/2019-11-22 50/2019-11-22 20/2019-11-22 50/2019-11-22 15/2019-11-22 50/2019-11-21 20/2019-11-21 20/2019-11-21 10/2019-11-21 10/2019-11-21 5/2019-11-21 10/2019-11-21 20/2019-11-21 14/2019-11-21 30/2019-11-21 5/2019-11-21 20/2019-11-21 20/2019-11-21 200/2019-11-20 20/2019-11-20 30/2019-11-20 10/2019-11-20 20/2019-11-20 15/2019-11-19 30/2019-11-19 10/2019-11-19 30/2019-11-18 10/2019-11-18 20/2019-11-18 50/2019-11-18 20/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 100/2019-11-17 36/2019-11-16 50/2019-11-16 20/2019-11-16 100/2019-11-16 50/2019-11-16 5/2019-11-16 20/2019-11-16 30/2019-11-16 10/2019-11-16 77/2019-11-12 20/2019-11-12 10/2019-11-12 20/2019-11-11 20/2019-11-11 50/2019-11-10 10/2019-11-10 40/2019-11-10 10/2019-11-10 20/2019-11-09 30/2019-11-09 15/2019-11-09 20/2019-11-08 20/2019-11-07 30/2019-11-07 10/2019-11-07 30/2019-11-07 30/2019-11-07 10/2019-11-06 30/2019-11-06 20/2019-11-06 50/2019-11-06 20/2019-11-06 10/2019-11-06 10/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-04 10/2019-11-04 5/2019-11-03 30/2019-11-03 5/2019-11-03 30/2019-11-03 10/2019-11-03 20/2019-11-03 10/2019-11-03 10/2019-11-03 20/2019-11-02 10/2019-11-02 20/2019-11-02 100/2019-11-02 125/2019-11-02 20/2019-11-02 20/2019-11-02 50/2019-11-02 10/2019-11-02 10/2019-11-02 10/2019-11-01 25/2019-11-01 30/2019-11-01 50/2019-11-01 5/2019-11-01 20/2019-11-01 30/2019-11-01 10/2019-11-01 30/2019-11-01 10/2019-11-01 50/2019-11-01 20/2019-11-01 10/2019-10-31 10/2019-10-31 100/2019-10-31 20/2019-10-31 25/2019-10-31 10/2019-10-31 20/2019-10-31 30/2019-10-31 30/2019-10-31 30/2019-10-31 50/2019-10-31 30/2019-10-31 20/2019-10-31 50/2019-10-31 10/2019-10-31 10/2019-10-31 10/2019-10-31 30/2019-10-31 10/2019-10-31 10/2019-10-31 10/2019-10-31 100/2019-10-31 30/2019-10-31 30/2019-10-30 50/2019-10-30 10/2019-10-30 30/2019-10-30 10/2019-10-30 30/2019-10-30 15/2019-10-30 10/2019-10-30 10/2019-10-30 10/2019-10-30 10/2019-10-30 20/2019-10-30 20/2019-10-30 10/2019-10-30 20/2019-10-30 30/2019-10-30 10/2019-10-30 10/2019-10-30 20/2019-10-30 30",https://www.justgiving.com/thomas-tunney,2020-03-29,5166,2000,"Tom's Bin the Beard for the Soup Kitchen"
,,,1137947,"Southport Soup Kitchen",True,2018-07-10,23,23,"2020-04-07 30/2018-07-19 30/2018-07-17 20/2018-07-13 30/2018-07-13 10/2018-07-13 10/2018-07-13 6/2018-07-13 100/2018-07-13 50/2018-07-12 10/2018-07-12 10/2018-07-11 10/2018-07-11 5/2018-07-10 10/2018-07-10 10/2018-07-10 20/2018-07-10 10/2018-07-10 10/2018-07-10 10/2018-07-10 7/2018-07-10 20/2018-07-10 3/2018-07-10 10",https://www.justgiving.com/NCSSouthportT4,2020-04-07,431,500,"Raising money for Southport Soup Kitchen"
,,,1043985,"UCKG HelpCentre",True,2019-11-24,0,0,,https://www.justgiving.com/Diana-De-Lande,,0,10000,"Diana's Soup Kitchen for the Homeless during Christmas "
,,,1179298,"Newbury Soup Kitchen",False,2019-11-27,10,10,"2019-12-19 25/2019-12-12 30/2019-12-12 20/2019-12-11 80/2019-12-11 30/2019-12-11 10/2019-12-10 10/2019-12-10 5/2019-12-05 30",https://www.justgiving.com/VBFinanceXmas2019,2019-12-19,250,500,"Vodafone Business Finance's Newbury Soup Kitchen Reverse Advent"
,,,1043985,"UCKG HelpCentre",False,2019-11-30,11,11,"2020-01-05 50/2019-12-22 25/2019-12-17 80/2019-12-15 10/2019-12-14 10/2019-12-13 50/2019-12-11 10",https://www.justgiving.com/Tapiwanyasha-Senah,2020-01-05,295,10000,"Tapiwas Christmas Fundraise for Homeless Soup Kitchen"
,,,287602,"Peterborough Soup Kitchen",False,2016-08-10,3,0,,https://www.justgiving.com/SSC-CO-LocalCharity,,581,750,"Silver Spoon supporting Peterborough Soup Kitchen"
,,,1082947,Crisis,False,2019-12-22,23,23,"2020-07-30 50/2020-06-06 30/2019-12-27 15/2019-12-27 15/2019-12-27 10/2019-12-27 10/2019-12-26 35/2019-12-25 50/2019-12-24 20/2019-12-24 50/2019-12-23 20/2019-12-23 10/2019-12-23 20/2019-12-23 100/2019-12-23 30/2019-12-23 25/2019-12-22 20/2019-12-22 20/2019-12-22 30/2019-12-22 10",https://www.justgiving.com/Boxing-Day-Bongo,2020-07-30,630,500,"Boxing Day Bongo - A Mobile Soup Kitchen #xmaspresent"
,,,"214779 and in Scotland SC009359","The Salvation Army",False,2020-04-21,23,23,"2020-05-02 10/2020-05-01 20/2020-04-28 40/2020-04-27 10/2020-04-27 30/2020-04-27 15/2020-04-27 50/2020-04-27 10/2020-04-27 4/2020-04-25 50/2020-04-24 100/2020-04-24 10/2020-04-23 10/2020-04-22 30/2020-04-21 20/2020-04-21 5/2020-04-21 20/2020-04-21 20/2020-04-21 5",https://www.justgiving.com/Parkhead-Corps-The-Salvation-Army,2020-05-02,529,5000,"Parkhead Corps's East Glasgow Soup Kitchen & Food Banks"
,,,1132381,"Amoria Bond Charitable Trust",False,2019-05-14,41,41,"2020-01-29 100/2019-09-06 20/2019-08-13 30/2019-08-05 25/2019-07-02 20/2019-07-01 27/2019-06-27 30/2019-06-27 40/2019-06-26 100/2019-06-22 20/2019-06-17 50/2019-06-17 30/2019-06-16 30/2019-06-15 10/2019-06-14 10/2019-06-14 30/2019-06-13 50/2019-06-13 100/2019-06-12 20/2019-06-12 25/2019-06-12 20/2019-06-12 30/2019-06-11 100/2019-06-11 20/2019-06-11 50/2019-06-11 25/2019-06-11 50/2019-06-11 50/2019-06-11 20/2019-06-11 20/2019-06-11 15/2019-06-11 20/2019-06-11 400/2019-06-11 15/2019-06-10 50/2019-06-05 300/2019-06-04 20",https://www.justgiving.com/DylanandOllie-Daw,2020-01-29,1762,1500,"Help build a soup kitchen in Peru to feed 100s of vulnerable people!"
,,,1152399,"Action For Pulmonary Fibrosis",False,2020-02-18,16,16,"2020-04-01 30/2020-02-25 25/2020-02-24 25/2020-02-23 370/2020-02-22 20/2020-02-21 20/2020-02-19 50/2020-02-19 100/2020-02-18 50/2020-02-18 50/2020-02-18 25/2020-02-18 30/2020-02-18 50/2020-02-18 15/2020-02-18 10",https://www.justgiving.com/Pook-Zanetti,2020-04-01,834,800,"Pook Zanetti's Birthday"
,,,1043985,"UCKG HelpCentre",True,2019-12-09,1,1,"2019-12-15 20",https://www.justgiving.com/EfuesFestiveFundraise,2019-12-15,20,7000,"Efue's Festive Fundraise For The Community"
,,,1137947,"Southport Soup Kitchen",False,2017-12-26,13,4,"2018-05-16 10/2018-05-14 6/2018-05-06 10",https://www.justgiving.com/Deborah-lyn-Connolly3,2018-05-16,148,200,"Deborah-lyn's Sponsored street sleep"
,,,1137947,"Southport Soup Kitchen",False,2020-01-01,16,16,"2020-02-07 10/2020-01-21 5/2020-01-19 5/2020-01-19 5/2020-01-18 5/2020-01-18 10/2020-01-18 5/2020-01-18 5/2020-01-18 10/2020-01-18 10/2020-01-17 10/2020-01-16 5/2020-01-12 20/2020-01-11 10/2020-01-08 10",https://www.justgiving.com/Eva-Eliza-Haughey,2020-02-07,130,50,"Eva & Eliza's Birthday Fundraiser"
,,,287602,"Peterborough Soup Kitchen",True,2020-01-04,1,1,"2020-01-05 10",https://www.justgiving.com/DKMMockTest,2020-01-05,10,200,"DKM Driving's Mock Test Day"
,,,287602,"Peterborough Soup Kitchen",False,2015-12-16,1,0,,https://www.justgiving.com/Christine-Griffiths6,,40,0,"Christine's MadDog Airsoft Swear Box"
,,,287602,"Peterborough Soup Kitchen",True,2017-02-15,0,0,,https://www.justgiving.com/RWcrafts,,0,245,"RWcrafts support our community"
,,,1137947,"Southport Soup Kitchen",False,2019-12-27,55,55,"2020-03-19 10/2020-02-23 10/2020-01-19 30/2020-01-08 30/2020-01-06 10/2020-01-06 10/2020-01-04 15/2020-01-04 10/2020-01-03 5/2020-01-03 5/2020-01-03 50/2020-01-03 20/2020-01-02 5/2020-01-02 10/2020-01-02 5/2020-01-01 5/2020-01-01 10/2020-01-01 20/2019-12-31 20/2019-12-31 20/2019-12-31 10/2019-12-31 10/2019-12-31 5/2019-12-31 15/2019-12-30 10/2019-12-30 10/2019-12-30 20/2019-12-30 10/2019-12-30 20/2019-12-29 10/2019-12-29 10/2019-12-29 10/2019-12-29 20/2019-12-29 20/2019-12-28 20/2019-12-28 10/2019-12-28 10/2019-12-28 25/2019-12-28 20/2019-12-27 20/2019-12-27 10/2019-12-27 10/2019-12-27 5/2019-12-27 10",https://www.justgiving.com/Jonathan-Gardner7,2020-03-19,762,2000,"Jonathan's page"
