Activities,Address,Charity,CharityDescription,Complete,Created,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
,"8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",Hope4,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk The Hope Centre, due to Covid-19 restricitions, is currently open 5 days a week by appointment and provides the following help: Homeless and badly housed people are helped in various ways by our skilled staff including with: Important Covid 19 update Hope4 is always very pleased to receive donations towards helping people who are homeless or temporarily housed in Rugby. As of July 2020 The Hope Centre is open (by appointment) and is able to continue its vital work with its clients, thorough its Key Worker staff and partner agencies in the town following strict Covid 19 health and safety guidelines.  Thank you for your support!",False,2019-10-07,"2020-10-04 15/2020-10-04 30/2020-10-04 15/2020-10-03 10/2020-10-03 15/2020-10-02 30/2020-10-01 5/2020-09-28 5/2020-09-27 30/2020-09-27 15/2020-09-27 30/2020-09-27 20/2020-09-26 15/2020-09-25 5/2020-09-24 50/2020-09-18 40/2020-09-17 20/2020-09-17 15/2020-09-12 15/2020-09-08 100/2020-09-05 15/2020-09-02 75/2020-08-28 30/2020-08-25 50/2020-08-19 200/2020-08-19 20/2020-08-16 75/2020-08-13 100/2020-08-12 40/2020-08-11 100/2020-07-31 100/2020-07-27 20/2020-07-21 50/2020-07-21 50/2020-07-20 20/2020-07-15 75/2020-07-14 50/2020-07-11 100/2020-07-09 100/2020-07-09 20/2020-07-08 200/2020-07-03 25/2020-07-02 15/2020-06-29 20/2020-06-15 75/2020-06-12 10/2020-06-11 10/2020-06-03 100/2020-06-01 8/2020-05-30 30/2020-05-29 50/2020-05-27 50/2020-05-26 15/2020-05-25 100/2020-05-23 5/2020-05-22 30/2020-05-22 51/2020-05-21 20/2020-05-15 50/2020-05-14 102/2020-05-12 75/2020-05-11 100/2020-05-11 138/2020-05-10 30/2020-05-09 50/2020-05-09 100/2020-05-08 10/2020-05-08 5/2020-05-07 20/2020-05-07 100/2020-05-07 50/2020-05-07 50/2020-05-05 30/2020-05-05 30/2020-05-04 40/2020-05-04 50/2020-05-03 300/2020-05-02 100/2020-05-02 20/2020-05-01 100/2020-05-01 5/2020-04-30 15/2020-04-30 100/2020-04-28 30/2020-04-28 100/2020-04-27 50/2020-04-27 30/2020-04-26 100/2020-04-23 100/2020-04-23 20/2020-04-22 20/2020-04-20 10/2020-04-20 100/2020-04-19 50/2020-04-19 10/2020-04-19 30/2020-04-18 50/2020-04-17 5/2020-04-17 5/2020-04-17 10/2020-04-17 10/2020-04-17 5/2020-04-17 50/2020-04-16 10/2020-04-16 5/2020-04-16 30/2020-04-16 50/2020-04-16 100/2020-04-14 50/2020-04-13 33/2020-04-13 10/2020-04-12 30/2020-04-11 25/2020-04-10 30/2020-04-09 20/2020-04-09 20/2020-04-08 30/2020-04-08 50/2020-04-08 30/2020-04-08 30/2020-04-07 15/2020-04-07 50/2020-04-07 30/2020-04-07 15/2020-04-06 50/2020-04-06 50/2020-04-05 50/2020-04-04 30/2020-04-03 20/2020-04-03 30/2020-04-03 1000/2020-04-02 50/2020-04-01 30/2020-04-01 10/2020-04-01 100/2020-03-31 50/2020-03-31 100/2020-03-31 50/2020-03-31 50/2020-03-31 20/2020-03-30 200/2020-03-30 50/2020-03-29 10/2020-03-28 50/2020-03-25 30/2020-03-25 40/2020-03-23 30/2020-03-23 30/2020-03-23 30/2020-03-22 15/2020-03-22 10/2020-03-22 30/2020-03-22 20/2020-03-22 50/2020-03-22 15/2020-03-22 15/2020-03-22 50/2020-03-21 30/2020-03-21 100/2020-03-21 15/2020-03-21 30/2020-03-20 100/2020-03-19 30/2020-03-18 50/2020-03-18 500/2020-03-18 30/2020-03-17 100/2020-03-17 100/2020-03-15 25/2020-03-14 30/2020-03-14 15/2020-03-03 25/2020-02-26 10/2020-02-02 50/2020-01-27 30/2020-01-13 68/2020-01-10 50/2019-12-26 50/2019-12-25 15/2019-12-23 15/2019-12-22 30/2019-12-21 20/2019-12-15 100/2019-12-11 50/2019-12-11 100/2019-12-05 25/2019-12-03 50/2019-11-27 15/2019-11-24 10/2019-10-07 1",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RugbyFoodbank&pageUrl=1,2020-10-04,"Bedford, Central Bedfordshire, Luton",,11802
,"Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA","Luton Foodbank","Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty.  Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food. We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry.  We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page. Thank you!",False,2020-03-13,"2020-09-30 15/2020-09-28 5/2020-09-28 20/2020-09-28 10/2020-09-28 50/2020-09-18 50/2020-09-18 50/2020-09-15 20/2020-09-15 30/2020-09-12 100/2020-09-11 50/2020-09-10 100/2020-09-08 20/2020-09-08 30/2020-09-05 50/2020-09-04 15/2020-09-04 30/2020-08-29 250/2020-08-25 12/2020-08-24 30/2020-08-23 30/2020-08-22 20/2020-08-22 50/2020-08-21 30/2020-08-21 80/2020-08-21 30/2020-08-20 10/2020-08-20 50/2020-08-19 20/2020-08-16 15/2020-08-16 100/2020-08-14 500/2020-08-13 50/2020-08-10 5/2020-08-10 10/2020-08-10 20/2020-08-07 15/2020-08-06 20/2020-08-05 25/2020-08-04 25/2020-08-03 30/2020-08-03 20/2020-07-30 50/2020-07-30 400/2020-07-30 20/2020-07-30 30/2020-07-30 30/2020-07-29 60/2020-07-28 20/2020-07-27 10/2020-07-27 5/2020-07-25 100/2020-07-24 30/2020-07-23 50/2020-07-23 28/2020-07-22 30/2020-07-20 15/2020-07-20 70/2020-07-20 50/2020-07-19 100/2020-07-17 15/2020-07-16 30/2020-07-16 52/2020-07-16 20/2020-07-15 30/2020-07-15 30/2020-07-14 30/2020-07-14 20/2020-07-14 30/2020-07-14 30/2020-07-14 100/2020-07-14 20/2020-07-14 100/2020-07-13 20/2020-07-13 15/2020-07-11 5/2020-07-10 15/2020-07-10 30/2020-07-09 20/2020-07-09 100/2020-07-09 50/2020-07-08 100/2020-07-06 20/2020-07-06 100/2020-07-05 21/2020-07-04 30/2020-07-04 100/2020-07-04 100/2020-07-04 15/2020-07-03 15/2020-07-03 10/2020-07-03 135/2020-07-03 10/2020-07-02 30/2020-07-02 50/2020-07-02 30/2020-07-01 100/2020-06-29 10/2020-06-29 20/2020-06-27 10/2020-06-23 20/2020-06-23 30/2020-06-23 15/2020-06-23 9/2020-06-23 100/2020-06-22 60/2020-06-21 5/2020-06-21 30/2020-06-20 30/2020-06-20 15/2020-06-20 100/2020-06-20 15/2020-06-20 30/2020-06-19 70/2020-06-19 300/2020-06-19 50/2020-06-18 50/2020-06-18 50/2020-06-16 35/2020-06-16 100/2020-06-15 30/2020-06-11 50/2020-06-08 65/2020-06-08 10/2020-06-08 50/2020-06-06 15/2020-06-06 30/2020-06-05 25/2020-06-04 50/2020-06-02 10/2020-06-02 100/2020-06-01 10/2020-06-01 30/2020-05-31 50/2020-05-31 50/2020-05-29 20/2020-05-29 50/2020-05-19 50/2020-05-16 20/2020-05-16 50/2020-05-12 4/2020-05-11 50/2020-05-08 20/2020-05-06 50/2020-05-05 60/2020-05-04 100/2020-05-03 50/2020-05-02 700/2020-05-02 100/2020-05-01 100/2020-04-26 50/2020-04-26 100/2020-04-26 15/2020-04-26 100/2020-04-25 100/2020-04-25 15/2020-04-24 25/2020-04-24 100/2020-04-23 10/2020-04-23 50/2020-04-21 31/2020-04-20 30/2020-04-18 10/2020-04-17 20/2020-04-17 20/2020-04-14 10/2020-04-14 50/2020-04-14 30/2020-04-14 15/2020-04-14 20/2020-04-13 20/2020-04-11 15/2020-04-11 50/2020-04-11 30/2020-04-10 20/2020-04-10 15/2020-04-10 30/2020-04-10 15/2020-04-10 25/2020-04-10 50/2020-04-09 30/2020-04-08 50/2020-04-08 100/2020-04-08 4/2020-04-08 10/2020-04-08 20/2020-04-08 100/2020-04-07 100/2020-04-06 30/2020-04-06 30/2020-04-06 100/2020-04-06 15/2020-04-05 250/2020-04-05 15/2020-04-04 300/2020-04-04 50/2020-04-04 50/2020-04-04 50/2020-04-04 30/2020-04-03 50/2020-04-03 100/2020-04-03 170/2020-04-03 60/2020-04-03 50/2020-04-03 35/2020-04-02 30/2020-04-02 10/2020-04-01 50/2020-04-01 15/2020-04-01 30/2020-04-01 25/2020-03-29 20/2020-03-29 100/2020-03-29 30/2020-03-28 20/2020-03-28 50/2020-03-28 50/2020-03-28 20/2020-03-28 15/2020-03-28 50/2020-03-28 200/2020-03-28 20/2020-03-28 10/2020-03-28 15/2020-03-28 50/2020-03-28 30/2020-03-28 10/2020-03-28 20/2020-03-28 30/2020-03-28 30/2020-03-28 30/2020-03-28 100/2020-03-28 15/2020-03-28 10/2020-03-28 20/2020-03-28 30/2020-03-27 15/2020-03-27 30/2020-03-27 30/2020-03-27 100/2020-03-27 50/2020-03-27 300/2020-03-27 20/2020-03-27 30/2020-03-26 30/2020-03-26 50/2020-03-26 30/2020-03-26 30/2020-03-26 20/2020-03-26 10/2020-03-26 300/2020-03-25 15/2020-03-25 30/2020-03-25 100/2020-03-25 30/2020-03-25 10/2020-03-25 15/2020-03-25 50/2020-03-25 25/2020-03-25 100/2020-03-25 100/2020-03-24 50/2020-03-24 15/2020-03-24 50/2020-03-24 100/2020-03-23 100/2020-03-23 30/2020-03-23 30/2020-03-23 10/2020-03-23 10/2020-03-23 25/2020-03-23 15/2020-03-22 30/2020-03-22 10/2020-03-22 15/2020-03-22 30/2020-03-22 10/2020-03-22 5/2020-03-22 20/2020-03-22 100/2020-03-22 50/2020-03-22 30/2020-03-21 30/2020-03-21 10/2020-03-21 5/2020-03-21 15/2020-03-21 500/2020-03-21 15/2020-03-21 10/2020-03-21 20/2020-03-20 10/2020-03-20 30/2020-03-20 10/2020-03-20 120/2020-03-20 10/2020-03-20 30/2020-03-20 30/2020-03-20 50/2020-03-19 50/2020-03-19 15/2020-03-19 15/2020-03-19 15/2020-03-19 50/2020-03-19 20/2020-03-19 10/2020-03-19 30/2020-03-18 18/2020-03-18 100/2020-03-18 15/2020-03-18 15/2020-03-18 30/2020-03-18 15/2020-03-18 5/2020-03-17 5/2020-03-17 15/2020-03-17 50/2020-03-17 30/2020-03-17 10/2020-03-17 20/2020-03-16 5/2020-03-16 20/2020-03-16 50/2020-03-16 10/2020-03-16 5/2020-03-16 10/2020-03-16 10/2020-03-16 100/2020-03-16 25/2020-03-16 5/2020-03-16 100/2020-03-16 50/2020-03-16 10/2020-03-15 30/2020-03-15 50/2020-03-15 5/2020-03-15 15/2020-03-15 50/2020-03-15 30/2020-03-15 30/2020-03-14 50/2020-03-14 50/2020-03-14 30/2020-03-14 30/2020-03-14 50/2020-03-14 100/2020-03-14 20/2020-03-14 100/2020-03-14 100/2020-03-14 15/2020-03-13 30/2020-03-13 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=LutonFoodbank1&pageUrl=2,2020-09-30,,,24489
"Monthly meeting of members of the Women's Institute .","Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA","St Peters Hersham",,False,2019-10-20,"2020-10-04 20/2020-10-03 30/2020-10-03 100/2020-09-30 30/2020-09-27 5/2020-09-25 100/2020-09-23 250/2020-09-18 100/2020-09-09 50/2020-09-09 50/2020-09-07 200/2020-09-06 15/2020-08-30 40/2020-08-24 30/2020-08-20 250/2020-08-16 100/2020-08-13 30/2020-08-12 345/2020-08-11 250/2020-08-10 30/2020-08-07 50/2020-08-06 15/2020-08-04 100/2020-07-31 10/2020-07-26 50/2020-07-24 100/2020-07-20 150/2020-07-17 100/2020-07-16 10/2020-07-14 100/2020-07-14 50/2020-07-13 150/2020-07-12 50/2020-07-10 100/2020-07-10 50/2020-07-09 30/2020-07-07 100/2020-07-06 50/2020-07-04 100/2020-07-02 100/2020-07-02 50/2020-06-30 20/2020-06-30 15/2020-06-29 100/2020-06-29 50/2020-06-26 100/2020-06-23 225/2020-06-22 50/2020-06-19 100/2020-06-18 50/2020-06-18 30/2020-06-18 100/2020-06-17 100/2020-06-16 500/2020-06-16 20/2020-06-16 10/2020-06-15 100/2020-06-12 100/2020-06-11 100/2020-06-11 50/2020-06-08 100/2020-06-08 50/2020-06-05 25/2020-06-03 100/2020-06-03 100/2020-06-03 50/2020-06-02 200/2020-06-01 200/2020-05-31 100/2020-05-28 50/2020-05-25 500/2020-05-22 15/2020-05-22 30/2020-05-22 30/2020-05-21 45/2020-05-21 20/2020-05-20 15/2020-05-20 10/2020-05-20 50/2020-05-20 10/2020-05-20 20/2020-05-20 10/2020-05-20 30/2020-05-20 25/2020-05-20 20/2020-05-20 30/2020-05-18 10/2020-05-16 30/2020-05-15 50/2020-05-15 50/2020-05-14 100/2020-05-14 30/2020-05-14 20/2020-05-12 20/2020-05-11 70/2020-05-11 50/2020-05-11 10/2020-05-10 50/2020-05-10 50/2020-05-09 25/2020-05-07 50/2020-05-07 150/2020-05-07 50/2020-05-05 30/2020-05-04 30/2020-05-04 75/2020-05-04 10/2020-05-03 150/2020-05-03 102/2020-05-02 10/2020-05-02 50/2020-05-02 50/2020-05-02 100/2020-05-01 10/2020-05-01 40/2020-05-01 60/2020-05-01 200/2020-05-01 20/2020-05-01 50/2020-05-01 100/2020-05-01 50/2020-05-01 120/2020-04-30 30/2020-04-29 20/2020-04-29 100/2020-04-27 205/2020-04-27 50/2020-04-25 100/2020-04-24 30/2020-04-24 100/2020-04-24 500/2020-04-23 30/2020-04-23 500/2020-04-22 100/2020-04-22 100/2020-04-21 30/2020-04-21 50/2020-04-21 200/2020-04-21 100/2020-04-20 50/2020-04-20 50/2020-04-19 50/2020-04-18 30/2020-04-18 50/2020-04-18 30/2020-04-18 100/2020-04-18 30/2020-04-17 100/2020-04-17 30/2020-04-17 100/2020-04-17 30/2020-04-17 1000/2020-04-17 30/2020-04-17 30/2020-04-17 50/2020-04-17 20/2020-04-16 30/2020-04-16 200/2020-04-16 100/2020-04-15 30/2020-04-15 250/2020-04-15 100/2020-04-15 15/2020-04-15 20/2020-04-14 150/2020-04-14 10/2020-04-14 10/2020-04-14 30/2020-04-14 50/2020-04-14 30/2020-04-13 50/2020-04-12 100/2020-04-12 100/2020-04-12 50/2020-04-12 100/2020-04-12 50/2020-04-12 50/2020-04-11 50/2020-04-11 50/2020-04-11 85/2020-04-10 50/2020-04-10 500/2020-04-10 96/2020-04-10 100/2020-04-10 50/2020-04-09 100/2020-04-09 50/2020-04-09 500/2020-04-09 100/2020-04-09 100/2020-04-09 50/2020-04-09 100/2020-04-09 100/2020-04-09 200/2020-04-09 100/2020-04-09 50/2020-04-09 10/2020-04-09 100/2020-04-08 50/2020-04-08 20/2020-04-08 100/2020-04-07 15/2020-04-07 50/2020-04-07 20/2020-04-07 50/2020-04-07 15/2020-04-07 100/2020-04-07 100/2020-04-06 15/2020-04-06 100/2020-04-06 50/2020-04-05 100/2020-04-05 25/2020-04-05 50/2020-04-05 15/2020-04-05 25/2020-04-05 30/2020-04-04 10/2020-04-04 1000/2020-04-04 100/2020-04-03 100/2020-04-03 100/2020-04-03 25/2020-04-02 45/2020-04-02 15/2020-04-02 15/2020-04-02 25/2020-04-01 100/2020-04-01 25/2020-04-01 20/2020-04-01 10/2020-04-01 50/2020-04-01 50/2020-04-01 50/2020-04-01 100/2020-04-01 10/2020-04-01 15/2020-03-31 10/2020-03-31 100/2020-03-31 50/2020-03-31 200/2020-03-31 15/2020-03-31 50/2020-03-31 250/2020-03-31 30/2020-03-31 10/2020-03-30 20/2020-03-30 10/2020-03-30 20/2020-03-30 10/2020-03-30 30/2020-03-30 50/2020-03-30 250/2020-03-29 20/2020-03-29 15/2020-03-29 50/2020-03-29 30/2020-03-29 10/2020-03-28 50/2020-03-28 15/2020-03-28 100/2020-03-28 100/2020-03-28 10/2020-03-28 39/2020-03-28 30/2020-03-27 100/2020-03-27 100/2020-03-27 250/2020-03-27 100/2020-03-26 15/2020-03-26 50/2020-03-26 30/2020-03-25 10/2020-03-25 100/2020-03-25 30/2020-03-24 15/2020-03-24 50/2020-03-24 30/2020-03-24 15/2020-03-23 30/2020-03-23 100/2020-03-22 50/2020-03-21 100/2020-03-21 30/2020-03-21 50/2020-03-20 100/2020-03-20 15/2020-03-20 10/2020-03-20 50/2020-03-19 50/2020-03-19 50/2020-03-19 30/2020-03-18 100/2020-03-18 1000/2020-03-17 50/2020-03-17 50/2020-03-17 30/2020-03-17 200/2020-03-17 200/2020-03-16 30/2020-03-16 100/2020-01-25 200/2020-01-17 50/2019-12-19 1234/2019-12-16 5/2019-12-13 50/2019-12-09 100/2019-12-08 50/2019-12-07 20/2019-12-07 200/2019-12-04 30/2019-11-22 100/2019-11-14 100/2019-10-21 50/2019-10-20 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=WaltonAndHershamFoodbank&pageUrl=1,2020-10-04,"West Sussex","RH13 5SA",32017
"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS","Runnymede Foodbank","£5 will buy a flask for a homeless person £10 will fund a Christmas dinner for a local family £21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program Thank you for your generosity    Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide. We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis.  We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively.  People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses.  We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future.  The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.",False,2020-05-10,"2020-06-19 10/2020-06-12 30/2020-05-27 125/2020-05-25 50/2020-05-17 15/2020-05-15 50/2020-05-14 100/2020-05-13 30/2020-05-13 20/2020-05-13 30/2020-05-13 20/2020-05-10 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=WeybridgeCovidFoodbankAppeal&pageUrl=1,2020-09-20,"Throughout Wales",,575
,"St. Marks Church,Battersea Rise  London,  SW11 1EJ","Wandsworth Foodbank","Wandsworth Foodbank - Administered by Junction Community Trust  Providing emergency food & support to local people in crisis in the London borough of Wandsworth. We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK. Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year. We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use. ",False,2020-03-09,"2020-04-01 25/2020-03-31 10/2020-03-31 15/2020-03-30 10/2020-03-30 5/2020-03-27 10/2020-03-27 10/2020-03-18 30/2020-03-10 100/2020-03-10 20/2020-03-10 10/2020-03-09 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GreatWelshMarathonforWandsworthFoodbank1&pageUrl=1&isTeam=true,2020-04-01,,,265
,"The Vineyard,  Richmond,  TW10 6AQ","Vineyard Community Centre","Vineyard Community Urgent Covid-19 Appeal Why we need your help We urgently need more funds to enable us to sustain our operations here in Richmond Upon Thames and to develop our response to the coronavirus crisis.   Several companies have responded to the Covid-19 crisis by offering a matching program for all donations to charities made by their employees. Please enquire with your employer and make sure you don't miss this matching opportunity as it makes a difference for us! To avoid contributing to the spread of the virus we have temporarily closed our Morning-Drop in sessions for homeless people, but we are continuing to provide individual help and support - particularly through our food bank services.  We are offering a delivery-only service - taking food parcels to individuals and families in need across the borough.    Demand for our services is increasing dramatically as more people are finding themselves suddenly in need of support.  Unfortunately we have been simultaneously hit by:   The Vineyard Community Centre provides help at a morning drop-in to those in crisis: whether by homelessness, addictions or those experiencing mental or social difficulty. In an afternoon cafe, open to all, there is support to those who feel lonely, isolated or socially excluded.  The Richmond Foodbank runs during the afternoon cafe on a Monday and Thursday.",False,2020-04-22,"2020-07-02 50/2020-06-01 50/2020-05-28 50/2020-05-27 50/2020-05-24 5/2020-05-22 30/2020-05-16 50/2020-05-16 15/2020-05-16 50/2020-05-15 10/2020-05-15 76/2020-05-15 100/2020-05-15 40/2020-05-15 15/2020-05-15 30/2020-05-14 50/2020-05-14 50/2020-05-14 30/2020-05-13 100/2020-05-13 30/2020-05-12 50/2020-05-12 50/2020-05-10 50/2020-05-03 20/2020-04-30 30/2020-04-29 100/2020-04-28 15/2020-04-28 30/2020-04-27 30/2020-04-27 100/2020-04-27 50/2020-04-27 30/2020-04-27 100/2020-04-26 30/2020-04-25 50/2020-04-25 50/2020-04-25 25/2020-04-25 100/2020-04-25 50/2020-04-25 20/2020-04-25 12/2020-04-24 50/2020-04-24 100/2020-04-24 50/2020-04-24 50/2020-04-24 100/2020-04-24 15/2020-04-24 15/2020-04-24 20/2020-04-24 30/2020-04-24 30/2020-04-24 30/2020-04-23 100/2020-04-23 25/2020-04-23 50/2020-04-23 30/2020-04-23 15/2020-04-23 50/2020-04-23 50/2020-04-23 30/2020-04-23 50/2020-04-23 15/2020-04-23 100/2020-04-23 100/2020-04-23 50/2020-04-23 50/2020-04-23 20/2020-04-23 100/2020-04-23 20/2020-04-23 30/2020-04-23 50/2020-04-23 30/2020-04-23 20/2020-04-23 20/2020-04-22 50",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=TandRLibDemsFoodbankAppeal1&pageUrl=3&isTeam=true,2020-07-02,,,3671
,"St. Marks Church,Battersea Rise  London,  SW11 1EJ","Wandsworth Foodbank","Wandsworth Foodbank - Administered by Junction Community Trust  Providing emergency food & support to local people in crisis in the London borough of Wandsworth. We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK. Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year. We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use. ",False,2020-03-09,"2020-04-01 25/2020-03-31 10/2020-03-31 15/2020-03-30 10/2020-03-30 5/2020-03-27 10/2020-03-27 10/2020-03-18 30/2020-03-10 100/2020-03-10 20/2020-03-10 10/2020-03-09 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GreatWelshMarathonforWandsworthFoodbank1&pageUrl=1&isTeam=true,2020-04-01,,,265
,"St. Marks Church,Battersea Rise  London,  SW11 1EJ","Wandsworth Foodbank","Wandsworth Foodbank - Administered by Junction Community Trust  Providing emergency food & support to local people in crisis in the London borough of Wandsworth. We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK. Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year. We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use. ",False,2020-03-09,"2020-04-01 25/2020-03-31 10/2020-03-31 15/2020-03-30 10/2020-03-30 5/2020-03-27 10/2020-03-27 10/2020-03-18 30/2020-03-10 100/2020-03-10 20/2020-03-10 10/2020-03-09 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GreatWelshMarathonforWandsworthFoodbank1&pageUrl=1&isTeam=true,2020-04-01,,,265
,"48-49 Chancery Lane,  London,  WC2A 1JF","London Legal Support Trust","The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East",True,2020-05-12,"2020-05-12 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=DadsHouse2020&pageUrl=5,2020-05-12,,,30
,"Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA","Luton Foodbank","Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty.  Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food. We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry.  We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page. Thank you!",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=BushmeadPrimarySchool&pageUrl=1,,,,0
