Activities,Address,Charity,Complete,Created,Description,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
,"48-49 Chancery Lane,  London,  WC2A 1JF","London Legal Support Trust",True,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=lisklaw20&pageUrl=5,,,,0
"IN ADMINISTRATION. HTI IS A THRIVING NOT FOR PROFIT SOCIAL ENTERPRISE AT THE FOREFRONT OF SCHOOL LEADERSHIP DEVELOPMENT OFFERING A DIVERSE AND INNOVATIVE PORTFOLIO OF LEADERSHIP DEVELOPMENT OPPORTUNITIES REGIONALLY, NATIONALLY AND INTERNATIONALLY.WHAT MAKES HTI DIFFERENT FROM OTHER ORGANISATIONS IS THE FOCUS ON ALIGNING EDUCATION PROVISION WITH EMPLOYABILITY NEEDS.","Hatters Lane,  High Wycombe,Buckinghamshire  HP13 7NJ","St Andrew's Church High Wycombe",True,2014-11-18,"St. Andrew's Church, High Wycombe is an evangelical, outreaching community church on the east-side of the large market town of High Wycombe in Buckinghamshire.   ","2014-11-18 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=soupkitchen&pageUrl=2&isTeam=true,2014-11-18,"Throughout England And Wales",,5
,"The Old Police House,Hyde Park  London,  W2 2UH","The Royal Parks",True,2016-04-14,"The Royal Parks are one of Britain’s greatest national treasures, to be protected and enjoyed, for today and future generations. Can you imagine London without them? London’s eight amazing Royal Parks offer 5,000 acres of green space to more than 77 million visitors a year – from local Londoners to visitors from around the world. Home to thousands of trees, plants and wildlife species and the setting for historic monuments and landscapes, these vital green sanctuaries give our city space to breathe. It costs more than £35 million to care for these green spaces each year. We work hard to raise funds for a sustainable future for our capital’s green spaces. We are passionate about sharing the magic of the Royal Parks with as many people as possible. As a charity, we work to protect 500 years of history, inspire the next generation with the wonders of the natural world, make London a happier and healthier place to live and conserve precious wildlife.  The Royal Parks are: Hyde, The Green, Richmond, Greenwich, St James’s, Bushy and The Regent’s Parks, and Kensington Gardens. We also manage other important open spaces in the capital including Grosvenor Square Garden, Brompton Cemetery, Victoria Tower Gardens, Canning Green and Poet’s Corner.","2016-04-14 50/2016-04-14 50/2016-04-14 100",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=ChristineKitchen,2016-04-14,,,200
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support",True,,"Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus.  For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.   We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support.  Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=DebbieKitchen1&pageUrl=1,,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",0
,"10 Parkway,  London,  NW1 7AA","Diabetes UK",True,2019-10-26,"Diabetes UK is the charity for people with diabetes, their family, friends and carers. Our mission is to improve the lives of people with the condition and work towards a future without diabetes. Diabetes UK is one of the largest patient organisations in Europe. We stand up for the interests of people with diabetes by campaigning for better standards of care. We are the largest funder in the UK of research into better treatments for diabetes and the search for a cure. We provide practical support and information and safety net services to help people manage their diabetes. For more information please visit our website: www.diabetes.org.uk.","2019-11-18 35/2019-11-10 20/2019-11-05 15/2019-10-26 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GuyKitchen&pageUrl=1,2019-11-18,,,100
"The organisation provides information and advice on all categories of enquiry to the constituents of North East Somerset.","Thomley,Menmarsh Road  Worminghall,Aylesbury  HP18 9JZ",Thomley,True,,"A place for people of all abilities & disabilities. Thomley is a fully-accessible recreation and social centre near Worminghall, between Oxford and Aylesbury.  Our centre brings disabled people, their families, carers and friends together with experienced and nurturing staff that understand their needs.  Over a thousand disabled people use our service each year and for many our centre is a lifeline. Without the support of our donors and volunteers we simply wouldn't exist.  However large or small, your financial contribution will directly support disabled people and their families. Thank you!",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=JoeCKitchen&pageUrl=2,,"Bath And North East Somerset",,0
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support",True,2020-05-14,"Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus.  For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.   We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support.  Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","2020-05-16 10/2020-05-14 15/2020-05-14 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=MandyKitchener&pageUrl=2,2020-05-16,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",35
"The charity makes donations to support general charitable purposes.","6th Floor Westminster Tower,3 Albert Embankment  LONDON,Greater London  SE1 7SP","Pancreatic Cancer UK",True,,"Pancreatic Cancer UK is fighting to make a difference. We’re taking on pancreatic cancer together: by supporting those affected by the disease, investing in research, lobbying for greater recognition of pancreatic cancer, and being there for everyone involved in the fight. For too long this disease has been sidelined. We want to make sure that everyone touched by it gets the support and information they need. We’re here for everything you need to know about pancreatic cancer.",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=NicolaKitchener1&pageUrl=1,,"Throughout England And Wales","AL1 4SB",0
Education,"61-65 Victoria Road,  Farnborough,Hampshire  GU14 7PA","The Brain Tumour Charity",True,2020-01-13,"The Brain Tumour Charity is at the forefront of the fight to defeat brain tumours, making a difference every day to the lives of people with a brain tumour and their families.  We fund pioneering research to increase survival and improve treatment options.  We raise awareness of the symptoms and effects of brain tumours to get earlier diagnosis and to help families cope with everything that the diagnosis of a brain tumour brings.  We provide support for everyone affected so that they can live as full a life as possible, with the best quality of life. We are committed to having the biggest possible impact for every person affected by a brain tumour, to defending the most amazing part of the human body, so that getting the diagnosis of a brain tumour no longer means a death sentence.  Brain tumours are different to other cancers, as they affect the part of you that makes you who you are.  Living with a brain tumour has a significant impact on quality of life, as evidenced through recent research, resulting in the publication of ‘Losing Myself: The Reality of Life with a Brain Tumour’. We believe that fighting brain tumours on all fronts through research, awareness and support is the only way to save lives, reduce long term disabilities and help everyone with a brain tumour and their families cope with everything that the diagnosis of a brain tumour brings. We are members of the Association of Medical Research Charities, The Information Standard, The Helplines Partnership and the Fundraising Standards Board.","2020-03-12 10/2020-02-02 25/2020-01-31 30/2020-01-31 10/2020-01-13 25/2020-01-13 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RichardKitchen3&pageUrl=1,2020-03-12,Ceredigion,,110
,"The Children's Foundation,Sir James Spence Institute Of Chil  Victoria Wing,Royal Victoria Infirmary  NE99 2YB","The Children's Foundation",True,,"Our vision is for the health and wellbeing of children and young people in North East England to be the best in the UK. We fund research so we can help to cure sick children and prevent them from becoming ill.    We also investigate lifestyle issues which we hope will lead to better long-term outcomes for children in the region. We support NHS projects including the Great North Children's Hospital with our campaign to include the latest technology in the wards to make the time spent in hospital as comfortable and stress-free as possible for children and their families.    We manage partnership projects which deliver practical, researched interventions to help children with disabilities or mental health issues and to promote the importance of child safety. We aim to make North East children and ultimately children in the UK Happy, Healthy and Safe.",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SuzieKitchen&pageUrl=1,,,,0
