CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1110522,"The Trussell Trust",False,2020-04-22,80,80,"2020-07-08 30/2020-07-02 200/2020-06-30 2640/2020-06-29 10/2020-06-26 30/2020-06-25 30/2020-06-17 50/2020-06-16 50/2020-06-13 20/2020-06-12 250/2020-06-09 40/2020-06-09 100/2020-06-09 100/2020-06-09 100/2020-06-08 50/2020-06-05 30/2020-06-04 240/2020-06-03 100/2020-06-02 100/2020-06-01 125/2020-06-01 50/2020-06-01 5/2020-05-30 30/2020-05-29 95/2020-05-27 100/2020-05-27 50/2020-05-23 30/2020-05-20 870/2020-05-16 50/2020-05-15 800/2020-05-13 1000/2020-05-12 20/2020-05-12 10/2020-05-11 30/2020-05-11 30/2020-05-11 250/2020-05-10 30/2020-05-10 20/2020-05-10 100/2020-05-10 5/2020-05-09 30/2020-05-07 20/2020-05-06 150/2020-05-06 100/2020-05-05 100/2020-05-05 100/2020-05-03 100/2020-05-03 50/2020-05-03 150/2020-05-02 100/2020-05-02 181/2020-05-01 100/2020-05-01 10/2020-05-01 10/2020-05-01 100/2020-04-30 10/2020-04-30 10",https://www.justgiving.com/Brent-FoodBank,2020-07-08,10456,5000,"Donating to Brent Foodbank"
,,,1153813,"Slough Foodbank",False,2020-06-08,17,17,"2020-09-02 2500/2020-07-29 250/2020-07-27 1000/2020-07-17 10/2020-07-16 10/2020-07-16 20/2020-07-16 10/2020-07-14 1000/2020-07-14 20/2020-07-14 10/2020-07-14 10/2020-07-13 20/2020-07-13 1000/2020-07-02 5000/2020-06-11 100",https://www.justgiving.com/Slough-Foodbank1,2020-09-02,25460,25000,"M4 J3-12 Project - Fundraising for Slough Foodbank"
,,"Throughout London, Kent",1134973,"The Philadelphia Network Limited",False,2020-05-06,49,49,"2020-11-28 50/2020-11-24 50/2020-11-21 20/2020-11-10 30/2020-11-05 30/2020-11-03 10/2020-11-02 50/2020-11-01 50/2020-10-31 50/2020-10-31 30/2020-10-31 50/2020-10-31 20/2020-10-31 30/2020-10-31 100/2020-08-09 50/2020-07-08 30/2020-07-08 30/2020-06-24 10/2020-06-23 30/2020-05-28 30/2020-05-27 20/2020-05-25 50/2020-05-24 30/2020-05-23 50/2020-05-23 30/2020-05-22 30/2020-05-22 30/2020-05-16 10/2020-05-16 20/2020-05-16 50/2020-05-16 30",https://www.justgiving.com/Fulwood-Foodbank-Appeal,2020-11-28,2340,10000,"Fulwood Foodbank supporting hungry families across Sheffield"
,,,SC045121,"Glasgow South West Foodbank",False,2020-12-11,18,18,"2020-12-13 50/2020-12-13 10/2020-12-13 10/2020-12-13 30/2020-12-13 10/2020-12-13 10/2020-12-12 10/2020-12-12 10/2020-12-12 10/2020-12-12 10/2020-12-12 20/2020-12-12 20/2020-12-12 10/2020-12-12 20/2020-12-12 20/2020-12-12 10/2020-12-11 10",https://www.justgiving.com/helpglasgowfoodbanks,2020-12-13,290,500,"Help Glasgow Foodbanks!"
,,,1043985,"UCKG HelpCentre",True,2020-12-07,0,0,,https://www.justgiving.com/Gigi02,,0,1000,"G's Raising funds for the Foodbank "
,,,1110522,"The Trussell Trust",False,2020-12-12,6,6,"2020-12-12 20/2020-12-12 10/2020-12-12 10/2020-12-12 20",https://www.justgiving.com/jaimie-t,2020-12-12,80,50,"FoodBank Charity Quiz"
,,,1110522,"The Trussell Trust",False,2020-12-08,83,83,"2020-12-13 10/2020-12-13 30/2020-12-13 100/2020-12-13 5/2020-12-13 5/2020-12-13 10/2020-12-13 5/2020-12-12 10/2020-12-12 5/2020-12-12 100/2020-12-11 10/2020-12-11 5/2020-12-11 5/2020-12-10 10/2020-12-10 10/2020-12-10 10/2020-12-10 10/2020-12-10 5/2020-12-10 10/2020-12-10 5/2020-12-10 10/2020-12-10 10/2020-12-10 5/2020-12-10 10/2020-12-10 10/2020-12-10 5/2020-12-09 5/2020-12-09 10/2020-12-09 10/2020-12-09 5/2020-12-09 5/2020-12-09 10/2020-12-09 10/2020-12-09 10/2020-12-09 5/2020-12-09 10/2020-12-09 10/2020-12-09 10/2020-12-08 10/2020-12-08 5/2020-12-08 5/2020-12-08 5/2020-12-08 10/2020-12-08 10/2020-12-08 10/2020-12-08 10/2020-12-08 10/2020-12-08 10/2020-12-08 5/2020-12-08 5/2020-12-08 50/2020-12-08 5/2020-12-08 10/2020-12-08 30/2020-12-08 5/2020-12-08 5/2020-12-08 20/2020-12-08 10/2020-12-08 5/2020-12-08 5/2020-12-08 10/2020-12-08 10/2020-12-08 10/2020-12-08 5/2020-12-08 10/2020-12-08 10/2020-12-08 5/2020-12-08 10",https://www.justgiving.com/Sam-Avery-Comedy,2020-12-13,982,500,"Sam's Christmas Foodbank Appeal"
,,,1110522,"The Trussell Trust",False,2020-12-09,21,21,"2020-12-11 10/2020-12-11 20/2020-12-11 20/2020-12-11 30/2020-12-11 15/2020-12-11 30/2020-12-11 50/2020-12-10 50/2020-12-10 30/2020-12-10 30/2020-12-10 30/2020-12-09 30/2020-12-09 25/2020-12-09 30/2020-12-09 30/2020-12-09 25",https://www.justgiving.com/IAPRURISK,2020-12-11,570,500,"IA Pru Risk Foodbank"
,,,SC045121,"Glasgow South West Foodbank",True,2020-12-10,7,7,"2020-12-12 10/2020-12-11 10/2020-12-11 20/2020-12-11 10/2020-12-11 5/2020-12-11 10/2020-12-10 10",https://www.justgiving.com/disclosurescotlandfundraising,2020-12-12,75,300,"Disclosure Scotland Foodbank Appeal"
,,,1185219,"Brandlesholme Community Centre & Foodbank",True,2020-12-11,0,0,,https://www.justgiving.com/fmgnattaxmas2020,,0,750,"Brandlesholme Community Centre & Foodbank"
