Key,Activities,Address,Charity,Complete,Created,Description,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
0,,"56 Alleyn Road,  London,  SE21 8AH","Norwood and Brixton Foodbank Limited",False,2020-12-15,"  The Norwood and Brixton Foodbank is part of the Trussell Trust network of foodbanks that provide essential food and toiletries to people in crisis. The Foodbank was formed in September 2011 with the support and encouragement of a number of local churches. Having established distribution points in West Norwood, Brixton and Streatham the foodbank regularly feeds 10,000 people in poverty each year. Over 70 tonnes of food is needed to meet the need in our community and your donation will help us towards meeting that goal. **Corona Virus Update: Since the outbreak of Covid-19 we have adapted our parcel distribution model to ensure the safety of our clients and staff. We have developed a delivery service shipping parcels directly from our Streatham warehouse to our client's homes. Despite the huge logistical challenge this presents, and an estimated 400% increase in demand, we have still been able to provide essential food parcels to all those referred to us. Thank you for your continued donations that are making this possible**  ","2020-12-22 10/2020-12-22 20/2020-12-21 30/2020-12-21 10/2020-12-21 100/2020-12-18 10/2020-12-18 10/2020-12-18 30/2020-12-18 20/2020-12-18 15/2020-12-18 15/2020-12-18 15/2020-12-18 15/2020-12-17 15/2020-12-16 10/2020-12-16 10/2020-12-16 15/2020-12-16 30/2020-12-16 40/2020-12-16 20/2020-12-16 30/2020-12-16 20/2020-12-16 10/2020-12-16 15/2020-12-15 50/2020-12-15 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=NLambethCouncilHousingDepartment&pageUrl=1,2020-12-22,,,590
1,"HALO
1. Helps to eliminate the threat to lives and livelihoods posed by landmines and Explosive Remnants of War (ERW);
2. Designs and delivers physical security & stockpile management (PSSM) of explosive ammunition for the protection of civilians;
3. Reduces the potential for armed violence in fragile states;
4. Responds rapidly to crises to alleviate suffering and enable humanitarian efforts.","Westgate House,Museum Street  Ipswich,  IP1 1HQ","Lighthouse Women's Aid",False,2020-02-05,"Lighthouse Women’s Aid supports women, young people and children who have suffered or are at risk of suffering from domestic violence and abuse by providing safe refuge, information and advice, emotional, practical support and therapeutic interventions to enable them to make informed choices about their lives. Services currently provided are: To find out more about the work that we do, please take a look at our website: www.lighthousewa.org.uk    ","2020-05-29 10/2020-03-10 20/2020-03-05 10/2020-03-05 15/2020-03-04 5/2020-03-02 15/2020-03-02 5/2020-03-02 100/2020-03-02 5/2020-03-02 5/2020-03-02 100/2020-03-02 15/2020-03-02 2/2020-03-02 5/2020-03-02 5/2020-02-29 15/2020-02-28 20/2020-02-28 100/2020-02-28 15/2020-02-28 5/2020-02-28 5/2020-02-28 15/2020-02-28 25/2020-02-28 10/2020-02-28 15/2020-02-26 100/2020-02-26 50/2020-02-26 5/2020-02-26 100/2020-02-25 10/2020-02-24 15/2020-02-21 25/2020-02-13 10/2020-02-13 15/2020-02-13 15/2020-02-10 15/2020-02-07 100/2020-02-07 20/2020-02-05 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=CurtisBanks202021&pageUrl=1&isTeam=true,2020-05-29,"City Of Westminster, Wiltshire, Afghanistan, Angola, Armenia, Bosnia And Herzegovina, Burma, Cambodia, Colombia, El Salvador, Georgia, Guatemala, Guinea-bissau, Honduras, Iraq, Jordan, Kosovo, Laos, Libya, Occupied Palestinian Territories, Scotland, Somalia, Sri Lanka, Syria, Ukraine, Yemen, Zimbabwe","DG3 5BF",1242
2,,"Derbyshire Mind,Ashbourne Road  Mackworth,Derby  DE22 4NB","Derbyshire Mind",True,2020-10-02,,"2020-10-02 21",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=KerryFoodsTour&pageUrl=1&isTeam=true,2020-10-02,,,21
3,"To seek out and preserve motion picture film showing life and work in the historic county of Lincolnshire, and to make such film accessible to all with an interest in Lincolnshire's local history.","51-59 Lawrie Park Road,Sydenham  London,  SE26 6DZ","St Christopher's Hospice",True,2019-02-05,"At St Christopher’s Hospice our vision is of a world in which all dying people and those close to them have access to care and support, whenever and wherever they need it.   Each person is unique and we tailor our care to meet social, emotional and spiritual needs, as well as manage physical symptoms. Our goal is to help people live well until they die and support those affected by the loss of a loved one. Every year we provide care and support to over 6,000 people across South East London, both at home and in the hospice.   We passionately believe that everyone should have access to the best care at the end of their lives and have an extensive education programme, working with people across the world, to improve and develop hospice care.   We were founded in 1967 by Dame Cicely Saunders and, 50 years later, her words still remain at the heart of everything we do: “You matter because you are you and you matter until the last moment of your life.”   As a registered charity we need to raise £16 million every year to continue to care for people when it matters most. Without the support of our local communities this wouldn’t be possible. Thank you from us all for your support.","2019-02-18 20/2019-02-18 30/2019-02-18 20/2019-02-13 30/2019-02-13 20/2019-02-09 10/2019-02-07 15/2019-02-06 100/2019-02-06 10/2019-02-06 50/2019-02-06 30/2019-02-06 15/2019-02-06 30/2019-02-05 50/2019-02-05 15/2019-02-05 50",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=BarbaraBanks,2019-02-18,"East Riding Of Yorkshire, Kingston Upon Hull City, Lincolnshire","PE22 0SU",495
4,,"15 Hammer Hill,  Haslemere,Surrey  GU27 3QY","Lions International Blood Research Appeal LIBRA",False,2015-05-14,"LIBRA raises vital funds for the Haematology Department at King's College Hospital in London, helping to tackle blood disorders and cancers including leukaemia, myeloma, lymphoma and more. By choosing to support LIBRA you are helping to improve and save lives. LIBRA is the only appeal which solely campaigns for these world renowned laboratories and our ambassador is Dame Kelly Holmes.  Blood disorders affect people of all ages and with our support the haematology team is able to develop new lifesaving treatments that benefit patients in the UK and around the world.   our current campaign Going for Gold aims to raise £300,000 to help cover the cost of specialist equipment used for research and development of new and improved blood cancer treatments.    By supporting LIBRA  you are helping to tackle blood cancers.  ","2015-06-06 20/2015-05-31 25/2015-05-29 50/2015-05-27 20/2015-05-21 670/2015-05-20 50/2015-05-18 20/2015-05-18 20/2015-05-16 20/2015-05-15 20/2015-05-15 30/2015-05-15 50/2015-05-15 50/2015-05-15 40/2015-05-14 20/2015-05-14 50/2015-05-14 100/2015-05-14 20/2015-05-14 20",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=wereforeverblowingbubbles,2015-07-07,,,1395
5,"MEMBERS MEETINGS  LECTURES  DISCUSSIONS  FUND RAISING ACTIVITIES","177 Bow Road,  London,  E3 2SG","Bow Foodbank",True,2020-11-30,"We are an independent foodbank charity that has served the local community since 2014.  We are open to those in need of food support without referral.    Currently, during the continued COVID crisis, we are offering pre-bagged items + fresh fruit and veg once a week, with some extra food for families with children. Due to the staggering increase in client numbers in 2020, we are currently urgently fundraising £240,000 to cover our food purchase costs for the early part of next year – without which, we may need to close. We need your help to contact funding bodies, trusts, foundations, corporates and community organisations who give charitable funds for food purchases. Until March 2021 we have funding from the Big Lottery Fund to cover our non-food expenses, but we find it harder to get grant funds that allow food purchases. If you have some time and skills that could help us, please join our Fundraising Team","2020-12-22 30/2020-12-22 10/2020-12-22 70/2020-12-21 50/2020-12-21 25/2020-12-21 50/2020-12-21 15/2020-12-21 30/2020-12-21 20/2020-12-21 50/2020-12-21 30/2020-12-21 50/2020-12-21 50/2020-12-21 15/2020-12-21 25/2020-12-19 50/2020-12-18 15/2020-12-18 20/2020-12-18 50/2020-12-18 120/2020-12-17 20/2020-12-17 20/2020-12-11 20/2020-12-11 5/2020-12-09 20/2020-12-07 50/2020-12-05 30/2020-12-04 50/2020-12-04 20/2020-12-03 20/2020-11-30 50/2020-11-30 20/2020-11-30 20/2020-11-30 50",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=Buzzacottfoodbankcollection&pageUrl=1&isTeam=true,2020-12-22,Kent,"TN16 1EX",1170
6,"Making grants to individuals who are undergoing training at Wonersh Seminary in Surrey.  This is administered on the behalf of the Knights of St Coumba by the Rector of Wonersh Seminary.","Flat 4 Chandlery House 40 Gowers Walk,  London,  E1 8BH","Get Kids Going!",True,2013-10-04,"Get Kids Going! is a National charity which gives disabled children and young people - up to the age of 26 years - the wonderful opportunity of participating in sport. We provide them with specially built sports wheelchairs so they can do: athletics, marathons, tennis, skiing, rugby, sailing, boccia, basketball, sledge hockey, table tennis, fencing, shooting, archery, powerlifting and many many sports. Get Kids Going! inspires British disabled youngsters to compete in sporting events, from start to paralympic level, by giving them sports grants to help their; training, physiotherapy, travel, competition fees, design and development of sports wheelchairs etc. With your help many can become world record holders and paralympic champions!  The cost of a bespoke sports wheelchair is about £4000.  A lightweight manual wheelchair is around £2500. An annual sports grant costs on average £2500. All sports wheelchairs are designed individually and perform just like a Formula 1 racing car! In general there are over 200,000 disabled children and young people in Britain who need the help of Get Kids Going!    ","2013-11-12 30/2013-11-03 50/2013-11-01 20/2013-11-01 20/2013-11-01 20/2013-11-01 50/2013-10-11 10/2013-10-08 10/2013-10-08 30/2013-10-08 10/2013-10-08 50/2013-10-08 50/2013-10-08 20/2013-10-08 20/2013-10-04 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GrahamBanks&pageUrl=2,2013-11-12,"East Sussex, Hampshire, Kent, Surrey, West Sussex","BN27 3AL",400
7,,"Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA","Luton Foodbank",False,2020-10-19,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty.  Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food. We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry.  We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page. Thank you!","2020-10-23 10/2020-10-23 5/2020-10-21 2/2020-10-21 50/2020-10-19 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RiverBankPrimarySchool&pageUrl=1,2020-10-23,,,78
8,,"8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",Hope4,False,2019-10-07,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk The Hope Centre, due to Covid-19 restricitions, is currently open 5 days a week by appointment and provides the following help: Homeless and badly housed people are helped in various ways by our skilled staff including with: Important Covid 19 update Hope4 is always very pleased to receive donations towards helping people who are homeless or temporarily housed in Rugby. As of July 2020 The Hope Centre is open (by appointment) and is able to continue its vital work with its clients, thorough its Key Worker staff and partner agencies in the town following strict Covid 19 health and safety guidelines.  Thank you for your support!","2020-12-27 100/2020-12-26 1000/2020-12-24 20/2020-12-24 50/2020-12-24 50/2020-12-24 20/2020-12-24 20/2020-12-24 150/2020-12-23 10/2020-12-23 30/2020-12-23 20/2020-12-22 50/2020-12-22 50/2020-12-22 70/2020-12-22 1000/2020-12-21 50/2020-12-21 30/2020-12-21 100/2020-12-21 100/2020-12-21 50/2020-12-20 10/2020-12-20 50/2020-12-20 30/2020-12-20 50/2020-12-20 100/2020-12-19 100/2020-12-19 30/2020-12-19 200/2020-12-19 20/2020-12-19 15/2020-12-18 30/2020-12-18 30/2020-12-18 15/2020-12-17 500/2020-12-17 15/2020-12-16 5/2020-12-16 200/2020-12-16 58/2020-12-16 300/2020-12-13 10/2020-12-13 20/2020-12-13 30/2020-12-12 15/2020-12-11 10/2020-12-11 15/2020-12-11 15/2020-12-11 50/2020-12-10 400/2020-12-10 30/2020-12-10 30/2020-12-09 30/2020-12-09 100/2020-12-08 15/2020-12-07 15/2020-12-06 100/2020-12-04 25/2020-12-04 30/2020-12-03 75/2020-12-03 30/2020-12-03 30/2020-12-02 20/2020-12-02 30/2020-12-02 15/2020-12-02 15/2020-12-01 100/2020-11-30 25/2020-11-28 30/2020-11-28 50/2020-11-27 50/2020-11-26 100/2020-11-26 15/2020-11-26 1000/2020-11-26 50/2020-11-26 100/2020-11-25 15/2020-11-25 100/2020-11-24 30/2020-11-23 35/2020-11-14 40/2020-11-14 50/2020-11-13 2000/2020-11-10 300/2020-11-10 100/2020-11-09 50/2020-11-09 50/2020-11-08 75/2020-11-07 200/2020-11-05 100/2020-11-03 50/2020-11-02 10/2020-11-01 30/2020-10-31 100/2020-10-29 20/2020-10-29 50/2020-10-27 50/2020-10-26 100/2020-10-26 100/2020-10-26 100/2020-10-26 20/2020-10-25 30/2020-10-25 20/2020-10-25 50/2020-10-25 25/2020-10-24 15/2020-10-24 10/2020-10-24 162/2020-10-24 50/2020-10-24 25/2020-10-24 15/2020-10-24 30/2020-10-23 200/2020-10-23 50/2020-10-22 6/2020-10-22 100/2020-10-22 30/2020-10-22 20/2020-10-21 30/2020-10-20 50/2020-10-20 82/2020-10-18 60/2020-10-17 20/2020-10-15 10/2020-10-15 10/2020-10-14 30/2020-10-13 20/2020-10-12 20/2020-10-12 25/2020-10-12 20/2020-10-12 15/2020-10-12 50/2020-10-12 50/2020-10-12 10/2020-10-12 30/2020-10-11 50/2020-10-11 15/2020-10-11 20/2020-10-11 100/2020-10-10 5/2020-10-10 15/2020-10-09 15/2020-10-09 20/2020-10-09 15/2020-10-08 75/2020-10-08 2/2020-10-06 50/2020-10-06 50/2020-10-04 15/2020-10-04 30/2020-10-04 15/2020-10-03 10/2020-10-03 15/2020-10-02 30/2020-10-01 5/2020-09-28 5/2020-09-27 30/2020-09-27 15/2020-09-27 30/2020-09-27 20/2020-09-26 15/2020-09-25 5/2020-09-24 50/2020-09-18 40/2020-09-17 20/2020-09-17 15/2020-09-12 15/2020-09-08 100/2020-09-05 15/2020-09-02 75/2020-08-28 30/2020-08-25 50/2020-08-19 200/2020-08-19 20/2020-08-16 75/2020-08-13 100/2020-08-12 40/2020-08-11 100/2020-07-31 100/2020-07-27 20/2020-07-21 50/2020-07-21 50/2020-07-20 20/2020-07-15 75/2020-07-14 50/2020-07-11 100/2020-07-09 100/2020-07-09 20/2020-07-08 200/2020-07-03 25/2020-07-02 15/2020-06-29 20/2020-06-15 75/2020-06-12 10/2020-06-11 10/2020-06-03 100/2020-06-01 8/2020-05-30 30/2020-05-29 50/2020-05-27 50/2020-05-26 15/2020-05-25 100/2020-05-23 5/2020-05-22 30/2020-05-22 51/2020-05-21 20/2020-05-15 50/2020-05-12 75/2020-05-11 100/2020-05-10 30/2020-05-09 50/2020-05-09 100/2020-05-08 10/2020-05-08 5/2020-05-07 20/2020-05-07 100/2020-05-07 50/2020-05-07 50/2020-05-05 30/2020-05-05 30/2020-05-04 40/2020-05-04 50/2020-05-03 300/2020-05-02 100/2020-05-02 20/2020-05-01 100/2020-04-30 15/2020-04-30 100/2020-04-28 30/2020-04-28 100/2020-04-27 50/2020-04-27 30/2020-04-26 100/2020-04-23 100/2020-04-23 20/2020-04-22 20/2020-04-20 10/2020-04-20 100/2020-04-19 50/2020-04-19 10/2020-04-19 30/2020-04-18 50/2020-04-17 5/2020-04-17 5/2020-04-17 10/2020-04-17 10/2020-04-17 5/2020-04-17 50/2020-04-16 10/2020-04-16 5/2020-04-16 30/2020-04-16 50/2020-04-16 100/2020-04-14 50/2020-04-13 33/2020-04-13 10/2020-04-12 30/2020-04-11 25/2020-04-10 30/2020-04-09 20/2020-04-09 20/2020-04-08 30/2020-04-08 50/2020-04-08 30/2020-04-08 30/2020-04-07 15/2020-04-07 50/2020-04-07 30/2020-04-07 15/2020-04-06 50/2020-04-06 50/2020-04-05 50/2020-04-04 30/2020-04-03 20/2020-04-03 30/2020-04-03 1000/2020-04-02 50/2020-04-01 30/2020-04-01 10/2020-04-01 100/2020-03-31 50/2020-03-31 100/2020-03-31 50/2020-03-31 50/2020-03-31 20/2020-03-30 200/2020-03-30 50/2020-03-29 10/2020-03-28 50/2020-03-25 30/2020-03-25 40/2020-03-23 30/2020-03-23 30/2020-03-23 30/2020-03-22 15/2020-03-22 10/2020-03-22 30/2020-03-22 20/2020-03-22 50/2020-03-22 15/2020-03-22 15/2020-03-22 50/2020-03-21 30/2020-03-21 100/2020-03-21 15/2020-03-21 30/2020-03-20 100/2020-03-19 30/2020-03-18 50/2020-03-18 500/2020-03-18 30/2020-03-17 100/2020-03-17 100/2020-03-15 25/2020-03-14 30/2020-03-14 15/2020-03-03 25/2020-02-26 10/2020-02-02 50/2020-01-27 30/2020-01-13 68/2020-01-10 50/2019-12-26 50/2019-12-25 15/2019-12-23 15/2019-12-22 30/2019-12-21 20/2019-12-15 100/2019-12-11 50/2019-12-11 100/2019-12-05 25/2019-12-03 50/2019-11-27 15/2019-11-24 10/2019-10-07 1",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RugbyFoodbank&pageUrl=1,2020-12-27,"Bedford, Central Bedfordshire, Luton",,26506
9,"Monthly meeting of members of the Women's Institute .","Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA","St Peters Hersham",False,2019-10-20,,"2020-12-27 100/2020-12-27 50/2020-12-25 20/2020-12-25 30/2020-12-24 25/2020-12-24 20/2020-12-24 50/2020-12-24 100/2020-12-24 30/2020-12-24 150/2020-12-24 50/2020-12-23 1000/2020-12-23 30/2020-12-23 30/2020-12-23 10/2020-12-23 10/2020-12-23 50/2020-12-22 50/2020-12-22 30/2020-12-22 5/2020-12-22 50/2020-12-22 50/2020-12-22 50/2020-12-21 100/2020-12-21 15/2020-12-21 100/2020-12-20 50/2020-12-20 75/2020-12-20 250/2020-12-20 100/2020-12-19 100/2020-12-19 100/2020-12-19 50/2020-12-19 30/2020-12-18 30/2020-12-17 45/2020-12-16 625/2020-12-16 20/2020-12-16 120/2020-12-15 15/2020-12-14 15/2020-12-13 50/2020-12-13 50/2020-12-13 10/2020-12-12 100/2020-12-12 100/2020-12-12 50/2020-12-12 100/2020-12-12 150/2020-12-11 15/2020-12-11 20/2020-12-10 10/2020-12-10 10/2020-12-09 50/2020-12-09 30/2020-12-09 30/2020-12-09 20/2020-12-08 20/2020-12-08 15/2020-12-08 15/2020-12-08 50/2020-12-07 30/2020-12-05 20/2020-12-04 200/2020-12-04 250/2020-12-04 100/2020-12-03 50/2020-12-01 100/2020-12-01 10/2020-12-01 200/2020-12-01 20/2020-11-30 50/2020-11-30 500/2020-11-28 15/2020-11-27 30/2020-11-27 100/2020-11-27 50/2020-11-24 30/2020-11-24 50/2020-11-24 60/2020-11-23 50/2020-11-23 200/2020-11-23 100/2020-11-21 100/2020-11-21 100/2020-11-20 40/2020-11-18 25/2020-11-18 40/2020-11-15 50/2020-11-15 10/2020-11-13 10/2020-11-10 30/2020-11-09 30/2020-11-07 30/2020-11-07 100/2020-11-07 20/2020-11-06 100/2020-11-06 15/2020-11-04 10/2020-11-02 30/2020-11-01 15/2020-11-01 100/2020-10-31 30/2020-10-31 20/2020-10-30 100/2020-10-30 15/2020-10-30 15/2020-10-28 50/2020-10-28 100/2020-10-27 20/2020-10-27 50/2020-10-27 50/2020-10-27 50/2020-10-26 50/2020-10-26 10/2020-10-26 15/2020-10-24 100/2020-10-24 50/2020-10-24 100/2020-10-24 30/2020-10-24 20/2020-10-23 30/2020-10-23 100/2020-10-23 100/2020-10-23 15/2020-10-23 50/2020-10-23 100/2020-10-23 100/2020-10-23 50/2020-10-22 50/2020-10-22 50/2020-10-21 15/2020-10-21 100/2020-10-21 500/2020-10-20 20/2020-10-18 20/2020-10-16 100/2020-10-15 100/2020-10-15 500/2020-10-15 100/2020-10-11 10/2020-10-11 100/2020-10-04 20/2020-10-03 30/2020-10-03 100/2020-09-30 30/2020-09-27 5/2020-09-25 100/2020-09-23 250/2020-09-18 100/2020-09-09 50/2020-09-09 50/2020-09-07 200/2020-09-06 15/2020-08-30 40/2020-08-24 30/2020-08-20 250/2020-08-16 100/2020-08-13 30/2020-08-12 345/2020-08-11 250/2020-08-10 30/2020-08-07 50/2020-08-06 15/2020-08-04 100/2020-07-31 10/2020-07-26 50/2020-07-24 100/2020-07-20 150/2020-07-17 100/2020-07-16 10/2020-07-14 100/2020-07-14 50/2020-07-13 150/2020-07-12 50/2020-07-10 100/2020-07-10 50/2020-07-09 30/2020-07-07 100/2020-07-06 50/2020-07-04 100/2020-07-02 100/2020-07-02 50/2020-06-30 20/2020-06-30 15/2020-06-29 100/2020-06-29 50/2020-06-26 100/2020-06-23 225/2020-06-22 50/2020-06-19 100/2020-06-18 50/2020-06-18 30/2020-06-18 100/2020-06-17 100/2020-06-16 500/2020-06-16 20/2020-06-16 10/2020-06-15 100/2020-06-12 100/2020-06-11 100/2020-06-11 50/2020-06-08 100/2020-06-08 50/2020-06-05 25/2020-06-03 100/2020-06-03 100/2020-06-03 50/2020-06-02 200/2020-06-01 200/2020-05-31 100/2020-05-28 50/2020-05-25 500/2020-05-22 15/2020-05-22 30/2020-05-22 30/2020-05-21 45/2020-05-20 15/2020-05-20 10/2020-05-20 50/2020-05-20 10/2020-05-20 20/2020-05-20 10/2020-05-20 30/2020-05-20 25/2020-05-20 20/2020-05-20 30/2020-05-18 10/2020-05-16 30/2020-05-15 50/2020-05-15 50/2020-05-14 100/2020-05-14 30/2020-05-14 20/2020-05-12 20/2020-05-11 70/2020-05-11 50/2020-05-11 10/2020-05-10 50/2020-05-10 50/2020-05-09 25/2020-05-07 50/2020-05-07 150/2020-05-07 50/2020-05-05 30/2020-05-04 30/2020-05-04 75/2020-05-04 10/2020-05-03 150/2020-05-02 10/2020-05-02 50/2020-05-02 50/2020-05-02 100/2020-05-01 10/2020-05-01 40/2020-05-01 60/2020-05-01 200/2020-05-01 20/2020-05-01 50/2020-05-01 100/2020-05-01 50/2020-05-01 120/2020-04-30 30/2020-04-29 20/2020-04-29 100/2020-04-27 205/2020-04-27 50/2020-04-25 100/2020-04-24 30/2020-04-24 100/2020-04-24 500/2020-04-23 30/2020-04-23 500/2020-04-22 100/2020-04-22 100/2020-04-21 30/2020-04-21 50/2020-04-21 200/2020-04-21 100/2020-04-20 50/2020-04-20 50/2020-04-19 50/2020-04-18 30/2020-04-18 50/2020-04-18 30/2020-04-18 100/2020-04-18 30/2020-04-17 100/2020-04-17 30/2020-04-17 100/2020-04-17 30/2020-04-17 1000/2020-04-17 30/2020-04-17 30/2020-04-17 50/2020-04-17 20/2020-04-16 30/2020-04-16 200/2020-04-16 100/2020-04-15 30/2020-04-15 250/2020-04-15 100/2020-04-15 15/2020-04-15 20/2020-04-14 150/2020-04-14 10/2020-04-14 10/2020-04-14 30/2020-04-14 50/2020-04-14 30/2020-04-13 50/2020-04-12 100/2020-04-12 100/2020-04-12 50/2020-04-12 100/2020-04-12 50/2020-04-12 50/2020-04-11 50/2020-04-11 50/2020-04-11 85/2020-04-10 50/2020-04-10 500/2020-04-10 96/2020-04-10 100/2020-04-10 50/2020-04-09 100/2020-04-09 50/2020-04-09 500/2020-04-09 100/2020-04-09 100/2020-04-09 50/2020-04-09 100/2020-04-09 100/2020-04-09 200/2020-04-09 100/2020-04-09 50/2020-04-09 10/2020-04-09 100/2020-04-08 50/2020-04-08 20/2020-04-08 100/2020-04-07 15/2020-04-07 50/2020-04-07 20/2020-04-07 50/2020-04-07 15/2020-04-07 100/2020-04-07 100/2020-04-06 15/2020-04-06 100/2020-04-06 50/2020-04-05 100/2020-04-05 25/2020-04-05 50/2020-04-05 15/2020-04-05 25/2020-04-05 30/2020-04-04 10/2020-04-04 1000/2020-04-04 100/2020-04-03 100/2020-04-03 100/2020-04-03 25/2020-04-02 45/2020-04-02 15/2020-04-02 15/2020-04-02 25/2020-04-01 100/2020-04-01 25/2020-04-01 20/2020-04-01 10/2020-04-01 50/2020-04-01 50/2020-04-01 50/2020-04-01 100/2020-04-01 10/2020-04-01 15/2020-03-31 10/2020-03-31 100/2020-03-31 50/2020-03-31 200/2020-03-31 15/2020-03-31 50/2020-03-31 250/2020-03-31 30/2020-03-31 10/2020-03-30 20/2020-03-30 10/2020-03-30 20/2020-03-30 10/2020-03-30 30/2020-03-30 50/2020-03-30 250/2020-03-29 20/2020-03-29 15/2020-03-29 50/2020-03-29 30/2020-03-29 10/2020-03-28 50/2020-03-28 15/2020-03-28 100/2020-03-28 100/2020-03-28 10/2020-03-28 39/2020-03-28 30/2020-03-27 100/2020-03-27 100/2020-03-27 250/2020-03-27 100/2020-03-26 15/2020-03-26 50/2020-03-26 30/2020-03-25 10/2020-03-25 100/2020-03-25 30/2020-03-24 15/2020-03-24 50/2020-03-24 30/2020-03-24 15/2020-03-23 30/2020-03-23 100/2020-03-22 50/2020-03-21 100/2020-03-21 30/2020-03-21 50/2020-03-20 100/2020-03-20 15/2020-03-20 10/2020-03-20 50/2020-03-19 50/2020-03-19 50/2020-03-19 30/2020-03-18 100/2020-03-18 1000/2020-03-17 50/2020-03-17 50/2020-03-17 30/2020-03-17 200/2020-03-17 200/2020-03-16 30/2020-03-16 100/2020-01-25 200/2020-01-17 50/2019-12-16 5/2019-12-13 50/2019-12-09 100/2019-12-08 50/2019-12-07 20/2019-12-07 200/2019-12-04 30/2019-11-22 100/2019-11-14 100/2019-10-21 50/2019-10-20 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=WaltonAndHershamFoodbank&pageUrl=1,2020-12-27,"West Sussex","RH13 5SA",44987
