Key,Activities,Address,Charity,Complete,Created,Description,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
0,,"8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",Hope4,False,2019-10-07,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk The Hope Centre, due to Covid-19 restricitions, is currently open 5 days a week by appointment and provides the following help: Homeless and badly housed people are helped in various ways by our skilled staff including with: Important Covid 19 update Hope4 is always very pleased to receive donations towards helping people who are homeless or temporarily housed in Rugby. As of July 2020 The Hope Centre is open (by appointment) and is able to continue its vital work with its clients, thorough its Key Worker staff and partner agencies in the town following strict Covid 19 health and safety guidelines.  Thank you for your support!","2020-12-27 100/2020-12-26 1000/2020-12-24 20/2020-12-24 50/2020-12-24 50/2020-12-24 20/2020-12-24 20/2020-12-24 150/2020-12-23 10/2020-12-23 30/2020-12-23 20/2020-12-22 50/2020-12-22 50/2020-12-22 70/2020-12-22 1000/2020-12-21 50/2020-12-21 30/2020-12-21 100/2020-12-21 100/2020-12-21 50/2020-12-20 10/2020-12-20 50/2020-12-20 30/2020-12-20 50/2020-12-20 100/2020-12-19 100/2020-12-19 30/2020-12-19 200/2020-12-19 20/2020-12-19 15/2020-12-18 30/2020-12-18 30/2020-12-18 15/2020-12-17 500/2020-12-17 15/2020-12-16 5/2020-12-16 200/2020-12-16 58/2020-12-16 300/2020-12-13 10/2020-12-13 20/2020-12-13 30/2020-12-12 15/2020-12-11 10/2020-12-11 15/2020-12-11 15/2020-12-11 50/2020-12-10 400/2020-12-10 30/2020-12-10 30/2020-12-09 30/2020-12-09 100/2020-12-08 15/2020-12-07 15/2020-12-06 100/2020-12-04 25/2020-12-04 30/2020-12-03 75/2020-12-03 30/2020-12-03 30/2020-12-02 20/2020-12-02 30/2020-12-02 15/2020-12-02 15/2020-12-01 100/2020-11-30 25/2020-11-28 30/2020-11-28 50/2020-11-27 50/2020-11-26 100/2020-11-26 15/2020-11-26 1000/2020-11-26 50/2020-11-26 100/2020-11-25 15/2020-11-25 100/2020-11-24 30/2020-11-23 35/2020-11-14 40/2020-11-14 50/2020-11-13 2000/2020-11-10 300/2020-11-10 100/2020-11-09 50/2020-11-09 50/2020-11-08 75/2020-11-07 200/2020-11-05 100/2020-11-03 50/2020-11-02 10/2020-11-01 30/2020-10-31 100/2020-10-29 20/2020-10-29 50/2020-10-27 50/2020-10-26 100/2020-10-26 100/2020-10-26 100/2020-10-26 20/2020-10-25 30/2020-10-25 20/2020-10-25 50/2020-10-25 25/2020-10-24 15/2020-10-24 10/2020-10-24 162/2020-10-24 50/2020-10-24 25/2020-10-24 15/2020-10-24 30/2020-10-23 200/2020-10-23 50/2020-10-22 6/2020-10-22 100/2020-10-22 30/2020-10-22 20/2020-10-21 30/2020-10-20 50/2020-10-20 82/2020-10-18 60/2020-10-17 20/2020-10-15 10/2020-10-15 10/2020-10-14 30/2020-10-13 20/2020-10-12 20/2020-10-12 25/2020-10-12 20/2020-10-12 15/2020-10-12 50/2020-10-12 50/2020-10-12 10/2020-10-12 30/2020-10-11 50/2020-10-11 15/2020-10-11 20/2020-10-11 100/2020-10-10 5/2020-10-10 15/2020-10-09 15/2020-10-09 20/2020-10-09 15/2020-10-08 75/2020-10-08 2/2020-10-06 50/2020-10-06 50/2020-10-04 15/2020-10-04 30/2020-10-04 15/2020-10-03 10/2020-10-03 15/2020-10-02 30/2020-10-01 5/2020-09-28 5/2020-09-27 30/2020-09-27 15/2020-09-27 30/2020-09-27 20/2020-09-26 15/2020-09-25 5/2020-09-24 50/2020-09-18 40/2020-09-17 20/2020-09-17 15/2020-09-12 15/2020-09-08 100/2020-09-05 15/2020-09-02 75/2020-08-28 30/2020-08-25 50/2020-08-19 200/2020-08-19 20/2020-08-16 75/2020-08-13 100/2020-08-12 40/2020-08-11 100/2020-07-31 100/2020-07-27 20/2020-07-21 50/2020-07-21 50/2020-07-20 20/2020-07-15 75/2020-07-14 50/2020-07-11 100/2020-07-09 100/2020-07-09 20/2020-07-08 200/2020-07-03 25/2020-07-02 15/2020-06-29 20/2020-06-15 75/2020-06-12 10/2020-06-11 10/2020-06-03 100/2020-06-01 8/2020-05-30 30/2020-05-29 50/2020-05-27 50/2020-05-26 15/2020-05-25 100/2020-05-23 5/2020-05-22 30/2020-05-22 51/2020-05-21 20/2020-05-15 50/2020-05-12 75/2020-05-11 100/2020-05-10 30/2020-05-09 50/2020-05-09 100/2020-05-08 10/2020-05-08 5/2020-05-07 20/2020-05-07 100/2020-05-07 50/2020-05-07 50/2020-05-05 30/2020-05-05 30/2020-05-04 40/2020-05-04 50/2020-05-03 300/2020-05-02 100/2020-05-02 20/2020-05-01 100/2020-04-30 15/2020-04-30 100/2020-04-28 30/2020-04-28 100/2020-04-27 50/2020-04-27 30/2020-04-26 100/2020-04-23 100/2020-04-23 20/2020-04-22 20/2020-04-20 10/2020-04-20 100/2020-04-19 50/2020-04-19 10/2020-04-19 30/2020-04-18 50/2020-04-17 5/2020-04-17 5/2020-04-17 10/2020-04-17 10/2020-04-17 5/2020-04-17 50/2020-04-16 10/2020-04-16 5/2020-04-16 30/2020-04-16 50/2020-04-16 100/2020-04-14 50/2020-04-13 33/2020-04-13 10/2020-04-12 30/2020-04-11 25/2020-04-10 30/2020-04-09 20/2020-04-09 20/2020-04-08 30/2020-04-08 50/2020-04-08 30/2020-04-08 30/2020-04-07 15/2020-04-07 50/2020-04-07 30/2020-04-07 15/2020-04-06 50/2020-04-06 50/2020-04-05 50/2020-04-04 30/2020-04-03 20/2020-04-03 30/2020-04-03 1000/2020-04-02 50/2020-04-01 30/2020-04-01 10/2020-04-01 100/2020-03-31 50/2020-03-31 100/2020-03-31 50/2020-03-31 50/2020-03-31 20/2020-03-30 200/2020-03-30 50/2020-03-29 10/2020-03-28 50/2020-03-25 30/2020-03-25 40/2020-03-23 30/2020-03-23 30/2020-03-23 30/2020-03-22 15/2020-03-22 10/2020-03-22 30/2020-03-22 20/2020-03-22 50/2020-03-22 15/2020-03-22 15/2020-03-22 50/2020-03-21 30/2020-03-21 100/2020-03-21 15/2020-03-21 30/2020-03-20 100/2020-03-19 30/2020-03-18 50/2020-03-18 500/2020-03-18 30/2020-03-17 100/2020-03-17 100/2020-03-15 25/2020-03-14 30/2020-03-14 15/2020-03-03 25/2020-02-26 10/2020-02-02 50/2020-01-27 30/2020-01-13 68/2020-01-10 50/2019-12-26 50/2019-12-25 15/2019-12-23 15/2019-12-22 30/2019-12-21 20/2019-12-15 100/2019-12-11 50/2019-12-11 100/2019-12-05 25/2019-12-03 50/2019-11-27 15/2019-11-24 10/2019-10-07 1",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RugbyFoodbank&pageUrl=1,2020-12-27,"Bedford, Central Bedfordshire, Luton",,26506
1,"Monthly meeting of members of the Women's Institute .","Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA","St Peters Hersham",False,2019-10-20,,"2020-12-27 100/2020-12-27 50/2020-12-25 20/2020-12-25 30/2020-12-24 25/2020-12-24 20/2020-12-24 50/2020-12-24 100/2020-12-24 30/2020-12-24 150/2020-12-24 50/2020-12-23 1000/2020-12-23 30/2020-12-23 30/2020-12-23 10/2020-12-23 10/2020-12-23 50/2020-12-22 50/2020-12-22 30/2020-12-22 5/2020-12-22 50/2020-12-22 50/2020-12-22 50/2020-12-21 100/2020-12-21 15/2020-12-21 100/2020-12-20 50/2020-12-20 75/2020-12-20 250/2020-12-20 100/2020-12-19 100/2020-12-19 100/2020-12-19 50/2020-12-19 30/2020-12-18 30/2020-12-17 45/2020-12-16 625/2020-12-16 20/2020-12-16 120/2020-12-15 15/2020-12-14 15/2020-12-13 50/2020-12-13 50/2020-12-13 10/2020-12-12 100/2020-12-12 100/2020-12-12 50/2020-12-12 100/2020-12-12 150/2020-12-11 15/2020-12-11 20/2020-12-10 10/2020-12-10 10/2020-12-09 50/2020-12-09 30/2020-12-09 30/2020-12-09 20/2020-12-08 20/2020-12-08 15/2020-12-08 15/2020-12-08 50/2020-12-07 30/2020-12-05 20/2020-12-04 200/2020-12-04 250/2020-12-04 100/2020-12-03 50/2020-12-01 100/2020-12-01 10/2020-12-01 200/2020-12-01 20/2020-11-30 50/2020-11-30 500/2020-11-28 15/2020-11-27 30/2020-11-27 100/2020-11-27 50/2020-11-24 30/2020-11-24 50/2020-11-24 60/2020-11-23 50/2020-11-23 200/2020-11-23 100/2020-11-21 100/2020-11-21 100/2020-11-20 40/2020-11-18 25/2020-11-18 40/2020-11-15 50/2020-11-15 10/2020-11-13 10/2020-11-10 30/2020-11-09 30/2020-11-07 30/2020-11-07 100/2020-11-07 20/2020-11-06 100/2020-11-06 15/2020-11-04 10/2020-11-02 30/2020-11-01 15/2020-11-01 100/2020-10-31 30/2020-10-31 20/2020-10-30 100/2020-10-30 15/2020-10-30 15/2020-10-28 50/2020-10-28 100/2020-10-27 20/2020-10-27 50/2020-10-27 50/2020-10-27 50/2020-10-26 50/2020-10-26 10/2020-10-26 15/2020-10-24 100/2020-10-24 50/2020-10-24 100/2020-10-24 30/2020-10-24 20/2020-10-23 30/2020-10-23 100/2020-10-23 100/2020-10-23 15/2020-10-23 50/2020-10-23 100/2020-10-23 100/2020-10-23 50/2020-10-22 50/2020-10-22 50/2020-10-21 15/2020-10-21 100/2020-10-21 500/2020-10-20 20/2020-10-18 20/2020-10-16 100/2020-10-15 100/2020-10-15 500/2020-10-15 100/2020-10-11 10/2020-10-11 100/2020-10-04 20/2020-10-03 30/2020-10-03 100/2020-09-30 30/2020-09-27 5/2020-09-25 100/2020-09-23 250/2020-09-18 100/2020-09-09 50/2020-09-09 50/2020-09-07 200/2020-09-06 15/2020-08-30 40/2020-08-24 30/2020-08-20 250/2020-08-16 100/2020-08-13 30/2020-08-12 345/2020-08-11 250/2020-08-10 30/2020-08-07 50/2020-08-06 15/2020-08-04 100/2020-07-31 10/2020-07-26 50/2020-07-24 100/2020-07-20 150/2020-07-17 100/2020-07-16 10/2020-07-14 100/2020-07-14 50/2020-07-13 150/2020-07-12 50/2020-07-10 100/2020-07-10 50/2020-07-09 30/2020-07-07 100/2020-07-06 50/2020-07-04 100/2020-07-02 100/2020-07-02 50/2020-06-30 20/2020-06-30 15/2020-06-29 100/2020-06-29 50/2020-06-26 100/2020-06-23 225/2020-06-22 50/2020-06-19 100/2020-06-18 50/2020-06-18 30/2020-06-18 100/2020-06-17 100/2020-06-16 500/2020-06-16 20/2020-06-16 10/2020-06-15 100/2020-06-12 100/2020-06-11 100/2020-06-11 50/2020-06-08 100/2020-06-08 50/2020-06-05 25/2020-06-03 100/2020-06-03 100/2020-06-03 50/2020-06-02 200/2020-06-01 200/2020-05-31 100/2020-05-28 50/2020-05-25 500/2020-05-22 15/2020-05-22 30/2020-05-22 30/2020-05-21 45/2020-05-20 15/2020-05-20 10/2020-05-20 50/2020-05-20 10/2020-05-20 20/2020-05-20 10/2020-05-20 30/2020-05-20 25/2020-05-20 20/2020-05-20 30/2020-05-18 10/2020-05-16 30/2020-05-15 50/2020-05-15 50/2020-05-14 100/2020-05-14 30/2020-05-14 20/2020-05-12 20/2020-05-11 70/2020-05-11 50/2020-05-11 10/2020-05-10 50/2020-05-10 50/2020-05-09 25/2020-05-07 50/2020-05-07 150/2020-05-07 50/2020-05-05 30/2020-05-04 30/2020-05-04 75/2020-05-04 10/2020-05-03 150/2020-05-02 10/2020-05-02 50/2020-05-02 50/2020-05-02 100/2020-05-01 10/2020-05-01 40/2020-05-01 60/2020-05-01 200/2020-05-01 20/2020-05-01 50/2020-05-01 100/2020-05-01 50/2020-05-01 120/2020-04-30 30/2020-04-29 20/2020-04-29 100/2020-04-27 205/2020-04-27 50/2020-04-25 100/2020-04-24 30/2020-04-24 100/2020-04-24 500/2020-04-23 30/2020-04-23 500/2020-04-22 100/2020-04-22 100/2020-04-21 30/2020-04-21 50/2020-04-21 200/2020-04-21 100/2020-04-20 50/2020-04-20 50/2020-04-19 50/2020-04-18 30/2020-04-18 50/2020-04-18 30/2020-04-18 100/2020-04-18 30/2020-04-17 100/2020-04-17 30/2020-04-17 100/2020-04-17 30/2020-04-17 1000/2020-04-17 30/2020-04-17 30/2020-04-17 50/2020-04-17 20/2020-04-16 30/2020-04-16 200/2020-04-16 100/2020-04-15 30/2020-04-15 250/2020-04-15 100/2020-04-15 15/2020-04-15 20/2020-04-14 150/2020-04-14 10/2020-04-14 10/2020-04-14 30/2020-04-14 50/2020-04-14 30/2020-04-13 50/2020-04-12 100/2020-04-12 100/2020-04-12 50/2020-04-12 100/2020-04-12 50/2020-04-12 50/2020-04-11 50/2020-04-11 50/2020-04-11 85/2020-04-10 50/2020-04-10 500/2020-04-10 96/2020-04-10 100/2020-04-10 50/2020-04-09 100/2020-04-09 50/2020-04-09 500/2020-04-09 100/2020-04-09 100/2020-04-09 50/2020-04-09 100/2020-04-09 100/2020-04-09 200/2020-04-09 100/2020-04-09 50/2020-04-09 10/2020-04-09 100/2020-04-08 50/2020-04-08 20/2020-04-08 100/2020-04-07 15/2020-04-07 50/2020-04-07 20/2020-04-07 50/2020-04-07 15/2020-04-07 100/2020-04-07 100/2020-04-06 15/2020-04-06 100/2020-04-06 50/2020-04-05 100/2020-04-05 25/2020-04-05 50/2020-04-05 15/2020-04-05 25/2020-04-05 30/2020-04-04 10/2020-04-04 1000/2020-04-04 100/2020-04-03 100/2020-04-03 100/2020-04-03 25/2020-04-02 45/2020-04-02 15/2020-04-02 15/2020-04-02 25/2020-04-01 100/2020-04-01 25/2020-04-01 20/2020-04-01 10/2020-04-01 50/2020-04-01 50/2020-04-01 50/2020-04-01 100/2020-04-01 10/2020-04-01 15/2020-03-31 10/2020-03-31 100/2020-03-31 50/2020-03-31 200/2020-03-31 15/2020-03-31 50/2020-03-31 250/2020-03-31 30/2020-03-31 10/2020-03-30 20/2020-03-30 10/2020-03-30 20/2020-03-30 10/2020-03-30 30/2020-03-30 50/2020-03-30 250/2020-03-29 20/2020-03-29 15/2020-03-29 50/2020-03-29 30/2020-03-29 10/2020-03-28 50/2020-03-28 15/2020-03-28 100/2020-03-28 100/2020-03-28 10/2020-03-28 39/2020-03-28 30/2020-03-27 100/2020-03-27 100/2020-03-27 250/2020-03-27 100/2020-03-26 15/2020-03-26 50/2020-03-26 30/2020-03-25 10/2020-03-25 100/2020-03-25 30/2020-03-24 15/2020-03-24 50/2020-03-24 30/2020-03-24 15/2020-03-23 30/2020-03-23 100/2020-03-22 50/2020-03-21 100/2020-03-21 30/2020-03-21 50/2020-03-20 100/2020-03-20 15/2020-03-20 10/2020-03-20 50/2020-03-19 50/2020-03-19 50/2020-03-19 30/2020-03-18 100/2020-03-18 1000/2020-03-17 50/2020-03-17 50/2020-03-17 30/2020-03-17 200/2020-03-17 200/2020-03-16 30/2020-03-16 100/2020-01-25 200/2020-01-17 50/2019-12-16 5/2019-12-13 50/2019-12-09 100/2019-12-08 50/2019-12-07 20/2019-12-07 200/2019-12-04 30/2019-11-22 100/2019-11-14 100/2019-10-21 50/2019-10-20 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=WaltonAndHershamFoodbank&pageUrl=1,2020-12-27,"West Sussex","RH13 5SA",44987
2,,"The Trussell Trust,Unit 9, Ashfield Trading Estate  Ashfield Road,Salisbury  SP2 7HL","The Trussell Trust",False,2020-11-26,"We support a nationwide network of food banks and together we provide emergency food and support to people locked in poverty, and campaign for change to end the need for food banks in the UK. In the UK, more than 14 million people are living in poverty – including 4.5 million children. We support more than 1,200 food bank centres in the UK to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face. Between April 2018 and March 2019, food banks in our network provided a record 1.6 million food supplies to people in crisis, a 19% increase on the previous year. That's why your fundraising is important now more than ever. Over the last 5 years food bank use in our network has increased by 73%. This is a trend we need to break and we can only do this with your support. We value every penny raised and every conversation started.  We know it takes more than food to end hunger. That’s why we bring together the experiences of food banks in our network to challenge the structural economic issues that lock people in poverty, and campaign to end the need for food banks in the UK. If you'd like more information or have any questions about fundraising please don't hesitate to contact us. We'd be delighted to hear from you. ","2020-12-24 30/2020-12-22 12/2020-12-18 52/2020-12-16 150/2020-12-11 15/2020-12-10 30/2020-12-10 20/2020-12-09 12/2020-12-08 50/2020-12-08 50/2020-12-06 30/2020-12-04 30/2020-12-02 12/2020-12-01 20/2020-12-01 12/2020-12-01 30/2020-12-01 30/2020-12-01 50/2020-12-01 15/2020-12-01 12/2020-12-01 12/2020-12-01 50/2020-12-01 50/2020-12-01 20/2020-11-30 15/2020-11-30 12/2020-11-30 20/2020-11-30 15/2020-11-30 30/2020-11-30 50/2020-11-30 15/2020-11-30 30/2020-11-30 112/2020-11-30 100/2020-11-30 50/2020-11-30 50/2020-11-30 12/2020-11-30 30/2020-11-30 50/2020-11-30 12/2020-11-30 30/2020-11-30 15/2020-11-30 10/2020-11-30 62/2020-11-30 30/2020-11-30 15/2020-11-30 15/2020-11-30 12/2020-11-30 50/2020-11-30 15/2020-11-30 100/2020-11-30 50/2020-11-30 12/2020-11-30 30/2020-11-30 20/2020-11-30 15/2020-11-30 50/2020-11-30 30/2020-11-30 12/2020-11-30 12/2020-11-30 12/2020-11-30 12/2020-11-30 12/2020-11-30 20/2020-11-29 50/2020-11-29 50/2020-11-29 30/2020-11-28 12/2020-11-27 20/2020-11-27 50/2020-11-27 50/2020-11-27 50/2020-11-27 12/2020-11-27 50/2020-11-27 30/2020-11-27 212/2020-11-27 30/2020-11-27 12/2020-11-27 30/2020-11-27 30/2020-11-27 50/2020-11-27 250/2020-11-27 30/2020-11-27 50/2020-11-27 15/2020-11-27 12/2020-11-27 12/2020-11-27 50/2020-11-27 50/2020-11-27 15/2020-11-27 12/2020-11-27 30/2020-11-27 12/2020-11-27 30/2020-11-27 30/2020-11-27 30/2020-11-27 15/2020-11-27 30/2020-11-27 100/2020-11-27 12/2020-11-27 50/2020-11-27 30/2020-11-27 15/2020-11-27 30/2020-11-27 12/2020-11-27 20/2020-11-27 15/2020-11-27 250/2020-11-27 62/2020-11-27 100/2020-11-27 150/2020-11-27 12/2020-11-27 12/2020-11-27 15/2020-11-27 112/2020-11-27 30/2020-11-27 12/2020-11-27 30/2020-11-27 15/2020-11-27 50/2020-11-27 15/2020-11-27 50/2020-11-27 12/2020-11-27 15/2020-11-27 12/2020-11-27 10/2020-11-27 30/2020-11-27 12/2020-11-27 30/2020-11-27 200/2020-11-27 50/2020-11-27 200/2020-11-27 15/2020-11-27 30/2020-11-27 250/2020-11-27 250/2020-11-27 250/2020-11-27 250/2020-11-27 20/2020-11-26 1000",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=ChaucerXmasFoodbank2020&pageUrl=9&isTeam=true,2020-12-24,,,7951
3,,"56 Alleyn Road,  London,  SE21 8AH","Norwood and Brixton Foodbank Limited",False,2020-10-29,"  The Norwood and Brixton Foodbank is part of the Trussell Trust network of foodbanks that provide essential food and toiletries to people in crisis. The Foodbank was formed in September 2011 with the support and encouragement of a number of local churches. Having established distribution points in West Norwood, Brixton and Streatham the foodbank regularly feeds 10,000 people in poverty each year. Over 70 tonnes of food is needed to meet the need in our community and your donation will help us towards meeting that goal. **Corona Virus Update: Since the outbreak of Covid-19 we have adapted our parcel distribution model to ensure the safety of our clients and staff. We have developed a delivery service shipping parcels directly from our Streatham warehouse to our client's homes. Despite the huge logistical challenge this presents, and an estimated 400% increase in demand, we have still been able to provide essential food parcels to all those referred to us. Thank you for your continued donations that are making this possible**  ","2020-11-23 5/2020-11-15 15/2020-11-10 30/2020-11-10 30/2020-11-09 20/2020-11-09 30/2020-11-08 30/2020-11-08 20/2020-11-08 10/2020-11-08 20/2020-11-08 16/2020-11-08 15/2020-11-08 15/2020-11-08 15/2020-11-08 5/2020-11-08 30/2020-11-08 20/2020-11-08 30/2020-11-08 20/2020-11-08 50/2020-11-08 25/2020-11-07 20/2020-11-07 5/2020-11-07 17/2020-11-07 20/2020-11-07 15/2020-11-07 15/2020-11-07 50/2020-11-06 50/2020-11-05 10/2020-11-04 15/2020-11-04 10/2020-11-04 50/2020-11-04 100/2020-11-03 15/2020-10-31 30/2020-10-31 20/2020-10-29 20/2020-10-29 20/2020-10-29 20/2020-10-29 15/2020-10-29 50/2020-10-29 15/2020-10-29 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=4LFoodbankchallenge&pageUrl=1&isTeam=true,2020-11-23,,,1362
4,,"120 Laugherne Road,  Worcester,  WR2 5LT","Worcester Foodbank",False,2020-11-27,"The Mission of Worcester Foodbank To end hunger and food poverty in our city.  We aim to help people in crisis who are referred to us by local agencies, by providing food parcels and other essential household products in a non-judgemental place.  Since June 2012 Worcester Foodbank has provided a lifeline to thousands of people and families that cannot afford to eat. Through food and cash donations we are able to supply 3 day emergency food parcels to those in financial crisis. With every passing year we have seen the demands on our service rise as the pressure of low income, benefit issues, debt and issues following the rollout of Universal Credit drag more people into crisis. The support Worcester Foodbank provides helps to restore people with a fresh hope for their future.  By the end of this year we anticipate that we will have provided food parcels to feed over 10,000 people and over 53,000 since opening in June 2012.  That will represent about 665,000 meals, and 665,000 occasions upon which someone did not go hungry.   Our Vision and Values Worcester Foodbank operates under the Charitable status and Trustee governance of All Saints Church, Worcester, and under a franchise from the national foodbank charity, the Trussell Trust. Our vision and core values reflect both organisations; and we are committed to: In all of this we seek to remove the need for our services by reducing food poverty in this country. Our strategic aim is to close because we are no longer needed.","2020-12-03 50/2020-12-02 15/2020-12-01 20/2020-11-30 30/2020-11-30 20/2020-11-30 20/2020-11-30 30/2020-11-30 20/2020-11-27 100/2020-11-27 20/2020-11-27 30/2020-11-27 20/2020-11-27 15/2020-11-27 10/2020-11-27 50/2020-11-27 15/2020-11-27 100/2020-11-27 15/2020-11-27 15/2020-11-27 50/2020-11-27 15/2020-11-27 15/2020-11-27 15/2020-11-27 30/2020-11-27 10/2020-11-27 30/2020-11-27 10/2020-11-27 30/2020-11-27 20/2020-11-27 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=PrimesChristmasFoodbankFund&pageUrl=1&isTeam=true,2020-12-03,,,905
5,,"The Bede Foodbank,Newcastle West End Foodbank  331 Benwell Lane,Newcastle-upon-tyne  NE15 6NG","Newcastle West End Foodbank",False,2020-12-02,,"2020-12-27 20/2020-12-24 15/2020-12-24 10/2020-12-24 20/2020-12-23 20/2020-12-21 30/2020-12-20 15/2020-12-19 30/2020-12-19 10/2020-12-18 30/2020-12-18 5/2020-12-18 175/2020-12-18 30/2020-12-18 10/2020-12-17 15/2020-12-14 30/2020-12-13 10/2020-12-12 10/2020-12-11 5/2020-12-10 50/2020-12-10 100/2020-12-09 10/2020-12-09 5/2020-12-07 50/2020-12-06 20/2020-12-05 20/2020-12-02 20/2020-12-02 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=PontelandRunnersNewcastleFoodbankAppeal&pageUrl=1&isTeam=true,2020-12-27,Oxfordshire,,820
6,,"The Trussell Trust,Unit 9, Ashfield Trading Estate  Ashfield Road,Salisbury  SP2 7HL","The Trussell Trust",True,2020-12-14,"We support a nationwide network of food banks and together we provide emergency food and support to people locked in poverty, and campaign for change to end the need for food banks in the UK. In the UK, more than 14 million people are living in poverty – including 4.5 million children. We support more than 1,200 food bank centres in the UK to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face. Between April 2018 and March 2019, food banks in our network provided a record 1.6 million food supplies to people in crisis, a 19% increase on the previous year. That's why your fundraising is important now more than ever. Over the last 5 years food bank use in our network has increased by 73%. This is a trend we need to break and we can only do this with your support. We value every penny raised and every conversation started.  We know it takes more than food to end hunger. That’s why we bring together the experiences of food banks in our network to challenge the structural economic issues that lock people in poverty, and campaign to end the need for food banks in the UK. If you'd like more information or have any questions about fundraising please don't hesitate to contact us. We'd be delighted to hear from you. ","2020-12-21 275/2020-12-18 50/2020-12-17 15/2020-12-15 200/2020-12-15 100/2020-12-15 200/2020-12-15 30/2020-12-15 100/2020-12-14 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AnaplanforTrussellTrustandFoodbanks&pageUrl=1&isTeam=true,2020-12-21,,,1000
7,,"56 Alleyn Road,  London,  SE21 8AH","Norwood and Brixton Foodbank Limited",False,2020-10-29,"  The Norwood and Brixton Foodbank is part of the Trussell Trust network of foodbanks that provide essential food and toiletries to people in crisis. The Foodbank was formed in September 2011 with the support and encouragement of a number of local churches. Having established distribution points in West Norwood, Brixton and Streatham the foodbank regularly feeds 10,000 people in poverty each year. Over 70 tonnes of food is needed to meet the need in our community and your donation will help us towards meeting that goal. **Corona Virus Update: Since the outbreak of Covid-19 we have adapted our parcel distribution model to ensure the safety of our clients and staff. We have developed a delivery service shipping parcels directly from our Streatham warehouse to our client's homes. Despite the huge logistical challenge this presents, and an estimated 400% increase in demand, we have still been able to provide essential food parcels to all those referred to us. Thank you for your continued donations that are making this possible**  ","2020-11-23 5/2020-11-15 15/2020-11-10 30/2020-11-10 30/2020-11-09 20/2020-11-09 30/2020-11-08 30/2020-11-08 20/2020-11-08 10/2020-11-08 20/2020-11-08 16/2020-11-08 15/2020-11-08 15/2020-11-08 15/2020-11-08 5/2020-11-08 30/2020-11-08 20/2020-11-08 30/2020-11-08 20/2020-11-08 50/2020-11-08 25/2020-11-07 20/2020-11-07 5/2020-11-07 17/2020-11-07 20/2020-11-07 15/2020-11-07 15/2020-11-07 50/2020-11-06 50/2020-11-05 10/2020-11-04 15/2020-11-04 10/2020-11-04 50/2020-11-04 100/2020-11-03 15/2020-10-31 30/2020-10-31 20/2020-10-29 20/2020-10-29 20/2020-10-29 20/2020-10-29 15/2020-10-29 50/2020-10-29 15/2020-10-29 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=4LFoodbankchallenge&pageUrl=1&isTeam=true,2020-11-23,,,1362
8,,"48-49 Chancery Lane,  London,  WC2A 1JF","London Legal Support Trust",True,2020-05-12,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","2020-05-12 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=DadsHouse2020&pageUrl=5,2020-05-12,,,30
9,"LIGHT INTO EUROPE IS A BRITISH CHARITY FOUNDED IN 1986. SINCE 2004, WE HAVE BEEN WORKING WITH THE DEAF AND BLIND COMMUNITIES IN ROMANIA. OUR VISION IS TO DEVELOP A NATIONAL PROGRAM THAT WILL HELP THE SENSORIAL IMPAIRED CHILDREN AND YOUNG PEOPLE TO IMPROVE THEIR LIFE EXPECTATIONS AND TO BECOME ACTIVE AND ACCEPTED MEMBERS OF THE ROMANIAN SOCIETY.","St. Margarets Lane,  King's Lynn,Norfolk  PE30 5DS","Kings Lynn Foodbank",True,2020-11-16,,"2020-11-16 5/2020-11-16 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=kingslynnfoodbankchristmasdonation2020&pageUrl=1,2020-11-16,Romania,"CO13 9AA",20
