Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
" Kindness Homeless Street Team Glasgow ","Glasgow, Scotland, United Kingdom",https://uk.gofundme.com/f/kindness-homeless-street-team-glasgow,86374,100000,,2020-01-03,,,0,," Kindness Homeless Street Team is a community group which supports Glasgow's homeless and vulnerable people. We provide food  clothing  toiletries and emotional support to our friends on the street. With the help of you all  we have been able to purchase two vehicles to support our soup kitchen and second hand furniture to our recently housed friends. We have also secured our donation centre at 417-419 London Road and paid for our years lease upfront. Our soup kitchen operates from George Square four evenings per week. Sunday  Monday Wednesday and Friday from 7pm. Food parcels are available from here as well as hot food  cold food  toiletries  towels  clothing and footwear. We support up to 150 people per outing. Our donation centre at 417-419 London Road is opened six days per week. 11-2 everyday except a Thursday. We provide food parcels from here. Thank you so much for your ongoing support  as a community group we rely solely on fundraising without this our services wouldn’t be possible. If you want to get involved please email us at [email redacted] ",False
" Sponsored Cycle and Mountain Walk ","Belfast, Northern Ireland, United Kingdom",https://uk.gofundme.com/f/sponsored-cycle-and-mountain-walk,1205,500,,2020-10-15,,,0,,"Hey guys  I am taking part in a sponsored cycle from Belfast to Newcastle in County Down then we are climbing Slieve Donard. This is in Aid of ""The People's Kitchen"" a soup kitchen in Belfast. They work tirelessly week in and week out to provide food for the vulnerable of Belfast. Any donation would be much appreciated.  Seán https://www.facebook.com/peopleskitchenbelfast/",False
" SUNDERLAND SOUP KITCHEN & FOODBANK FUNDRAISER 2019","Sunderland, North East England, United Kingdom",https://uk.gofundme.com/f/christmas-foodbank-amp-homeless-shelter-fundraiser,19550,18000,2021-02-05,2019-12-02,,,798,"2021-02-05 20/2020-12-23 30/2020-12-19 100/2020-12-18 300/2020-12-17 50/2020-12-17 10/2020-12-17 50/2020-12-11 10/2020-12-09 10/2019-12-24 10/2019-12-23 40/2019-12-22 20/2019-12-21 25/2019-12-21 10/2019-12-19 124/2019-12-18 10/2019-12-18 20/2019-12-17 20/2019-12-16 10/2019-12-16 16/2019-12-15 100/2019-12-13 20/2019-12-13 10/2019-12-13 10/2019-12-12 5/2019-12-12 10/2019-12-12 10/2019-12-12 5/2019-12-12 5/2019-12-12 10/2019-12-12 20/2019-12-12 10/2019-12-12 10/2019-12-12 20/2019-12-12 100/2019-12-12 10/2019-12-12 10/2019-12-12 40/2019-12-11 10/2019-12-11 10/2019-12-11 25/2019-12-11 20/2019-12-11 5/2019-12-11 20/2019-12-11 20/2019-12-11 5/2019-12-11 25/2019-12-11 10/2019-12-11 20/2019-12-11 30/2019-12-11 25/2019-12-11 10/2019-12-11 10/2019-12-11 10/2019-12-11 5/2019-12-11 65/2019-12-11 10/2019-12-11 25/2019-12-11 100/2019-12-11 100/2019-12-11 50/2019-12-11 5/2019-12-11 200/2019-12-11 10/2019-12-11 10/2019-12-11 50/2019-12-11 10/2019-12-11 10/2019-12-11 5/2019-12-11 50/2019-12-11 20/2019-12-11 10/2019-12-11 50/2019-12-11 10/2019-12-11 20/2019-12-11 20/2019-12-11 10/2019-12-11 10/2019-12-11 15/2019-12-11 20/2019-12-11 15/2019-12-11 10/2019-12-11 10/2019-12-11 25/2019-12-11 10/2019-12-11 20/2019-12-11 5/2019-12-11 10/2019-12-11 100/2019-12-10 20/2019-12-10 20/2019-12-10 11/2019-12-10 50/2019-12-10 10/2019-12-10 20/2019-12-10 20/2019-12-10 20/2019-12-10 20/2019-12-10 20/2019-12-10 5/2019-12-10 20/2019-12-10 10/2019-12-10 20/2019-12-10 17/2019-12-10 5/2019-12-10 10/2019-12-10 5/2019-12-09 10/2019-12-09 20/2019-12-09 10/2019-12-09 20/2019-12-09 20/2019-12-09 110/2019-12-09 15/2019-12-09 50/2019-12-09 60/2019-12-09 10/2019-12-09 5/2019-12-09 5/2019-12-09 10/2019-12-09 5/2019-12-09 100/2019-12-09 10/2019-12-09 20/2019-12-08 10/2019-12-08 20/2019-12-08 20/2019-12-08 20/2019-12-08 27/2019-12-08 10/2019-12-08 20/2019-12-08 9/2019-12-08 30/2019-12-08 10/2019-12-08 25/2019-12-08 20/2019-12-08 20/2019-12-08 10/2019-12-08 10/2019-12-08 5/2019-12-08 20/2019-12-08 15/2019-12-07 5/2019-12-07 20/2019-12-07 20/2019-12-07 10/2019-12-07 10/2019-12-07 10/2019-12-07 10/2019-12-07 100/2019-12-07 5/2019-12-07 50/2019-12-07 5/2019-12-07 11/2019-12-07 20/2019-12-07 10/2019-12-07 5/2019-12-07 10/2019-12-07 10/2019-12-07 10/2019-12-07 5/2019-12-07 10/2019-12-07 20/2019-12-07 5/2019-12-07 100/2019-12-07 100/2019-12-07 20/2019-12-07 5/2019-12-07 20/2019-12-06 100/2019-12-06 5/2019-12-06 5/2019-12-06 5/2019-12-06 10/2019-12-06 10/2019-12-06 50/2019-12-06 5/2019-12-06 10/2019-12-06 5/2019-12-06 5/2019-12-06 5/2019-12-06 10/2019-12-06 10/2019-12-06 20/2019-12-06 10/2019-12-06 10/2019-12-06 20/2019-12-06 25/2019-12-06 10/2019-12-06 20/2019-12-06 20/2019-12-06 45/2019-12-06 5/2019-12-06 110/2019-12-06 19/2019-12-06 10/2019-12-06 10/2019-12-06 5/2019-12-06 10/2019-12-06 10/2019-12-06 10/2019-12-06 50/2019-12-06 10/2019-12-06 20/2019-12-06 5/2019-12-06 10/2019-12-06 10/2019-12-06 10/2019-12-06 5/2019-12-06 5/2019-12-06 10/2019-12-06 10/2019-12-06 25/2019-12-06 10/2019-12-06 10/2019-12-06 5/2019-12-06 100/2019-12-06 251/2019-12-06 20/2019-12-06 10/2019-12-06 10/2019-12-06 10/2019-12-06 50/2019-12-06 5/2019-12-06 250/2019-12-06 50/2019-12-06 30/2019-12-06 10/2019-12-06 10/2019-12-06 20/2019-12-06 10/2019-12-06 5/2019-12-06 30/2019-12-06 10/2019-12-06 10/2019-12-06 10/2019-12-06 100/2019-12-06 10/2019-12-06 20/2019-12-06 20/2019-12-06 10/2019-12-06 50/2019-12-06 10/2019-12-06 10/2019-12-06 20/2019-12-06 10/2019-12-06 10/2019-12-06 10/2019-12-06 5/2019-12-06 50/2019-12-06 10/2019-12-06 5/2019-12-06 5/2019-12-06 10/2019-12-06 20/2019-12-06 5/2019-12-06 15/2019-12-06 5/2019-12-06 10/2019-12-06 25/2019-12-06 100/2019-12-06 100/2019-12-06 20/2019-12-06 10/2019-12-06 10/2019-12-06 25/2019-12-06 20/2019-12-05 20/2019-12-05 100/2019-12-05 20/2019-12-05 25/2019-12-05 20/2019-12-05 15/2019-12-05 10/2019-12-05 20/2019-12-05 25/2019-12-05 9/2019-12-05 50/2019-12-05 5/2019-12-05 15/2019-12-05 10/2019-12-05 20/2019-12-05 50/2019-12-05 25/2019-12-05 10/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 5/2019-12-05 10/2019-12-05 5/2019-12-05 15/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-05 5/2019-12-05 5/2019-12-05 100/2019-12-05 20/2019-12-05 20/2019-12-05 10/2019-12-05 50/2019-12-05 10/2019-12-05 10/2019-12-05 300/2019-12-05 5/2019-12-05 5/2019-12-05 30/2019-12-05 5/2019-12-05 50/2019-12-05 5/2019-12-05 20/2019-12-05 10/2019-12-05 5/2019-12-05 5/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 5/2019-12-05 5/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 30/2019-12-05 25/2019-12-05 10/2019-12-05 10/2019-12-05 5/2019-12-05 10/2019-12-05 10/2019-12-05 100/2019-12-05 20/2019-12-05 5/2019-12-05 5/2019-12-05 10/2019-12-05 5/2019-12-05 5/2019-12-05 10/2019-12-05 60/2019-12-05 20/2019-12-05 25/2019-12-05 20/2019-12-05 10/2019-12-05 15/2019-12-05 25/2019-12-05 120/2019-12-05 5/2019-12-05 10/2019-12-05 10/2019-12-05 25/2019-12-05 10/2019-12-05 20/2019-12-05 500/2019-12-05 10/2019-12-05 100/2019-12-05 18/2019-12-05 10/2019-12-05 10/2019-12-05 5/2019-12-05 10/2019-12-05 20/2019-12-05 13/2019-12-05 10/2019-12-05 15/2019-12-05 10/2019-12-05 10/2019-12-05 19/2019-12-05 20/2019-12-05 20/2019-12-05 10/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 50/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 5/2019-12-05 15/2019-12-05 10/2019-12-05 10/2019-12-05 30/2019-12-05 10/2019-12-05 10/2019-12-05 20/2019-12-05 10/2019-12-05 10/2019-12-05 27/2019-12-05 10/2019-12-05 10/2019-12-05 10/2019-12-04 10/2019-12-04 9/2019-12-04 5/2019-12-04 20/2019-12-04 25/2019-12-04 10/2019-12-04 20/2019-12-04 20/2019-12-04 20/2019-12-04 10/2019-12-04 10/2019-12-04 5/2019-12-04 10/2019-12-04 5/2019-12-04 10/2019-12-04 5/2019-12-04 10/2019-12-04 5/2019-12-04 5/2019-12-04 5/2019-12-04 500/2019-12-04 5/2019-12-04 5/2019-12-04 10/2019-12-04 20/2019-12-04 20/2019-12-04 30/2019-12-04 10/2019-12-04 10/2019-12-04 25/2019-12-04 5/2019-12-04 5/2019-12-04 10/2019-12-04 5/2019-12-04 5/2019-12-04 9/2019-12-04 10/2019-12-04 20/2019-12-04 25/2019-12-04 10/2019-12-04 20/2019-12-04 15/2019-12-04 30/2019-12-04 100/2019-12-04 500/2019-12-04 1000/2019-12-04 10/2019-12-04 5/2019-12-04 60/2019-12-04 200/2019-12-04 10/2019-12-04 20/2019-12-04 25/2019-12-04 10/2019-12-04 20/2019-12-04 10/2019-12-04 10/2019-12-04 20/2019-12-04 10/2019-12-04 15/2019-12-04 10/2019-12-04 20/2019-12-04 10/2019-12-04 5/2019-12-04 10/2019-12-04 9/2019-12-04 20/2019-12-04 20/2019-12-04 50/2019-12-04 10/2019-12-04 10/2019-12-04 20/2019-12-04 50/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 10/2019-12-03 10/2019-12-03 15/2019-12-03 10/2019-12-03 20/2019-12-03 5/2019-12-03 5/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 25/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 25/2019-12-03 18/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 100/2019-12-03 10/2019-12-03 5/2019-12-03 20/2019-12-03 5/2019-12-03 10/2019-12-03 5/2019-12-03 10/2019-12-03 50/2019-12-03 50/2019-12-03 5/2019-12-03 20/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 5/2019-12-03 5/2019-12-03 5/2019-12-03 20/2019-12-03 5/2019-12-03 20/2019-12-03 18/2019-12-03 14/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 30/2019-12-03 10/2019-12-03 20/2019-12-03 5/2019-12-03 10/2019-12-03 100/2019-12-03 17/2019-12-03 5/2019-12-03 20/2019-12-03 100/2019-12-03 20/2019-12-03 20/2019-12-03 5/2019-12-03 5/2019-12-03 50/2019-12-03 10/2019-12-03 5/2019-12-03 10/2019-12-03 50/2019-12-03 10/2019-12-03 20/2019-12-03 20/2019-12-03 30/2019-12-03 20/2019-12-03 10/2019-12-03 20/2019-12-03 50/2019-12-03 10/2019-12-03 18/2019-12-03 50/2019-12-03 10/2019-12-03 10/2019-12-03 15/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 5/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 20/2019-12-03 15/2019-12-03 18/2019-12-03 10/2019-12-03 100/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 10/2019-12-03 5/2019-12-03 5/2019-12-03 10/2019-12-03 10/2019-12-03 5/2019-12-02 25/2019-12-02 10/2019-12-02 5/2019-12-02 20/2019-12-02 25/2019-12-02 100/2019-12-02 10/2019-12-02 20/2019-12-02 30/2019-12-02 5/2019-12-02 25/2019-12-02 50/2019-12-02 100/2019-12-02 10/2019-12-02 20/2019-12-02 50/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 5/2019-12-02 10/2019-12-02 20/2019-12-02 20/2019-12-02 5/2019-12-02 5/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 40/2019-12-02 20/2019-12-02 20/2019-12-02 10/2019-12-02 7/2019-12-02 5/2019-12-02 9/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 5/2019-12-02 5/2019-12-02 10/2019-12-02 50/2019-12-02 10/2019-12-02 20/2019-12-02 10/2019-12-02 5/2019-12-02 20/2019-12-02 20/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 10/2019-12-02 20/2019-12-02 18/2019-12-02 20/2019-12-02 10/2019-12-02 5/2019-12-02 50/2019-12-02 5/2019-12-02 5/2019-12-02 25/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 25/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 50/2019-12-02 5/2019-12-02 20/2019-12-02 5/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 20/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 20/2019-12-02 20/2019-12-02 5/2019-12-02 20/2019-12-02 50/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 25/2019-12-02 50/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 20/2019-12-02 10/2019-12-02 20/2019-12-02 10/2019-12-02 20/2019-12-02 5/2019-12-02 10/2019-12-02 30/2019-12-02 1000/2019-12-02 5/2019-12-02 100/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 5/2019-12-02 20/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 25/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 50/2019-12-02 6/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 20/2019-12-02 50/2019-12-02 5/2019-12-02 30/2019-12-02 20/2019-12-02 5/2019-12-02 5/2019-12-02 10/2019-12-02 5/2019-12-02 20/2019-12-02 20/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 25/2019-12-02 20/2019-12-02 25/2019-12-02 5/2019-12-02 5/2019-12-02 100/2019-12-02 20/2019-12-02 10/2019-12-02 5/2019-12-02 20/2019-12-02 5/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 14/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 5/2019-12-02 20/2019-12-02 20/2019-12-02 5/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 10/2019-12-02 50/2019-12-02 5/2019-12-02 5/2019-12-02 15/2019-12-02 10/2019-12-02 10/2019-12-02 20/2019-12-02 5/2019-12-02 10/2019-12-02 5/2019-12-02 5/2019-12-02 5/2019-12-02 5/2019-12-02 25/2019-12-02 100/2019-12-02 5/2019-12-02 10/2019-12-02 10/2019-12-02 5/2019-12-02 5","Christmas is one of the toughest times of the year for lots of people. Whilst many families over-indulge during the festive period  others struggle to put even the most basic meal on the table to feed their family - a harrowing reality of where Britain is at in 2019.    At the heart of Football is community  and at the heart of community are good people willing to dedicate their time and money to supporting those in need. No one wants to rely on food banks or soup kitchens to feed their children  but while we may feel powerless to fight the institution that has caused his hardship  we can fight to bring a modicum of security to the most vulnerable by giving a few spare coins or an hour of our time over to a cause like this. Where people would otherwise face malnourishment  food banks are the flickering flame of a beacon in an otherwise dark night.    The people at the Sunderland Foodbank and the Sunderland Community Soup Kitchen do an amazing job of ensuring that families and homeless people all over Wearside don’t go without - but unless people assist with their kind donations  none of it is possible.    Whatever you can give  it all helps.    - We have chosen this year to support the Sunderland Community Soup Kitchen and the Sunderland Foodbank  with all donations going to the two organisations. Please give generously - support your local community at this difficult time.    - On Wednesday 11th of December we will proceed with distributing the funds to the two charities  who will use the money this Christmas to feed the hungry and homeless in Sunderland. Sunderland Community Soup Kitchen feed people seven days a week and will now be able to buy pallets of fresh produce to cook with  whilst the foodbank will be able to use the money to produce emergency three day food parcels.  ",True
" 100km in 100 Days Swim Challenge ","East Herrington, North East England, United Kingdom",https://uk.gofundme.com/f/w6q25-100km-in-100-Days-Swim-Challenge,3743,4000,,2020-11-23,"Sunderland Community Soup Kitchen","Registered charityDonations eligible for Gift Aid.",0,,"  100km in 100 days    Leroy here! As many of you know I absolutely love swimming in the sea.     So I've set myself a challenge to swim 100km in 100 days off the Roker & Seaburn coast. No wetsuit  no excuses!     Whatever the conditions I will swim everyday from 28th November 2020 until 7th March 2021 in water temperatures as low as 4'c    I will be documenting my journey on Instagram - Instagram name is 100daychallengeswimscsk if you'd like to follow and share.     How can you help? As part of this challenge I've also set myself the target of raising £1000 in aid of Sunderland Community Soup Kitchen.    Sunderland Community Soup Kitchen is a voluntary charity set up to combat hunger poverty - providing hot meals  free of charge to the homeless and the hungry every evening in Sunderland. They also provide food assistance  everyday essentials and clothing.    Thank you in advance for your contribution to this cause that means so much to me and those who use it.",False
" Islay Resilience Fund ","Bruichladdich, Scotland, United Kingdom",https://uk.gofundme.com/f/islay-resilience-fund,11052,15000,,2020-03-26,,,0,,"1.  Islay is a remote island of the West coast of Scotland with a population of 3500 people. The Covid-19 virus has hit island life hard with local businesses small and large having to close. The vulnerable and elderly are following Government guidelines meaning they are isolated in their homes . But  Islay is a strong community and we have over 80 volunteers that are helping to keep people’s physical and mental health strong by telephone befriending  collecting shopping  medicines and being a point of contact. Our newly formed resilience group coordinates the volunteers across the island reaching even the most remotest crofts and houses.        2.    We need a fund to:  Put fuel into the community bus  cover volunteer expenses  supply hand gel and gloves to our volunteers and eventually all households  and to cover admin and printing expenses. As the effects of the lock down persist  then we would like to provide people with a welfare box of essential items including food  kindling and toiletries.   Islay doesn't have access to mainland services so this fund is vital for us to get through the next few months.     3.    We visualise these funds being used in the immediate future for equipment to help the volunteers help the isolated but in the future weeks  we will need the fund to sustain the service and add a possible soup kitchen to enable the isolated to have two hot meals a day.    4.    The community of Islay  as we always do  has shown an excellent community spirit and will continue to pull together to ensure their neighbours who are isolated have everything they need to survive through this pandemic. Islay is resilient and will endeavour to push the barriers to make sure we will be open again for business as usual as soon as we can. This financial support will enable the immediate support of equipment  volunteers costs to be cover  offering hot meals to people at this hard time.    5.    You will be able to measure this through the huge smile and massive ‘socially distanced’ hug which comes through  helping a neighbour  friend or family member who is isolating and cant access their normal routine due to the pandemic. The number of volunteers is increasing every day  people as they have become unable to work have shown great support to help people who cannot leave their house. We will be forever in debt to the massive amount of generosity of time and supplies (physical and financially) from people and businesses. We hope we can open our doors to you all again very soon! Thank you in advance.    GC",False
" Sunderland Community Soup Kitchen Fundraiser 2020 ","Sunderland, North East England, United Kingdom",https://uk.gofundme.com/f/sunderland-community-soup-kitchen-xmas-fundraiser,31655,30000,,2020-12-05,"Sunderland Community Soup Kitchen","Registered charityDonations eligible for Gift Aid.",0,,"This Christmas  we are asking the Roker Report community to raise funds for Sunderland Community Soup Kitchen. You can be certain that your donation  no matter how large or small  will be put to good use to provide help for local people who are in need of it. We thank you all in advance for caring about this issue  for spreading the important message and for making generous donations. For more information on the work of the Sunderland Community Soup Kitchen  read our article here or check out their Facebook page here",False
" Raise The Roof Hull Homeless continued support ","Bransholme, Yorkshire and the Humber, United Kingdom",https://uk.gofundme.com/f/raise-the-roof-hull-homeless-continued-support1,5965,10000,,2019-03-19,,,0,,"Raise the roof is a non profit community organisation doing our best to look after the homeless and prevent people becoming homeless.  We run Wakey Wakey cafe 52 Beverley road which provides     Free breakfast for rough sleepers in the morning and free tea  coffee  advice  activities and support throughout the day.    A food club for people on low income to purchase food at a much lower price  proofs of benefits or low income must be given.    Indoor Soup kitchens on certain nights.    We have also put rough sleepers up in hotels at Xmas for the past 2 years.    All money donated will go towards helping the above things happen and keep them going.    You can't just take someone from the street surrounded by people  put them in a room with just 4 walls and expect them to get on with it. We believe the best way to raise a roof is by giving support and gaining the trust to help people adjust when they get in a property.  doing this we have helped over 100 people off the street and into accommodation over the past 2 years.  Thank you ❤️",False
" Free Soup Kitchen Derry ","Londonderry, Northern Ireland, United Kingdom",https://uk.gofundme.com/f/free-soup-kitchen-derry,3367,5000,,2020-03-26,,,0,,"We opened a Free Soup Kitchen on Tuesday that offer Hot meals For the Elderly and Families  daily 11:00 AM to 3:00 PM  & days a week. We serve from the doorway of @up a Tree in Rosemount cafe  14a Rosemount Avenue  a few doors down from the chemist And also have a delivery service for the Elderly and incapacitated. Due to the increase in numbers  we now have a 2nd and 3rd Outlets opened - Buttercup cafe in Carnhill and CCC at Cró Mór in Creggan. To date: we have supplied 14 000 meals.  We Urgently need funding to keep us going  For more information  visit our Facebook page - Free Soup Kitchen https://www.facebook.com/upthetreeinrosemount",False
" ZIMBABWE COVID19-EOMG HOMELESS SUPPORT FUND ","Eccles, North West England, United Kingdom",https://uk.gofundme.com/f/zimbabwe-covid19eomg-homeless-support-fund,8528,20000,,2020-03-25,,,0,,"COVID19 PANDEMIC RESPONSE TO HELP THE HOMELESS    COVID19 is destabilising economies and threatening humankind  it has been declared by World Health Organisation as a global pandemic. Zimbabwe is not spared  having recorded our first case rising to 3 As we post this. We have one confirmed death  and one death is already one too many. We believe the numbers are more than this and its just a matter of time before the situation explodes. Our health system is broken and definitely not ready. But again we are called to ACTION  to help wherever we can. In most cases the homeless community is always ignored as already experienced. There has not been any awareness amongst this community  soup kitchens around town have closed down  they don't have any access to healthcare facilities. With the lockdown being effected by the government - do we even think of where they will go? What they will eat? And how will they get treated if they contract the virus.     As EatOut Movement and our big following of volunteers in Zimbabwe and globally we are stepping in to do something no matter how small.     We are asking you to please donate to our fundraising campaign  WE ARE ONE! We chose this name because this disease has no boundaries  race  religion or status. We are in this together and let's do our best to help those most vulnerable especially the homeless.     ~We also appreciate the frontline workers  they are amazing we call them angels because of the sacrifice they are putting by risking themselves. Across the world Doctors  nurses have died whilst helping those affected and our team in Zimbabwe is not spared. They need protective gear  essentials to use and food to eat on this time. WE ARE ONE campaign aims to provide essentials for both our the homeless community and frontline workers. ~    Food (ready to eat)  Sanitizers   Gloves   Masks   Headcovers   Water  Temporary Shelter for the Homeless   Others     Visit our Facebook page for more info    https://www.facebook.com/eatoutmovement/    EatOut Movement Global is a social impact organisation dedicated to ending homelessness one life at a time both locally and globally. We are registered in Zimbabwe as EatOut Movement Trust 123/2019 and EatOut Movement Global C.I.C Reg.12016161.",False
" COVID-19 Essential Outreach by Medical Students ","Coulsdon, Greater London, United Kingdom",https://uk.gofundme.com/f/covid19-essential-support,3951,3000,,2020-03-18,,,0,,"Update: Hello everyone!! I hope you are all safe and well. Thank you so so much to everyone who has helped us reach our first target goal of ""£3000. We are so grateful and have put this money to such good use  with feedback from our homeless friends saying that the packages are so beneficial  protective and make a big difference! <3 <3 We are now setting a new target to double this money so we can keep doing the important work we are but also diversify to help out refugee services groups in the UK! Lots of love to everyone       Hi all  I hope this finds you  and everyone you love  safe and well supported. Due to the Covid-19 outbreak in the UK  new measures are being taken to limit the amount of mass gatherings and group meetings.    As a result  there is talk of soup kitchens  homeless shelters and regular meeting spots shutting  leaving some of our most vulnerable and at risk groups losing their regular access to designated food  shelter and safety spots; and social activities  leaving them without supplies and more isolated then ever before The creation of out-reach packages with non-perishable food and drink supplies  tissues  hand sanitation/wipes  and masks is essential  to supply to individuals who will now not be able to access these things in the places they could before. Moreover  as a medical student myself  we have been granted a large period of time without full academic commitments  where we have the time to go and make these deliveries and offer the support we can  during this time  where self-isolating isn't an option for some people.    Please donate whatever you can  and share this page with as many people as possible (especially those who work within larger companies and are able to circulate it around there). From there we can start to create packages and begin delivering them. Moreover if anyone has contact with food and/or supply companies who would be willing to ask for item donations  that would be amazing too.    My email is [email redacted]   Please get in touch with any questions and/or ideas/ concerns  and if you want to help out with this  that would be so helpful and beneficial.    Love and good vibes       Nazia ",False
