Activities,Address,Charity,CharityDescription,Complete,Created,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
"IN ADMINISTRATION. HTI IS A THRIVING NOT FOR PROFIT SOCIAL ENTERPRISE AT THE FOREFRONT OF SCHOOL LEADERSHIP DEVELOPMENT OFFERING A DIVERSE AND INNOVATIVE PORTFOLIO OF LEADERSHIP DEVELOPMENT OPPORTUNITIES REGIONALLY, NATIONALLY AND INTERNATIONALLY.WHAT MAKES HTI DIFFERENT FROM OTHER ORGANISATIONS IS THE FOCUS ON ALIGNING EDUCATION PROVISION WITH EMPLOYABILITY NEEDS.","Hatters Lane,  High Wycombe,Buckinghamshire  HP13 7NJ","St Andrew's Church High Wycombe","St. Andrew's Church, High Wycombe is an evangelical, outreaching community church on the east-side of the large market town of High Wycombe in Buckinghamshire.   ",True,2014-11-18,"2014-11-18 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=soupkitchen&pageUrl=2&isTeam=true,2014-11-18,"Throughout England And Wales",,5
,"Overnoons Stane Street,Westhampnett  Chichester,West Sussex  PO18 0NT","Feeding Futures","Feeding Futures We relieve hunger, reduce poverty, promote self-esteem and achieve independence enabling rural Kenyan communities to prosper with sustainable solutions.   A strong value of our programme is  - “Give a man a fish and you feed him for a day …. Teach him how to fish and you feed him for life.”. Whilst this quote is often used to promote long-term instead of short-term impact, we see both as important and our work emphasises each element.  Thank you for visiting our VIRGIN money giving profile page.  Please donate to Feeding Futures to give children and families new opportunities.",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=ChristiaanGeorge&pageUrl=5,,,,0
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AnnaKitchen&pageUrl=1,,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",0
,"The Old Police House,Hyde Park  London,  W2 2UH","The Royal Parks","The Royal Parks are one of Britain’s greatest national treasures, to be protected and enjoyed, for today and future generations. Can you imagine London without them? London’s eight amazing Royal Parks offer 5,000 acres of green space to more than 77 million visitors a year – from local Londoners to visitors from around the world. Home to thousands of trees, plants and wildlife species and the setting for historic monuments and landscapes, these vital green sanctuaries give our city space to breathe. It costs more than £35 million to care for these green spaces each year. We work hard to raise funds for a sustainable future for our capital’s green spaces. We are passionate about sharing the magic of the Royal Parks with as many people as possible. As a charity, we work to protect 500 years of history, inspire the next generation with the wonders of the natural world, make London a happier and healthier place to live and conserve precious wildlife.  The Royal Parks are: Hyde, The Green, Richmond, Greenwich, St James’s, Bushy and The Regent’s Parks, and Kensington Gardens. We also manage other important open spaces in the capital including Grosvenor Square Garden, Brompton Cemetery, Victoria Tower Gardens, Canning Green and Poet’s Corner.",True,2016-04-14,"2016-04-14 50/2016-04-14 50/2016-04-14 100",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=ChristineKitchen,2016-04-14,,,200
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=DebbieKitchen1&pageUrl=1,,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",0
,"10 Parkway,  London,  NW1 7AA","Diabetes UK","Diabetes UK is the charity for people with diabetes, their family, friends and carers. Our mission is to improve the lives of people with the condition and work towards a future without diabetes. Diabetes UK is one of the largest patient organisations in Europe. We stand up for the interests of people with diabetes by campaigning for better standards of care. We are the largest funder in the UK of research into better treatments for diabetes and the search for a cure. We provide practical support and information and safety net services to help people manage their diabetes. For more information please visit our website: www.diabetes.org.uk.",True,2019-10-26,"2019-11-18 35/2019-11-10 20/2019-11-05 15/2019-10-26 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GuyKitchen&pageUrl=1,2019-11-18,,,100
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,2020-05-14,"2020-05-16 10/2020-05-14 15/2020-05-14 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=MandyKitchener&pageUrl=2,2020-05-16,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",35
Education,"Fleet 27,Rye Close  Fleet,Hampshire  GU51 2UH","The Brain Tumour Charity","The Brain Tumour Charity is at the forefront of the fight to defeat brain tumours, making a difference every day to the lives of people with a brain tumour and their families.  We fund pioneering research to increase survival and improve treatment options.  We raise awareness of the symptoms and effects of brain tumours to get earlier diagnosis and to help families cope with everything that the diagnosis of a brain tumour brings.  We provide support for everyone affected so that they can live as full a life as possible, with the best quality of life. We are committed to having the biggest possible impact for every person affected by a brain tumour, to defending the most amazing part of the human body, so that getting the diagnosis of a brain tumour no longer means a death sentence.  Brain tumours are different to other cancers, as they affect the part of you that makes you who you are.  Living with a brain tumour has a significant impact on quality of life, as evidenced through recent research, resulting in the publication of ‘Losing Myself: The Reality of Life with a Brain Tumour’. We believe that fighting brain tumours on all fronts through research, awareness and support is the only way to save lives, reduce long term disabilities and help everyone with a brain tumour and their families cope with everything that the diagnosis of a brain tumour brings. We are members of the Association of Medical Research Charities, The Information Standard, The Helplines Partnership and the Fundraising Standards Board.",True,2020-01-13,"2020-03-12 10/2020-02-02 25/2020-01-31 30/2020-01-31 10/2020-01-13 25/2020-01-13 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RichardKitchen3&pageUrl=1,2020-03-12,Ceredigion,,110
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SallyKitchen1&pageUrl=1,,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",0
"Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ","Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,2021-01-26,"2021-01-26 20/2021-01-26 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SallyKitchen1&pageUrl=2,2021-01-26,"Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF",40
