CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1149085,"St Mungo's",True,2021-05-13,0,0,,https://www.justgiving.com/Homeless-Health-Society,,0,0,"Homeless 's Homeless and Inclusion Health Society Fundraiser"
,,,274467,ActionAid,True,2021-03-28,1,1,"2021-04-09 3",https://www.justgiving.com/Homeless-Diamonds,2021-04-09,3,230,"Go the Distance 2021"
,,,1082947,Crisis,False,2018-06-25,16,16,"2021-02-24 10/2020-12-28 30/2020-12-14 20/2020-12-12 15/2020-05-24 10/2020-04-22 10/2020-02-04 15/2019-12-28 50/2019-07-10 7",https://www.justgiving.com/Homeless-Nation,2021-03-05,300,5000,"Homeless's Homeless nation"
,,,1082947,Crisis,False,2018-11-13,28,28,"2021-02-17 5/2018-12-13 13/2018-12-05 20/2018-12-05 10/2018-11-28 50/2018-11-27 10/2018-11-26 15/2018-11-25 10/2018-11-25 10/2018-11-25 10/2018-11-24 25/2018-11-24 20/2018-11-24 20/2018-11-22 10/2018-11-21 30/2018-11-21 30/2018-11-20 10/2018-11-19 35/2018-11-19 5/2018-11-17 10/2018-11-16 25/2018-11-16 10/2018-11-16 20/2018-11-14 12/2018-11-13 20",https://www.justgiving.com/ThirskHomelessOrganisationSleepout,2021-02-17,470,500,"Thirsk Homeless Organisation Sleepout (York)"
,,,287779,"Single Homeless Project",False,2016-11-29,10,2,"2019-09-18 5/2018-12-16 20",https://www.justgiving.com/Single-Homeless-Project,2019-09-18,47,0,"My Christmas Wish"
,,,292411,Centrepoint,False,2016-11-16,1128,2,"2018-03-21 400",https://www.justgiving.com/HomelessHelplineTexts,2019-12-24,10003,0,"Text Donations"
,,,1050469,"Wuth Charity",False,2020-04-21,29,29,"2021-02-16 20/2020-06-01 50/2020-06-01 20/2020-05-28 15/2020-05-28 10/2020-05-26 20/2020-05-26 20/2020-05-25 20/2020-05-24 20/2020-05-23 10/2020-05-23 10/2020-05-23 30/2020-05-23 10/2020-05-22 10/2020-05-21 20/2020-05-20 10/2020-05-19 30/2020-05-19 20/2020-05-18 10/2020-05-18 20/2020-05-18 5/2020-05-18 10/2020-05-18 5/2020-05-18 4/2020-05-18 5/2020-05-18 50/2020-05-18 5/2020-05-18 5",https://www.justgiving.com/homelessghostprints,2021-02-16,468,500,"HGP x John Barnes fundraiser to help COVID-19 appeal at WUTH"
,,,1175229,"Sussex Homeless Support CIO",False,2020-12-11,80,80,"2020-12-24 10/2020-12-22 18/2020-12-22 10/2020-12-22 190/2020-12-21 15/2020-12-21 20/2020-12-21 30/2020-12-20 30/2020-12-20 20/2020-12-19 20/2020-12-19 20/2020-12-19 10/2020-12-19 20/2020-12-19 30/2020-12-19 20/2020-12-19 10/2020-12-19 10/2020-12-19 20/2020-12-19 11/2020-12-19 10/2020-12-19 10/2020-12-19 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 5/2020-12-18 30/2020-12-18 50/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 30/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 5",https://www.justgiving.com/SUSSEX-HOMELESS-SUPPORT1,2021-05-10,1692,850,"SHS Do They Know It's Christmas"
,,,1069498,"Herts Young Homeless Group",False,2020-08-21,27,27,"2021-02-19 20/2020-08-29 15/2020-08-29 20/2020-08-28 20/2020-08-27 20/2020-08-27 20/2020-08-26 20/2020-08-26 100/2020-08-26 50/2020-08-26 30/2020-08-26 20/2020-08-26 50/2020-08-26 30/2020-08-26 20/2020-08-26 25/2020-08-25 10/2020-08-24 10/2020-08-23 10/2020-08-23 20/2020-08-22 25/2020-08-22 10/2020-08-22 20",https://www.justgiving.com/Herts-Young-Homeless-NCS,2021-02-19,629,500,"Herts's Herts Young Homeless Fundraising Week - NCS"
,,,1175229,"Sussex Homeless Support CIO",False,2020-11-16,22,22,"2021-01-12 50/2020-12-24 50/2020-12-14 10/2020-12-13 20/2020-12-13 10/2020-12-13 10/2020-12-13 10/2020-12-13 30/2020-12-13 20/2020-12-12 20/2020-12-12 10/2020-12-12 10/2020-12-11 50/2020-12-11 10/2020-12-06 20/2020-12-06 10/2020-12-05 100/2020-12-05 50/2020-12-05 30/2020-12-05 5/2020-12-05 10",https://www.justgiving.com/SUSSEX-HOMELESS-SUPPORT,2021-01-12,555,1000,"SUSSEX'S SHS SLEEP OUT 20"
