Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
" YAWN Mayday Foodbank Fund ","Rosyth, Scotland, United Kingdom",https://www.gofundme.com/f/2djux3q0y0,200,260,2021-05-23,2021-05-15,,,10,"2021-05-23 10/2021-05-22 10/2021-05-22 20/2021-05-22 10/2021-05-22 10/2021-05-22 130/2021-05-22 30/2021-05-19 10/2021-05-15 10/2021-05-15 20","YAWN are raising money for Dunfermline Foodbank with our latest live streamed gig. The event is at 8pm on May 22nd live from YAWNs facebook and youtube",False
" Thank you High Peak Food Bank and Zink Project ","Buxton, East Midlands, United Kingdom",https://www.gofundme.com/f/thank-you-high-peak-food-bank-and-zink-project,500,175,2021-07-22,2021-06-22,"THE ZINK PROJECT CIO","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-07-22 25/2021-06-30 100/2021-06-28 20/2021-06-24 10/2021-06-22 20","I first came in to contact with Zink in September last year. Having had a mental breakdown and suicide attempt I was struggling mentally and financially. I went to the food bank and while there I had a mini breakdown. This is when I met [Zink Advice Worker] Julie. Julie was extremely easy to talk to and quickly gained my trust to be able to talk to her. She helped me sort through piles of paperwork  speaking to people about bills and debts  getting me to speak to the right people to help me and being there when I just needed to talk. Since September I have been diagnosed with autism and the biggest problem I had was a debt to my landlord of over £4000 for which they had an eviction order. Julie was instrumental in helping me get a court hearing where the eviction was suspended. Julie's knowledge was brilliant and made we aware of funds/benefits available to me and because of this in under nine months I have been able to pay off (through myself and funds) the entire arrears and have the eviction set aside. For the first few months I was also reliant on the food bank side while my money git sorted.  I cannot thank Julie (and Zink and high peak food bank) enough for the last nine months. Without her and them I certainly wouldn't be in as good a position as I am now - mentally  financially and emotionally.   I want to give back and as I am not working I don't have the means to give what I want.   This is my thank you. Please help me so that they can continue to help people back on their feet the way they have helped me.   In addition to this I have had some lovely people on here and B and Q donate materials for making a mosaic and Buxton Woodwork  Buxton building supplies and Markovitz have all donated enough materials for me to make around six bird tables and several bird boxes. These will be being sold and auctioned off by Zink/food bank for some more money for them.   Thank you in advance as I say thanks to them",False
" Totton spiritualist church sponsored sleep out!! ","Totton, South East England, United Kingdom",https://www.gofundme.com/f/totton-spiritualist-church-sponsored-sleep-out,1000,135,2021-08-07,2021-07-27,,,10,"2021-08-07 10/2021-08-07 10/2021-07-31 10/2021-07-27 20/2021-07-27 10/2021-07-27 10/2021-07-27 25/2021-07-27 20/2021-07-27 10/2021-07-27 10","Save the foodbank!!!     Totton spiritualist church are doing a sponsored sleep out to raise funds for our homeless and food bank. On the 23rd august we are sleeping out for the night from 9pm till 5am. We want to know what these poor homeless feel to have to sleep out every night and raise awareness to this. Our foodbank is running very low and we are worried we will have to close the foodbank down. Please support and sponsor us if you can!!       ",False
" The Lighthouse ","Peacocks Shopping Centre, South East England, United Kingdom",https://www.gofundme.com/f/9sksb6-the-lighthouse,550,254,2021-08-06,2021-07-23,,,12,"2021-08-06 9/2021-08-04 15/2021-07-30 15/2021-07-30 10/2021-07-30 125/2021-07-30 5/2021-07-28 20/2021-07-28 10/2021-07-26 10/2021-07-26 10/2021-07-26 15/2021-07-25 10","We are a small group of NCS (National Citizen Service) members who are organising a fundraise for 'The Lighthouse'. A vibrant hub in the centre of Woking that hosts a range of creative projects to support  encourage  and empower those who find themselves on the margins. They do this by supporting the community such as providing a foodbank  jigsaw  chat & support  money advice and much more. ",False
" Oldham NCS looking to help the local community ","Oldham, North West England, United Kingdom",https://www.gofundme.com/f/oldham-ncs-looking-to-help-the-local-community,50,45,2021-07-17,2021-07-14,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",7,"2021-07-17 5/2021-07-15 5/2021-07-15 5/2021-07-15 10/2021-07-14 5/2021-07-14 5/2021-07-14 10","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" Help raise money for a double freezer ","Newport, West Midlands, United Kingdom",https://www.gofundme.com/f/help-raise-money-for-a-double-freezer,300,15,2021-06-15,2021-06-11,,,2,"2021-06-15 5/2021-06-12 10","So today I had my local food bank come round to me and tell me that there freezer has packed up and they help loads of people who can't afford food and i would like to help them by getting a new double freezer. With the old freezer they have had to chuck loads of food away so please guys let's help others ",False
" Community Kiddies Meal & Food Banking","London, Greater London, United Kingdom",https://www.gofundme.com/f/2dbc93x37c,300000,55,2021-06-06,2021-05-10,,,1,"2021-06-06 55","My initiative : Kiddies Snack meals & Food Bank Community initiative is aimed at tackling child hunger  food poverty and global clean water in response to the Covid-19 pandemic.   As a local carer champion in the borough of Lewisham  London United Kingdom  In partnership with Grillaz BBQ Bistro Cafe LoungeU.K LTD and AFE Global Development Foundation who during the pandemic made and distributed meals to communities in partnership with local Chefs to ensure children and families were fed during lockdown.   Our joint mandate shall be to raise awareness through advocacy to fight food poverty and providing potable drinking water to children and families with a warm hot meals  raw and water to ensure no child or family goes or to bed hungry as part of our sustainable development goal.   Following the success of the goodwill during the height of the pandemic last year  I am hoping to team up with community local champions in various boroughs to fight poverty through this initiative.   We are raising money to secure a central fulfilment centre so that we can centralise our efforts in reaching and providing out services daily.    We want to secure a space to not only cook and provide our meals but also provide a safe space where children can come and eat a warm meal and receive support and advice about life  from education to well being support.   What we need?  With lockdown easing and support for families also easing we want to ensure that families do not face the fear of not being able to feed their children.   To ensure that we can reach as many children and families as possible we need a permanent fulfilment centre where all our operations  services and activities can be centralised. ",False
" Barnsley Foodbanks ","Barnsley, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/were-an-ncs-group-based-in-barnsley-giving-back,0,100,,2021-08-05,"BARNSLEY FOOD BANK PARTNERSHIP","Registered nonprofitDonations eligible for Gift Aid.",0,,"Hey all! Please help us by donating for Barnsley foodbank partnership. We're an NCS group based in Barnsley doing our social action project that we hope to continue long after NCS ends. ",True
" No i want to claim ","Chislehurst, Greater London, United Kingdom",https://www.gofundme.com/f/no-i-want-to-claim,0,1000,,2021-06-29,"GREENWICH FOODBANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",0,,"You can make a difference by donating today to GREENWICH FOODBANK LIMITED.",True
" Support our foodbank and Childrens Appeal ","Everton, North West England, United Kingdom",https://www.gofundme.com/f/support-our-foodbank,35000,30390,2021-07-07,2019-04-02,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",833,"2021-07-07 30/2021-06-28 20/2021-06-09 20/2021-06-01 20/2021-05-30 240/2021-05-29 60/2021-05-29 20/2021-05-28 20/2021-05-28 10/2021-05-28 20/2021-05-28 5/2021-05-28 10/2021-05-28 5/2021-05-27 10/2021-05-27 10/2021-05-27 5/2021-05-27 15/2021-05-27 20/2021-05-26 25/2021-05-25 10/2021-05-24 20/2021-05-19 30/2021-05-15 30/2021-05-12 30/2021-05-11 15/2021-05-04 23/2021-04-27 5/2021-04-26 16/2021-04-24 10/2021-04-24 30/2021-04-24 20/2021-04-24 10/2021-04-24 10/2021-04-24 20/2021-04-24 20/2021-04-24 30/2021-04-24 10/2021-04-24 25/2021-04-24 10/2021-04-23 30/2021-04-23 20/2021-04-23 10/2021-04-23 10/2021-04-23 70/2021-04-23 10/2021-04-23 40/2021-04-22 10/2021-04-22 10/2021-04-22 20/2021-04-22 20/2021-04-22 11/2021-04-22 30/2021-04-20 10/2021-04-19 10/2021-04-19 10/2021-04-17 15/2021-04-17 20/2021-04-17 30/2021-04-17 10/2021-04-16 10/2021-04-16 30/2021-04-16 25/2021-04-12 28/2021-04-11 20/2021-04-10 22/2021-04-09 20/2021-04-09 35/2021-04-09 25/2021-04-07 35/2021-02-28 100/2021-02-20 5/2021-01-28 25/2021-01-22 200/2021-01-21 20/2021-01-12 100/2021-01-06 250/2020-12-29 50/2020-12-28 30/2020-12-25 25/2020-12-23 20/2020-12-22 10/2020-12-21 20/2020-12-21 75/2020-12-20 100/2020-12-19 20/2020-12-18 50/2020-12-18 25/2020-12-16 10/2020-12-16 40/2020-12-16 10/2020-12-11 20/2020-12-03 70/2020-11-29 5/2020-11-26 10/2020-11-26 10/2020-11-21 10/2020-11-20 10/2020-11-20 25/2020-11-17 10/2020-11-16 200/2020-11-16 11/2020-11-14 50/2020-11-13 28/2020-11-13 6/2020-11-12 20/2020-11-11 5/2020-11-11 16/2020-11-11 64/2020-11-11 75/2020-11-11 5/2020-11-10 30/2020-11-10 5/2020-11-10 5/2020-11-10 10/2020-11-09 15/2020-11-09 5/2020-11-09 5/2020-11-09 5/2020-11-08 30/2020-11-02 30/2020-11-01 30/2020-10-28 7/2020-10-28 20/2020-10-28 50/2020-10-28 20/2020-10-27 10/2020-10-27 10/2020-10-24 100/2020-10-24 5/2020-10-24 20/2020-10-24 25/2020-10-24 20/2020-10-23 50/2020-10-23 18/2020-10-23 10/2020-10-23 30/2020-10-22 30/2020-10-22 20/2020-10-22 15/2020-10-17 5/2020-10-13 10/2020-10-12 500/2020-10-09 25/2020-10-08 45/2020-10-08 25/2020-10-05 20/2020-10-04 50/2020-10-04 10/2020-10-04 50/2020-09-26 175/2020-09-26 20/2020-09-25 40/2020-09-24 5/2020-09-23 20/2020-09-22 20/2020-09-22 20/2020-09-22 25/2020-09-22 20/2020-09-22 30/2020-09-22 30/2020-09-22 5/2020-09-21 10/2020-09-21 10/2020-09-21 20/2020-09-21 20/2020-09-21 25/2020-09-21 50/2020-09-21 150/2020-09-21 10/2020-09-21 20/2020-09-21 20/2020-09-15 1000/2020-09-14 100/2020-09-12 25/2020-09-09 30/2020-09-05 50/2020-09-05 20/2020-09-01 50/2020-09-01 50/2020-09-01 20/2020-08-31 200/2020-08-30 70/2020-08-30 120/2020-08-29 20/2020-08-27 20/2020-08-05 25/2020-07-31 25/2020-07-23 10/2020-07-22 10/2020-07-20 10/2020-07-19 40/2020-07-15 30/2020-07-13 10/2020-07-12 55/2020-07-12 30/2020-07-12 5/2020-07-11 20/2020-07-11 20/2020-07-11 20/2020-07-07 50/2020-06-16 10/2020-06-10 10/2020-06-09 10/2020-06-08 15/2020-06-07 50/2020-06-05 10/2020-06-03 100/2020-06-02 25/2020-06-02 25/2020-06-01 50/2020-06-01 350/2020-06-01 50/2020-06-01 50/2020-06-01 20/2020-06-01 20/2020-06-01 10/2020-06-01 20/2020-06-01 20/2020-05-31 10/2020-05-31 20/2020-05-31 25/2020-05-29 200/2020-05-29 50/2020-05-28 55/2020-05-28 10/2020-05-27 5/2020-05-27 20/2020-05-26 15/2020-05-23 10/2020-05-23 45/2020-05-20 30/2020-05-19 30/2020-05-19 30/2020-05-14 17/2020-05-14 25/2020-05-07 40/2020-05-03 5/2020-04-21 10/2020-04-14 108/2020-04-09 70/2020-04-08 70/2020-04-08 25/2020-04-07 15/2020-03-31 200/2020-03-30 50/2020-03-30 20/2020-03-27 30/2020-03-23 50/2020-03-20 20/2020-03-20 200/2020-03-19 20/2020-03-19 5/2020-03-19 25/2020-03-19 20/2020-03-18 20/2020-03-17 55/2020-03-16 75/2020-03-16 100/2020-03-15 90/2020-03-13 55/2020-03-12 30/2020-03-03 150/2020-02-26 200/2020-01-28 20/2020-01-23 5/2019-12-22 50/2019-12-22 20/2019-12-20 20/2019-12-20 10/2019-12-20 10/2019-12-20 20/2019-12-19 15/2019-12-16 40/2019-12-14 10/2019-12-12 1000/2019-12-11 20/2019-12-11 40/2019-12-05 20/2019-12-04 20/2019-12-03 5/2019-12-03 50/2019-12-03 200/2019-12-03 400/2019-12-02 75/2019-12-02 20/2019-12-01 10/2019-12-01 20/2019-11-28 20/2019-11-28 15/2019-11-28 50/2019-11-27 10/2019-11-27 50/2019-11-27 10/2019-11-26 10/2019-11-26 30/2019-11-26 25/2019-11-25 20/2019-11-25 20/2019-11-25 20/2019-11-25 50/2019-11-25 50/2019-11-24 20/2019-11-24 10/2019-11-24 10/2019-11-24 14/2019-11-24 36/2019-11-24 10/2019-11-24 50/2019-11-24 20/2019-11-24 15/2019-11-24 10/2019-11-24 10/2019-11-24 10/2019-11-24 5/2019-11-24 20/2019-11-24 85/2019-11-24 5/2019-11-24 5/2019-11-24 5/2019-11-24 20/2019-11-24 30/2019-11-23 10/2019-11-23 10/2019-11-23 10/2019-11-23 20/2019-11-23 45/2019-11-23 5/2019-11-23 5/2019-11-23 10/2019-11-23 5/2019-11-23 20/2019-11-23 10/2019-11-22 15/2019-11-22 10/2019-11-22 5/2019-11-22 10/2019-11-22 5/2019-11-22 15/2019-11-22 40/2019-11-22 10/2019-11-22 105/2019-11-22 5/2019-11-22 10/2019-11-21 5/2019-11-21 6/2019-11-21 5/2019-11-21 5/2019-11-21 10/2019-11-21 20/2019-11-21 10/2019-11-21 10/2019-11-21 10/2019-11-21 10/2019-11-21 20/2019-11-21 50/2019-11-21 10/2019-11-21 15/2019-11-21 5/2019-11-21 10/2019-11-21 200/2019-11-21 10/2019-11-21 5/2019-11-21 5/2019-11-21 10/2019-11-21 20/2019-11-21 10/2019-11-21 20/2019-11-21 10/2019-11-21 50/2019-11-21 100/2019-11-21 5/2019-11-21 50/2019-11-21 20/2019-11-21 10/2019-11-21 15/2019-11-21 20/2019-11-21 10/2019-11-21 9/2019-11-21 5/2019-11-21 10/2019-11-21 5/2019-11-21 10/2019-11-21 10/2019-11-21 5/2019-11-21 10/2019-11-21 50/2019-11-21 100/2019-11-21 50/2019-11-21 25/2019-11-21 15/2019-11-21 10/2019-11-20 10/2019-11-20 10/2019-11-20 10/2019-11-20 5/2019-11-20 10/2019-11-20 10/2019-11-20 10/2019-11-20 10/2019-11-20 5/2019-11-20 15/2019-11-20 5/2019-11-20 50/2019-11-20 5/2019-11-20 5/2019-11-20 10/2019-11-20 5/2019-11-20 10/2019-11-20 40/2019-11-20 120/2019-11-20 30/2019-11-20 10/2019-11-20 50/2019-11-20 10/2019-11-20 20/2019-11-20 10/2019-11-20 10/2019-11-20 10/2019-11-20 5/2019-11-20 10/2019-11-20 10/2019-11-20 20/2019-11-20 5/2019-11-20 10/2019-11-20 100/2019-11-20 100/2019-11-20 5/2019-11-20 30/2019-11-20 20/2019-11-20 100/2019-11-20 5/2019-11-20 100/2019-11-20 25/2019-11-20 30/2019-11-20 190/2019-11-20 50/2019-11-20 30/2019-11-20 100/2019-11-20 20/2019-11-20 20/2019-11-20 5/2019-11-20 20/2019-11-19 5/2019-11-19 100/2019-11-19 30/2019-11-19 15/2019-11-19 10/2019-11-19 10/2019-11-19 30/2019-11-19 50/2019-11-19 7/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 30/2019-11-19 50/2019-11-19 10/2019-11-19 10/2019-11-19 20/2019-11-19 10/2019-11-19 5/2019-11-19 10/2019-11-19 10/2019-11-19 10/2019-11-19 20/2019-11-19 20/2019-11-19 1000/2019-11-19 10/2019-11-19 20/2019-11-19 25/2019-11-19 20/2019-11-19 10/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 5/2019-11-19 5/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 5/2019-11-19 20/2019-11-19 10/2019-11-19 20/2019-11-19 10/2019-11-19 25/2019-11-19 5/2019-11-19 10/2019-11-19 10/2019-11-19 50/2019-11-19 20/2019-11-19 30/2019-11-19 15/2019-11-19 20/2019-11-19 20/2019-11-19 5/2019-11-19 10/2019-11-19 25/2019-11-19 20/2019-11-19 20/2019-11-19 18/2019-11-19 50/2019-11-19 15/2019-11-19 10/2019-11-19 100/2019-11-19 20/2019-11-19 13/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 50/2019-11-19 10/2019-11-19 10/2019-11-19 5/2019-11-19 15/2019-11-19 10/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 20/2019-11-19 50/2019-11-19 20/2019-11-19 380/2019-11-19 20/2019-11-19 20/2019-11-19 25/2019-11-19 20/2019-11-19 25/2019-11-19 100/2019-11-19 15/2019-11-19 20/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 25/2019-11-19 25/2019-11-19 15/2019-11-19 20/2019-11-19 100/2019-11-19 5/2019-11-19 500/2019-11-19 30/2019-11-19 20/2019-11-19 10/2019-11-19 50/2019-11-19 20/2019-11-19 10/2019-11-19 5/2019-11-19 5/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 20/2019-11-19 5/2019-11-19 5/2019-11-19 20/2019-11-19 50/2019-11-19 5/2019-11-19 5/2019-11-19 20/2019-11-19 10/2019-11-19 10/2019-11-19 5/2019-11-19 20/2019-11-19 5/2019-11-19 25/2019-11-19 20/2019-11-19 50/2019-11-19 10/2019-11-19 30/2019-11-18 5/2019-11-18 100/2019-11-18 5/2019-11-18 20/2019-11-18 20/2019-11-18 20/2019-11-18 10/2019-11-18 6/2019-11-18 10/2019-11-18 50/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 100/2019-11-18 5/2019-11-18 10/2019-11-18 17/2019-11-18 5/2019-11-18 5/2019-11-18 20/2019-11-18 20/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 8/2019-11-18 10/2019-11-18 20/2019-11-18 30/2019-11-18 5/2019-11-18 5/2019-11-18 9/2019-11-18 20/2019-11-18 9/2019-11-18 10/2019-11-18 20/2019-11-18 50/2019-11-18 100/2019-11-18 50/2019-11-18 5/2019-11-18 10/2019-11-18 15/2019-11-18 10/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 9/2019-11-18 20/2019-11-18 10/2019-11-18 20/2019-11-18 25/2019-11-18 5/2019-11-18 20/2019-11-18 10/2019-11-18 19/2019-11-18 5/2019-11-18 10/2019-11-18 5/2019-11-18 10/2019-11-18 100/2019-11-18 10/2019-11-18 5/2019-11-18 10/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 10/2019-11-18 5/2019-11-18 10/2019-11-18 15/2019-11-18 20/2019-11-18 10/2019-11-18 50/2019-11-18 5/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 15/2019-11-18 20/2019-11-18 20/2019-11-18 500/2019-11-18 10/2019-11-18 5/2019-11-18 10/2019-11-18 5/2019-11-18 5/2019-11-18 20/2019-11-18 20/2019-11-18 30/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 25/2019-11-18 10/2019-11-18 15/2019-11-18 20/2019-11-18 20/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 20/2019-11-18 100/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 10/2019-11-18 20/2019-11-17 20/2019-11-17 10/2019-11-17 5/2019-11-17 20/2019-11-17 20/2019-11-17 30/2019-11-17 10/2019-11-17 30/2019-11-17 10/2019-11-17 10/2019-11-17 45/2019-11-16 30/2019-11-16 10/2019-11-16 120/2019-11-16 10/2019-11-15 30/2019-11-15 250/2019-11-14 10/2019-11-14 15/2019-11-14 10/2019-11-13 15/2019-11-13 50/2019-11-08 45/2019-11-08 45/2019-11-05 5/2019-11-04 70/2019-11-04 80/2019-10-29 30/2019-10-26 10/2019-10-26 50/2019-10-25 55/2019-10-24 20/2019-10-23 200/2019-10-23 50/2019-10-22 1000/2019-10-21 30/2019-10-19 10/2019-10-18 35/2019-10-18 20/2019-10-16 40/2019-10-15 25/2019-10-15 10/2019-10-15 5/2019-10-15 25/2019-10-13 50/2019-10-11 20/2019-10-11 30/2019-10-10 35/2019-10-09 40/2019-10-08 20/2019-10-04 330/2019-10-03 40/2019-10-02 40/2019-09-28 30/2019-09-27 25/2019-09-27 100/2019-09-26 25/2019-09-25 30/2019-09-24 35/2019-09-18 25/2019-09-16 30/2019-09-16 20/2019-09-15 10/2019-09-15 25/2019-09-15 25/2019-09-15 50/2019-09-09 20/2019-09-09 30/2019-09-06 15/2019-09-05 10/2019-08-13 25/2019-08-09 30/2019-07-30 60/2019-07-25 10/2019-07-24 30/2019-07-14 50/2019-07-12 5/2019-07-12 50/2019-07-09 15/2019-07-06 25/2019-06-29 5/2019-06-28 30/2019-06-26 25/2019-06-26 10/2019-06-26 35/2019-06-23 30/2019-06-17 21/2019-06-13 9/2019-06-13 30/2019-06-13 20/2019-06-11 150/2019-06-10 30/2019-06-09 25/2019-06-08 25/2019-06-07 28/2019-06-07 50/2019-06-03 27/2019-06-03 40/2019-06-02 25/2019-05-31 10/2019-05-16 40/2019-05-16 9/2019-05-16 35/2019-05-16 16/2019-05-14 50/2019-05-12 10/2019-05-11 10/2019-05-10 30/2019-05-10 14/2019-05-10 10/2019-05-10 36/2019-05-09 100/2019-05-08 50/2019-05-07 35/2019-05-06 30/2019-05-04 25/2019-05-04 65/2019-05-03 20/2019-05-01 35/2019-04-29 35/2019-04-26 75/2019-04-25 70/2019-04-23 110/2019-04-20 90/2019-04-19 90/2019-04-18 50/2019-04-17 60/2019-04-14 20/2019-04-14 50/2019-04-13 30/2019-04-12 60/2019-04-10 36/2019-04-08 100/2019-04-07 25/2019-04-06 50/2019-04-06 100/2019-04-06 50/2019-04-05 25/2019-04-04 29/2019-04-04 40/2019-04-03 100/2019-04-03 25/2019-04-03 30/2019-04-02 30","Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.    More information about Liverpool Six Community Association: At our Community Centre we provide advice services  lunch clubs  youth clubs  a foodbank  tea dances  short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas and Easter     We need funds to keep our 15 Freezers kept on after Liverpool Council stopped our funding. And we want to support 5000 families this Christmas",False
