Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" The Greenwich Food Bank Fund ","London, Greater London, United Kingdom",https://www.gofundme.com/f/the-greenwich-food-bank-fund,50000,32987,2021-10-31,2020-03-25,"GREENWICH FOODBANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",589,"2021-10-31 10/2021-10-31 50/2021-10-31 25/2021-10-31 50/2021-10-30 50/2021-10-30 25/2021-10-30 10/2021-10-30 20/2021-10-30 25/2021-10-30 20/2021-10-29 50/2021-10-29 1000/2021-10-29 50/2021-10-29 150/2021-10-29 10/2021-10-29 20/2021-10-29 50/2021-10-29 10/2021-10-29 40/2021-10-29 50/2021-10-29 10/2021-10-29 25/2021-10-29 100/2021-10-29 50/2021-10-29 10/2021-10-29 25/2021-10-29 10/2021-10-29 100/2021-03-21 5/2021-02-24 20/2021-02-24 70/2021-02-11 100/2021-02-02 10/2020-12-29 50/2020-12-23 100/2020-12-23 100/2020-12-22 1700/2020-12-13 30/2020-12-12 100/2020-12-11 400/2020-12-11 1000/2020-12-07 100/2020-12-06 30/2020-12-06 30/2020-12-06 10/2020-12-06 20/2020-12-02 50/2020-12-02 50/2020-12-01 200/2020-12-01 10/2020-11-28 50/2020-11-27 50/2020-11-27 100/2020-11-26 50/2020-11-25 40/2020-11-25 10/2020-11-25 50/2020-11-25 100/2020-11-25 20/2020-11-24 20/2020-11-24 20/2020-11-24 100/2020-11-24 30/2020-11-24 50/2020-11-24 1000/2020-11-24 50/2020-11-24 25/2020-11-24 25/2020-11-24 25/2020-11-24 5/2020-11-24 25/2020-11-23 100/2020-11-23 20/2020-11-23 25/2020-11-23 25/2020-11-23 20/2020-11-23 20/2020-11-23 10/2020-11-23 50/2020-11-23 150/2020-11-23 10/2020-11-23 20/2020-11-23 30/2020-11-23 5/2020-11-23 30/2020-11-23 20/2020-11-23 30/2020-11-23 30/2020-11-23 100/2020-11-23 100/2020-10-15 50/2020-09-28 15/2020-09-27 15/2020-09-25 20/2020-09-07 5/2020-07-20 10/2020-06-29 20/2020-06-16 10/2020-05-31 200/2020-05-30 25/2020-05-29 100/2020-05-28 5/2020-05-28 10/2020-05-27 20/2020-05-27 10/2020-05-26 20/2020-05-26 10/2020-05-26 10/2020-05-26 10/2020-05-24 50/2020-05-22 20/2020-05-22 50/2020-05-21 10/2020-05-21 100/2020-05-21 25/2020-05-21 300/2020-05-21 30/2020-05-20 45/2020-05-20 30/2020-05-20 25/2020-05-20 10/2020-05-20 20/2020-05-20 23/2020-05-18 10/2020-05-17 20/2020-05-14 10/2020-05-13 200/2020-05-12 15/2020-05-12 50/2020-05-07 50/2020-05-07 100/2020-05-04 100/2020-05-03 50/2020-05-02 100/2020-05-01 50/2020-04-30 30/2020-04-29 200/2020-04-28 45/2020-04-28 5/2020-04-28 20/2020-04-27 10/2020-04-26 52/2020-04-26 20/2020-04-26 26/2020-04-26 50/2020-04-25 90/2020-04-24 25/2020-04-24 30/2020-04-24 20/2020-04-24 50/2020-04-24 10/2020-04-24 50/2020-04-24 20/2020-04-24 60/2020-04-24 50/2020-04-24 25/2020-04-24 20/2020-04-24 20/2020-04-23 20/2020-04-23 25/2020-04-23 24/2020-04-23 15/2020-04-23 20/2020-04-23 10/2020-04-23 20/2020-04-23 20/2020-04-23 25/2020-04-23 5/2020-04-23 20/2020-04-23 5/2020-04-23 15/2020-04-22 50/2020-04-22 68/2020-04-21 50/2020-04-21 25/2020-04-20 250/2020-04-18 100/2020-04-18 5/2020-04-18 14/2020-04-17 50/2020-04-16 20/2020-04-16 200/2020-04-16 5/2020-04-16 100/2020-04-15 15/2020-04-15 20/2020-04-15 50/2020-04-14 50/2020-04-14 35/2020-04-14 20/2020-04-14 20/2020-04-13 25/2020-04-13 25/2020-04-13 75/2020-04-13 200/2020-04-13 20/2020-04-13 75/2020-04-12 40/2020-04-12 10/2020-04-12 100/2020-04-12 30/2020-04-12 45/2020-04-12 47/2020-04-12 100/2020-04-12 20/2020-04-12 50/2020-04-12 20/2020-04-12 30/2020-04-12 20/2020-04-11 20/2020-04-11 20/2020-04-11 50/2020-04-11 50/2020-04-11 10/2020-04-11 25/2020-04-11 250/2020-04-10 100/2020-04-08 50/2020-04-08 20/2020-04-08 500/2020-04-08 25/2020-04-08 10/2020-04-07 50/2020-04-07 100/2020-04-06 30/2020-04-05 10/2020-04-05 100/2020-04-05 10/2020-04-05 10/2020-04-05 20/2020-04-05 25/2020-04-04 25/2020-04-04 10/2020-04-03 25/2020-04-03 100/2020-04-03 10/2020-04-03 50/2020-04-02 5/2020-04-02 25/2020-04-02 100/2020-04-02 25/2020-04-02 25/2020-04-02 50/2020-04-02 50/2020-04-02 30/2020-04-02 200/2020-04-01 50/2020-04-01 25/2020-04-01 50/2020-04-01 20/2020-04-01 100/2020-04-01 20/2020-04-01 20/2020-04-01 50/2020-04-01 50/2020-04-01 50/2020-04-01 30/2020-04-01 25/2020-04-01 200/2020-04-01 5/2020-04-01 50/2020-04-01 10/2020-04-01 20/2020-04-01 20/2020-04-01 20/2020-04-01 50/2020-04-01 50/2020-04-01 20/2020-04-01 30/2020-04-01 20/2020-04-01 25/2020-04-01 25/2020-04-01 27/2020-04-01 25/2020-04-01 25/2020-04-01 20/2020-04-01 50/2020-04-01 15/2020-04-01 20/2020-04-01 100/2020-04-01 5/2020-04-01 10/2020-04-01 20/2020-04-01 250/2020-03-31 90/2020-03-31 20/2020-03-31 15/2020-03-31 10/2020-03-31 50/2020-03-31 50/2020-03-31 100/2020-03-31 50/2020-03-31 50/2020-03-31 20/2020-03-31 25/2020-03-30 6/2020-03-30 50/2020-03-30 18/2020-03-30 20/2020-03-30 22/2020-03-30 200/2020-03-30 50/2020-03-30 20/2020-03-30 1000/2020-03-30 50/2020-03-30 15/2020-03-30 10/2020-03-29 20/2020-03-29 20/2020-03-29 100/2020-03-29 100/2020-03-29 20/2020-03-29 20/2020-03-29 25/2020-03-29 100/2020-03-29 10/2020-03-29 20/2020-03-29 100/2020-03-29 50/2020-03-29 20/2020-03-29 50/2020-03-29 25/2020-03-29 100/2020-03-29 100/2020-03-29 10/2020-03-29 100/2020-03-29 50/2020-03-29 50/2020-03-29 100/2020-03-29 150/2020-03-29 20/2020-03-29 10/2020-03-29 10/2020-03-29 200/2020-03-29 25/2020-03-29 10/2020-03-29 20/2020-03-29 20/2020-03-29 40/2020-03-29 50/2020-03-28 5/2020-03-28 10/2020-03-28 30/2020-03-28 10/2020-03-28 10/2020-03-28 50/2020-03-28 10/2020-03-28 10/2020-03-28 50/2020-03-28 10/2020-03-28 20/2020-03-28 5/2020-03-28 50/2020-03-28 50/2020-03-28 20/2020-03-28 20/2020-03-28 100/2020-03-28 10/2020-03-28 25/2020-03-28 60/2020-03-28 5/2020-03-28 25/2020-03-28 500/2020-03-28 20/2020-03-28 50/2020-03-28 40/2020-03-28 100/2020-03-28 20/2020-03-28 100/2020-03-28 100/2020-03-28 30/2020-03-28 10/2020-03-28 100/2020-03-28 50/2020-03-28 50/2020-03-28 150/2020-03-28 40/2020-03-28 20/2020-03-28 100/2020-03-28 75/2020-03-28 30/2020-03-28 50/2020-03-28 20/2020-03-28 50/2020-03-28 100/2020-03-28 15/2020-03-28 25/2020-03-28 20/2020-03-28 10/2020-03-28 100/2020-03-28 15/2020-03-28 51/2020-03-28 10/2020-03-28 10/2020-03-28 50/2020-03-28 10/2020-03-28 14/2020-03-28 25/2020-03-28 20/2020-03-28 100/2020-03-28 40/2020-03-28 50/2020-03-28 50/2020-03-28 10/2020-03-28 250/2020-03-28 50/2020-03-28 20/2020-03-28 100/2020-03-28 20/2020-03-28 90/2020-03-28 20/2020-03-28 25/2020-03-28 25/2020-03-28 20/2020-03-27 10/2020-03-27 800/2020-03-27 20/2020-03-27 20/2020-03-27 20/2020-03-27 20/2020-03-27 10/2020-03-27 50/2020-03-27 20/2020-03-27 50/2020-03-27 50/2020-03-27 20/2020-03-27 10/2020-03-27 20/2020-03-27 10/2020-03-27 25/2020-03-27 50/2020-03-27 50/2020-03-27 20/2020-03-27 10/2020-03-27 5/2020-03-27 50/2020-03-27 10/2020-03-27 25/2020-03-27 50/2020-03-27 15/2020-03-27 50/2020-03-27 20/2020-03-27 20/2020-03-27 15/2020-03-27 30/2020-03-27 25/2020-03-27 14/2020-03-27 30/2020-03-27 50/2020-03-27 50/2020-03-27 20/2020-03-27 30/2020-03-27 50/2020-03-27 50/2020-03-27 10/2020-03-27 5/2020-03-27 20/2020-03-27 20/2020-03-27 50/2020-03-27 10/2020-03-27 20/2020-03-27 20/2020-03-27 50/2020-03-27 50/2020-03-27 50/2020-03-27 100/2020-03-27 20/2020-03-27 25/2020-03-27 50/2020-03-27 20/2020-03-27 50/2020-03-27 15/2020-03-27 100/2020-03-27 50/2020-03-27 20/2020-03-27 20/2020-03-27 20/2020-03-27 10/2020-03-27 30/2020-03-27 20/2020-03-27 20/2020-03-27 20/2020-03-27 101/2020-03-27 20/2020-03-27 45/2020-03-27 50/2020-03-27 25/2020-03-27 25/2020-03-27 30/2020-03-27 100/2020-03-27 30/2020-03-27 100/2020-03-27 20/2020-03-27 50/2020-03-27 100/2020-03-27 50/2020-03-27 10/2020-03-27 50/2020-03-27 10/2020-03-27 20/2020-03-27 50/2020-03-27 100/2020-03-27 50/2020-03-27 100/2020-03-27 200/2020-03-27 40/2020-03-27 200/2020-03-27 100/2020-03-27 30/2020-03-27 40/2020-03-27 50/2020-03-27 100/2020-03-27 15/2020-03-27 100/2020-03-27 250/2020-03-27 30/2020-03-27 20/2020-03-27 25/2020-03-27 5/2020-03-27 20/2020-03-27 100/2020-03-27 50/2020-03-27 20/2020-03-27 50/2020-03-27 30/2020-03-26 15/2020-03-26 30/2020-03-26 10/2020-03-26 50/2020-03-26 20/2020-03-26 25/2020-03-26 50/2020-03-26 20/2020-03-26 20/2020-03-26 10/2020-03-26 20/2020-03-26 30/2020-03-26 30/2020-03-26 20/2020-03-26 40/2020-03-26 25/2020-03-26 200/2020-03-26 10/2020-03-26 50/2020-03-26 20/2020-03-26 10/2020-03-26 25/2020-03-26 50/2020-03-26 10/2020-03-26 10/2020-03-26 30/2020-03-26 50/2020-03-26 25/2020-03-26 100/2020-03-26 25/2020-03-26 50/2020-03-26 20/2020-03-26 20/2020-03-26 10/2020-03-26 50/2020-03-26 100/2020-03-26 50/2020-03-26 50/2020-03-26 50/2020-03-26 25/2020-03-26 30/2020-03-26 15/2020-03-26 20/2020-03-26 25/2020-03-26 5/2020-03-26 50/2020-03-26 50/2020-03-26 20/2020-03-26 50/2020-03-26 25/2020-03-26 10/2020-03-26 100/2020-03-26 10/2020-03-26 20/2020-03-26 50/2020-03-26 25/2020-03-26 20/2020-03-26 20/2020-03-26 20/2020-03-25 50/2020-03-25 50/2020-03-25 20/2020-03-25 50/2020-03-25 100","The world is experiencing an unprecedented challenge. It is more important than ever that we work together to support one another. The Greenwich Food Bank Fund has launched to provide support to those most at need in our community. The Greenwich Food Bank Fund Right now many of us are understandably feeling anxious and vulnerable  but there are many among us that need immediate support in order to ensure that they can have access to food. Greenwich residents have a proud history of looking after one another - and never has this been more important than now. So I have been working with Greenwich Food Bank to create the Greenwich Food Bank Fund. As the borough faces one of its most important challenges in living memory  the Fund has been set up to ensure that those in need across the borough have access to the help they need. Please  even during this most difficult of times  we ask that - if possible - you donate and contribute to the common good of Greenwich. Please be assured that even the smallest contribution can make the biggest difference. Thank you for your generosity. FAQs Where will the funds go? The funds will go directly to the most vulnerable people during this crisis. They will be administered by the Greenwich Food Bank and delivered to food banks across the borough  from Blackheath to Eltham  Kidbrooke  Thamesmead and beyond. A full list of food bank locations is available at https://greenwich.foodbank.org.uk/locations/. If I donate will it go directly to those who need it? Yes  your donation will go directly to Greenwich Food Bank. Unlike some other platforms  GoFundMe does not charge a fundraising fee although it takes a small transaction fee. See https://www.gofundme.com/c/free-fundraising for more details. You do not need to leave a 'tip' if you don't want to. Will the money be spent in Greenwich? Yes. Is there anything else I can do? The most immediate need is to raise finance  so that purchasing can continue. However there is also a need to: (1) donate food where possible; and (2) create a team of delivery drivers as the Food Bank moves to a delivery model. If you are able to help with either of these  please email [email redacted].uk. Where can I find more information about Covid-19? For general information on CV-19  please visit the Government website: https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response or the NHS at https://www.nhs.uk/conditions/coronavirus-covid-19/. If you have concerns about your own health  please call the NHS on 111.",False
" YAWN October Foodbank Fund ","Rosyth, Scotland, United Kingdom",https://www.gofundme.com/f/yawn-october-foodbank-fund,250,125,2021-10-31,2021-09-12,,,8,"2021-10-31 20/2021-10-20 10/2021-10-07 5/2021-10-04 20/2021-10-02 20/2021-10-02 10/2021-10-02 20/2021-10-01 20","Yet Another Wasted Night is running another live music stream to raise money for our local foodbank - Dunfermline Foodbank",False
" Please help my husband and family ","Keith, Scotland, United Kingdom",https://www.gofundme.com/f/please-help-make-my-husband-well-again,20000,13651,2021-10-03,2021-08-12,,,127,"2021-10-03 55/2021-09-30 100/2021-09-28 200/2021-09-28 8/2021-09-27 50/2021-09-27 100/2021-09-27 25/2021-09-27 100/2021-09-26 730/2021-09-22 50/2021-09-17 500/2021-09-14 10/2021-09-12 10/2021-09-08 50/2021-09-07 15/2021-09-07 60/2021-09-06 180/2021-09-05 500/2021-09-03 20/2021-09-03 50/2021-09-03 20/2021-09-03 20/2021-09-03 650/2021-09-03 80/2021-09-03 100/2021-09-02 100/2021-09-01 50/2021-08-31 100/2021-08-31 150/2021-08-30 20/2021-08-29 100/2021-08-28 45/2021-08-28 50/2021-08-28 100/2021-08-28 430/2021-08-28 50/2021-08-27 30/2021-08-27 20/2021-08-27 20/2021-08-27 10/2021-08-27 30/2021-08-27 730/2021-08-26 25/2021-08-26 500/2021-08-25 850/2021-08-25 250/2021-08-25 500/2021-08-24 50/2021-08-24 200/2021-08-23 5/2021-08-23 100/2021-08-23 50/2021-08-23 200/2021-08-23 100/2021-08-23 40/2021-08-23 100/2021-08-23 20/2021-08-23 50/2021-08-21 50/2021-08-21 50/2021-08-21 100/2021-08-21 100/2021-08-21 400/2021-08-21 100/2021-08-20 250/2021-08-20 150/2021-08-20 100/2021-08-20 100/2021-08-20 100/2021-08-20 20/2021-08-20 37/2021-08-19 40/2021-08-19 50/2021-08-19 20/2021-08-19 30/2021-08-19 30/2021-08-19 20/2021-08-19 25/2021-08-19 10/2021-08-18 200/2021-08-18 10/2021-08-18 50/2021-08-18 100/2021-08-18 100/2021-08-18 20/2021-08-18 15/2021-08-17 10/2021-08-17 50/2021-08-17 10/2021-08-17 20/2021-08-17 10/2021-08-17 10/2021-08-17 120/2021-08-17 50/2021-08-17 10/2021-08-17 100/2021-08-17 10/2021-08-17 15/2021-08-17 150/2021-08-17 500/2021-08-16 100/2021-08-16 100/2021-08-16 50/2021-08-16 5/2021-08-16 75/2021-08-15 50/2021-08-15 20/2021-08-15 25/2021-08-15 50/2021-08-15 50/2021-08-15 100/2021-08-15 180/2021-08-15 180/2021-08-14 30/2021-08-14 20/2021-08-14 180/2021-08-14 10/2021-08-14 100/2021-08-14 10/2021-08-14 10/2021-08-14 10/2021-08-14 10/2021-08-14 25/2021-08-13 85/2021-08-13 8/2021-08-13 43/2021-08-12 25","Hi my name is Cora. I’m married to john and have 5 beautiful children.   A few years ago john was working as a helicopter pilot. A career he had wanted since he was a child and absolutely adored.    But then he got sick. He struggled for a long time before doctors figured out he had several auto immune diseases all at once. He struggles every day with pain  sickness  and insomnia. He takes morphine every day and has done for years  with really debilitating side effects because the medical system can’t help him.   He was made redundant from his beloved job and eventually we lost our house to the bank as we couldn’t keep up with the mortgage. This is something he really struggles to accept. Since then we have gone from one disaster to another. We rent a house at the moment that the landlord wants us to move out so they can use it for something else but we have nowhere to go. The council can’t help us. No private landlord will help because john is not working and we cannot afford to get anywhere ourselves.     It’s really hard to watch our kids miss out on so much in their childhood. Some of them are too young to remember the amazing  fun  hardworking dad they had. Now they see him sick and weak and they see all the things they miss out on because we cannot afford it or because he is too ill to take part in it. It’s hard to hide our tears when we know there’s something they want but we can’t give it to them. Or hide our upset when we have to go to the food bank or sell some of our things to give them a birthday present or afford their homeschooling needs.   It’s very humbling to have to hold your hands up and admit you need help. For john to not be able to provide for his family is devastating. He is not able to admit we need help but I as a wife and mother know that humbling ourselves and asking for help is the only option left open to us.     Johns own doctors have told us about medication they believe will really help him and get him off the morphine. But they cannot prescribe this medication on the NHS and unfortunately we cannot afford to buy it privately. John was due to have an operation in January 2020 but it was postponed due to COViD and he is still waiting. He could get this operation in a matter of weeks privately but we cannot afford to pay for it. There are many things we could do to help him get better and get back to work but we cannot afford it. It’s extremely heartbreaking to know there is help right in front of us but we cannot take advantage of it because we don’t have enough money.     We have experienced people’s kindness throughout this process. We feel so ashamed that we have not been able to repay that kindness and to have to ask for more help but that’s exactly what I’m doing. I need my husband back. My kids need their father back and we need some stability in our lives again  we need a forever home.   If you could please help in anyway I would be so so grateful. You have no idea how much your help could change our lives. Please help me get my husband well again and not suffer so much everyday. Please me give my babies a forever home and a dad who is well enough to be the dad he always wanted to be.     Thank you for any help you can give and We would be so grateful for any prayers you could offer for our family. Xx    Edit:  Thank you all so much for your donations. It’s incredibly overwhelming to experience all your generosity and kindness. And thank you also to the people who have personally sent donations directly to us  Mavis & Chris and Marion O’Reilly.   We are totally humbled by your love and kindness. Thank you all xxxx",False
" Advent calendar appeal ","Frodsham, North West England, United Kingdom",https://www.gofundme.com/f/advent-calendar-appeal,400,275,2021-10-31,2021-10-01,,,31,"2021-10-31 20/2021-10-31 15/2021-10-31 10/2021-10-31 10/2021-10-29 10/2021-10-29 5/2021-10-29 10/2021-10-12 5/2021-10-08 5/2021-10-07 5/2021-10-04 15/2021-10-04 10/2021-10-03 5/2021-10-02 10/2021-10-02 10/2021-10-02 10/2021-10-02 20/2021-10-02 5/2021-10-01 5/2021-10-01 10/2021-10-01 10/2021-10-01 10/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 5/2021-10-01 10/2021-10-01 15","  We are collecting advent calendars for local children whose families rely on food banks.   By donating we will buy an advent calendar on your behalf and donate it to our local foodbank. ",False
" Homerton Film Festival charity event ","London, Greater London, United Kingdom",https://www.gofundme.com/f/homerton-film-festival-charity-event,1500,509,2021-10-27,2021-10-14,,,10,"2021-10-27 10/2021-10-19 20/2021-10-19 5/2021-10-17 20/2021-10-15 200/2021-10-14 189/2021-10-14 20/2021-10-14 10/2021-10-14 25/2021-10-14 10","We are a volunteer run film festival raising funds for Morningside Community Centre and well space community hub. We will be screening short films over 8 hours with a rare old film to end the event.   We are fundraising to help both charities with essential works for buildings and much needed help with children and community based projects / clubs. The roof at well space is in need of fixing as it leaks and is causing problems internally. Morningside Community Centre is in need of a new kitchen and help with there food bank and youth club.   The money will go towards banners  screening licence and advertising for the festival which will help bring in an audience and make some money for two much needed community organisations so they can function better  helping others.   Thank you   James Marshall I 4 imp ",False
" Free Meals, Full Hearts ","Tilehurst, South East England, United Kingdom",https://www.gofundme.com/f/free-meals-full-hearts,2500,1468,2021-10-24,2021-09-13,,,37,"2021-10-24 30/2021-10-23 100/2021-10-23 30/2021-10-23 10/2021-10-22 10/2021-10-22 10/2021-10-22 50/2021-10-22 50/2021-10-22 50/2021-10-22 30/2021-10-22 20/2021-10-20 6/2021-10-13 20/2021-10-13 10/2021-10-12 30/2021-10-12 150/2021-10-11 90/2021-10-11 25/2021-10-01 50/2021-09-30 20/2021-09-30 100/2021-09-30 50/2021-09-29 25/2021-09-29 50/2021-09-29 50/2021-09-29 7/2021-09-26 100/2021-09-24 100/2021-09-24 25/2021-09-24 25/2021-09-23 25/2021-09-21 10/2021-09-20 50/2021-09-20 20/2021-09-14 20/2021-09-14 10/2021-09-14 10","Free Meals  Full Hearts is almost 1 year old! Can you believe it?    In that time  we have fed more than 2500 families across Reading and the surrounding areas.    It started as a small venture but as the word got out  it became more and more apparent that there was a huge grey area in the community regarding the support of families who have their lives turned on it’s head over night.    Free Meals  Full Hearts is NOT designed to help the same families on a week in  week out basis. I created the group to support those who maybe too proud or embarrassed to reach out for help or go to a food bank. It was created for families who may have faced redundancy or who are struggling on furlough… it’s for those without a support network around them who needs a little short term support.    I have been overwhelmed with the support in the last 12 months. The newspaper articles and TV appearances has helped raise a huge amount of awareness. And I’m overwhelmingly flattered to have received my Pride of Britain AND Pride of Reading nominations- thank you to everyone who has voted!    The success of this group purely comes down to both the physical donation of food but also the financial support provided by this Go Fund Me page. I would not be able to do what I do without this so thank you in anticipation for your support    All the money raised is used within this group and is withdrawn for food  personal hygiene products and pet products. Once purchased  the donation is delivered with confidence to the family           ",False
" A Christmas wish ❤️ ","Kettering, East Midlands, United Kingdom",https://www.gofundme.com/f/5g5v67-a-christmas-wish,1500,625,2021-10-21,2021-10-04,,,15,"2021-10-21 30/2021-10-17 15/2021-10-14 50/2021-10-13 50/2021-10-13 30/2021-10-12 20/2021-10-10 10/2021-10-10 20/2021-10-08 250/2021-10-08 10/2021-10-07 10/2021-10-07 100/2021-10-07 15/2021-10-06 5/2021-10-05 10","This is our annual Christmas Appeal last year we gave 138 families full Christmas dinner and a huge present parcel that gave over 360 children a Christmas present and this year will be more we will take new un used toys  gift sets  gift cards  selection boxes in food bank or drop off baskets in stores soon also but we need help for much need items   Let’s help as many as we can enjoy Christmas Applications are filling out fast and we are hoping to smash this target as we have a lot of food to buy 200 food parcels around that’s 200 chickens 200 trimmings 200 crackers and much more and to purchase more toys and teenage gifts just £1 donation can help towards making someone’s Christmas magical ",False
" Jared's fund for ASYLUM WELCOME ","Oxford, South East England, United Kingdom",https://www.gofundme.com/f/jareds-fund-for-asylum-welcome,100,35,2021-10-29,2021-10-24,"ASYLUM WELCOME","Registered nonprofitDonations eligible for Gift Aid.",3,"2021-10-29 15/2021-10-29 10/2021-10-25 10","Hello!!! i am running the reading half marathon on the 7th of November in hopes to raise money for the oxford based charity ASYLUM WELCOME! this charity supports vulnerable refuges that have took refuge in oxford. supporting over 80 young people with food banks  english lessons and lawyer work to access human rights. any donations would be hugely appreciated. ",False
" Help the AP Foundation community bus project ","Lee Valley Velopark, Greater London, United Kingdom",https://www.gofundme.com/f/help-the-ap-foundation-community-bus-project,5000,60,2021-08-20,2021-08-20,"AP Foundation CIO","Registered nonprofitDonations eligible for Gift Aid.",2,"2021-08-20 50/2021-08-20 10","  Please join me in making a difference by supporting a good cause! Chrissy will be heading a team of volunteers from the AP Foundation CIO  to take part in the 5km Run-through Lee Valley Velopark on Saturday 23rd October 2021. Her brave efforts will help raise money for the AP Foundation ""Made in London"" bus project. Made in LONDON is a multi-media training and intervention project delivered into the community on board a purpose-built double-decker bus  to help disadvantaged young people  and those at risk of exclusion from school  out of education  employment or training and at risk of offending  to change their lives for the better and reduce anti-social behaviour. The bus will travel into the heart of the community so that we can attract those who need us most and working alongside local Youth Offending Teams  Pupil Referral Units  Social Services  Police  Schools and Community services  we will make a difference. Thank you in advance for your contribution to this cause  which means so much to us all. Anyone wishing to take part in the run or willing to offer support please contact www.apfoundation.co.uk Help us by sharing on social media. Thank you.   1. The bus will function as a radio station. They will travel to different areas of London/ UK with a different artist every month performing in that area. Radio broadcast will be on radio frequency  and online platforms (Youtube  Instagram  FB live etc) 2. When the bus is not being used as a radio station  it will be used by underprivileged youths as a recording studio  to record their potential music and accompanying videos. 3. Programs will be offered in music production and recording that teens can sign up to attend online before the actual recording offers to begin. 4. A competition for best recording and music video can be offered at the end of the month with either monetary or product giveaway from sponsors  plus the opportunity to perform live on the radio and exposure to the radio’s listeners. 5. As well as performances from artists bringing light to the cause  our APF mentors will also have their own podcast and talk show. They would take calls from underprivileged kids or gang members  other ex-offenders and the like and give real-life advice based on their experiences helping give mentorship not only on a one-to-one basis but also that can be accessed online for many others that may need the same advice. 6. On radio off days  the bus can be used as a traveling food bank to bring food from supermarket sell-by produce to people who need it the most. We can also provide cups of tea or coffee to those in need of a hot drink and some company to ease the loneliness the Covid lockdown has brought to many. Volunteers for this would be from the foundation as a rehabilitation project for ex-offenders to give back to the community.       ",False
" Help for single mum with 4 little ones ","Luton, East of England, United Kingdom",https://www.gofundme.com/f/zyvha-single-mum,10000,5,2021-10-04,2021-09-30,,,1,"2021-10-04 5","Hey my name is kamila I'm 26 years old and I'm single mum of 4 little munchkins Ian 5 years old  Liam 3 and half  Aalia 1 and half and Mia 3 months old. Last 2 years was really difficult for me i been thru so much problems and struggling and because of that I get in really big debs with bills and people. My wifi been cut and my phone either I had days when I couldn't afford a food and was getting help from food banks but the food was already expired so I wasn't able give it for kids. I'm using one app when people give free food sometimes but I couldn't always get it as I'm not driving and the food need to be pick up by myself. Boys dad is not really much in our life he don't even have time to come and see his son and they miss him so much and keep asking when he will finally come and girls dad want to prison and he left me with everything on my own. My life is a hell at the moment as I can't afford even to get a food for kids and that's making me feel like the worse mum ever. Aalia my little princess have health problems. She start everything late like rolling from belly to back  sitting  crawling and now she's 18 months and still doesn't walk as her muscles are too weak and she will need physiotherapy and appointments with different doctors and this will cost me a lot. Ian have ADHD what make his life more difficult as not many people understand him and saying that he's very naughty child what makes him often upset but really he's the sweetest child I ever met he have so much love inside his little heart he will give me hugs and kisses like no other child will do. Always when I'm sad or he see me crying he always gonna come to me hug me wipe my tears and said ""don't cry mummy i love you"" and this words makes me keep going and fighting everyday because I know I have my children to live for. Without them I would be probably dead right now. I was going thru deep depression and sometimes I feel like I don't deserve to be a mum as my children deserve everything what's the best for them and atm I can't give them much because I'm a bit financially struggling Im not able to afford anything and this kill me everyday special when they asking me if I can buy them something they really want. If I could back to work I would do it but atm that's not possible as my little one is just 3 months old and I don't have any family or much friends here. I wish I could back to Poland to my parents but I can't even afford to do my girls passports as everyday I'm trying to manage to get some food or stuff for kids . I love my kids so much from bottom of my heart and I could die for them if I will have to and I feel very bad and shy to ask for help but atm that's the only option I have so if you can help me even little bit I would really much appreciate it at this will let me finally live without stressing everyday that someone will knock to my door or i that my kids will have no food in the fridge. Thank you so much for reading and understanding my situation and for any help what will change my and my 4 little munchkins lifes for better ❤️ God bless you ❤️ ",False
