Activities,Address,Charity,CharityDescription,Complete,Created,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
,,"Streets of London","Streets of London funds specialist support for people who are homeless and raises awareness about homelessness. Please lend us your support by making a donation today.  There are many great charities across London that provide daily support to homeless people, but because only a few of them are well known, many struggle to secure the funding they need to carry out this vital work. We fund some amazing homelessness projects each year at a number of these smaller charities, targeting the money where it's needed most so it will have the biggest possible impact on the lives of homeless people. Using our knowledge and experience of the sector, we identify projects where we believe the funding (typically a grant of around £10,000) will make a real difference. This is only possible thanks to the generosity of our supporters. With your help, we can fund further projects in the coming year that will provide life-changing support to people who are homeless in London. Thank you for supporting Streets of London. (NB: If you'd like to receive an occasional update from Streets of London about how your donation has helped, please be sure to tick the right box so we can contact you!)",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=HelpForHomelessVeterans&pageUrl=1&isTeam=true,,,,0
,,"Changing Lives","Established in the North East over 45 years ago, Changing Lives provides specialist support services for over 17,500 vulnerable people and their families every year. Many of the people we support experienced trauma and abuse in childhood leaving them unable to see a way through the chaos. We work holistically to give our clients hope and help them dream again.  Our services reach some of the most difficult to reach people in the UK. There is always a waiting list for our services. More than ever we need to raise funds to deliver and develop our services and meet the growing needs of our client group.  Our services include: Our supporters bring real positive change to our clients – helping them to move forward in their lives. Changing Lives Ethical Fundraising Promise: We will never share your details with others We will never telephone you at home We will never engage in 'chugging' We will never come to your front door We will always treat you with respect and gratitude. We regularly work with people as their charity of the year, remembering a loved one in a legacy, fundraising appeals, events and sponsorships. Visit our website:  http://www.changing-lives.org.uk/get-involved/   Or email our fundraising team to get started at: donate@changing-lives.org.uk Many thanks to Changing Life staff for donating their childhood pictures to demonstrate client stories.",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=HomelessnessDeloitteUKPartnermeeting2021&pageUrl=1,,,,0
,,"CEO Sleepout UK",,False,2020-10-05,"2021-10-20 15/2021-10-20 20/2021-10-19 15/2021-10-19 30/2021-10-19 10/2021-10-19 30/2021-10-19 15/2021-10-19 15/2021-10-19 50/2021-10-18 10/2021-10-18 10/2021-10-18 15/2021-10-18 30/2021-10-14 10/2021-10-14 30/2021-10-14 30/2021-10-13 15/2021-10-13 30/2021-10-13 10/2021-10-10 35/2021-10-06 30/2021-09-20 10/2021-09-07 20/2021-09-03 30/2021-09-03 15/2020-10-30 20/2020-10-09 15/2020-10-09 15/2020-10-09 20/2020-10-09 25/2020-10-09 20/2020-10-08 20/2020-10-07 30/2020-10-07 20/2020-10-07 30/2020-10-07 15/2020-10-07 20/2020-10-07 10/2020-10-07 20/2020-10-06 15/2020-10-06 10/2020-10-06 30/2020-10-06 50/2020-10-06 50/2020-10-06 10/2020-10-06 20/2020-10-05 50",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AdrianMcNay1&pageUrl=1,2021-10-20,,,1160
,,"Windsor Homeless Project","  The Windsor Homeless Project  Enabling homeless and vulnerable people to rebuild their lives.  Our ambition is that every person in our community should have the chance to live a settled, self-supporting and fulfilling life.   We are here to provide a mixture of immediate and long term support to anyone who reaches out for help.  Most of our clients meet us at our drop-in day centre, which is open to anyone. Guests will be greeted with a warm welcome from our wonderful volunteers, a delicious hot meal, and the chance to ask for help.  We will then work with our clients, empowering them to work towards their own goals - whatever they may be - and taking the steps they need to, to rebuild their lives. This might include finding housing, finding employment or voluntary work, working towards better financial health, improving their health, or improving relationships. Whatever it is, we are here to support.  We could not be here without the fantastic support of our local community. Whether you're able to donate just once, or to donate once a month - thank you.  All our Supporters who donate on a monthly basis receive news and updates on how your generous donations have been used to help engage, empower, and rebuild the lives of some of the most vulnerable people in our community.  For more information, please feel free to drop us a line at info@windsorhomelessproject.org    Thank you.  ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AlexanderWood&pageUrl=1,,,,0
,,"CEO Sleepout UK",,True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AlyssaRhymes&pageUrl=1,,,,0
,,"Fashion Awareness Direct","We are an award-winning charity which offers young people the opportunity to get ahead with their creative careers.  WE ARE FASHIONING FUTURES  -  We specialise in professional fashion workshops, competitions and live industry experiences. Our projects bring creative young people and professionals together to learn from each other, equipping them with the skills, knowledge and resilience they need to succeed. WE ARE A CREATIVE COMMUNITY - Our young people enjoy on-going support, as well as using their personal experiences to inspire their peers. WE STRIVE FOR A MORE INCLUSIVE FASHION INDUSTRY - We believe that talented young people should be able to progress and thrive, regardless of their personal circumstances, financial situation or ethnic background. OUR ETHOS PLACES THE PERSON AT THE HEART OF DESIGN - We challenge young people to expand their horizons, finding inspiration in culture, social trends and each other. We believe in original thought, creative expression and respect and dignity for the individual.  ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AmiraMbarki&pageUrl=1,,,,0
,,"Bournemouth Young Men's Christian Association","We believe in helping people build a better future – help us combat youth homelessness and enable positive change for young people’s lives. YMCA Bournemouth enables people to develop their full potential in mind, body and spirit. We also support vulnerable people by creating supportive communities where everyone can truly belong, contribute & thrive. The YMCA’s vision is of an inclusive Christian Movement, transforming communities so that everyone truly belongs, contributes and thrives. Here at the YMCA there are a diverse range of programmes helping to serve the needs of the local community from housing, youth work and children’s work to health and fitness. We support children, young people and their families to become all that they can be. The YMCA helps some of the most vulnerable people facing homelessness and provides a safe place to stay with holistic support. Our residents are from all different backgrounds – here is an interview with an Ex-Military Personnel who suffered from Post-Traumatic Stress Disorder and had to leave the army finding himself homeless. Anyone could suddenly find themselves unable to work and YMCA are there to offer a safe place to stay with holistic support needed to return to independent living",False,2021-10-18,"2021-10-18 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AnthonyKaranja&pageUrl=1,2021-10-21,,,60
,,"Youth With A Mission, Bolivia - Operation Restoration","Operation Restoration -  Youth With A Mission Bolivia  Bringing hope to children living on the streets of Bolivia though  street work,  a reception house,  restoration homes  and  reintegration homes",False,2020-09-03,"2020-10-08 50/2020-10-04 10/2020-10-03 15/2020-10-02 50/2020-09-29 200/2020-09-29 30/2020-09-22 80/2020-09-21 50/2020-09-18 15/2020-09-17 50/2020-09-15 115/2020-09-08 30/2020-09-03 75",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=BillOConnor&pageUrl=2,2020-10-08,,,1110
,,Crisis," Crisis is the national charity for homeless people. We are committed to ending homelessness.  Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good. Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it. Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all. We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness.  We know that homelessness is not inevitable. We know that together we can end it. Registered Charity Numbers: E&W1082947, SC040094     ",True,2021-10-18,"2021-10-31 100/2021-10-21 500/2021-10-18 50",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=BretosMargetis&pageUrl=4,2021-10-31,,,650
,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-11,"2021-10-31 200/2021-10-11 20/2021-10-10 15/2021-10-10 10/2021-10-10 20/2021-10-10 20/2021-10-10 50/2021-10-10 100/2021-10-10 15/2021-10-10 50/2021-10-09 10/2021-10-06 15/2021-10-06 15/2021-10-06 10/2021-10-06 40/2021-10-02 20/2021-10-02 20/2021-10-02 500/2021-10-02 20/2021-09-30 10/2021-09-27 10/2021-09-26 20/2021-09-26 30/2021-09-21 20/2021-09-19 25/2021-09-16 45/2021-08-11 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=DarrenShaw7&pageUrl=5,2021-10-31,,,1445
,,Crisis," Crisis is the national charity for homeless people. We are committed to ending homelessness.  Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good. Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it. Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all. We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness.  We know that homelessness is not inevitable. We know that together we can end it. Registered Charity Numbers: E&W1082947, SC040094     ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=EllaDinsdale1&pageUrl=1,,,,0
,,"Bournemouth Young Men's Christian Association","We believe in helping people build a better future – help us combat youth homelessness and enable positive change for young people’s lives. YMCA Bournemouth enables people to develop their full potential in mind, body and spirit. We also support vulnerable people by creating supportive communities where everyone can truly belong, contribute & thrive. The YMCA’s vision is of an inclusive Christian Movement, transforming communities so that everyone truly belongs, contributes and thrives. Here at the YMCA there are a diverse range of programmes helping to serve the needs of the local community from housing, youth work and children’s work to health and fitness. We support children, young people and their families to become all that they can be. The YMCA helps some of the most vulnerable people facing homelessness and provides a safe place to stay with holistic support. Our residents are from all different backgrounds – here is an interview with an Ex-Military Personnel who suffered from Post-Traumatic Stress Disorder and had to leave the army finding himself homeless. Anyone could suddenly find themselves unable to work and YMCA are there to offer a safe place to stay with holistic support needed to return to independent living",True,2021-10-08,"2021-10-08 10/2021-10-08 20/2021-10-08 10/2021-10-08 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=EveMasters1&pageUrl=1,2021-10-08,,,50
,,Crisis," Crisis is the national charity for homeless people. We are committed to ending homelessness.  Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good. Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it. Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all. We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness.  We know that homelessness is not inevitable. We know that together we can end it. Registered Charity Numbers: E&W1082947, SC040094     ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=FinmjKia&pageUrl=1,,,,0
