Key,Activities,Address,Charity,CharityDescription,Complete,Created,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
0,,,"St Andrew's Church High Wycombe","St. Andrew's Church, High Wycombe is an evangelical, outreaching community church on the east-side of the large market town of High Wycombe in Buckinghamshire.   ",True,2014-11-18,"2014-11-18 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=soupkitchen&pageUrl=2&isTeam=true,2014-11-18,,,5
1,,,"Feeding Futures","Feeding Futures We relieve hunger, reduce poverty, promote self-esteem and achieve independence enabling rural Kenyan communities to prosper with sustainable solutions.   A strong value of our programme is  - “Give a man a fish and you feed him for a day …. Teach him how to fish and you feed him for life.”. Whilst this quote is often used to promote long-term instead of short-term impact, we see both as important and our work emphasises each element.  Thank you for visiting our VIRGIN money giving profile page.  Please donate to Feeding Futures to give children and families new opportunities.",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=ChristiaanGeorge&pageUrl=5,,,,0
2,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-27,"2021-10-14 30/2021-10-13 30/2021-10-10 30/2021-10-10 25/2021-10-10 10/2021-10-10 10/2021-10-10 10/2021-10-10 15/2021-10-10 15/2021-10-10 10/2021-10-10 30/2021-10-10 50/2021-10-09 10/2021-10-09 15/2021-10-09 20/2021-10-09 10/2021-10-09 10/2021-10-08 15/2021-10-06 20/2021-10-06 10/2021-10-06 20/2021-10-05 25/2021-10-04 30/2021-09-30 30/2021-09-19 150/2021-09-19 20/2021-09-17 10/2021-09-17 30/2021-09-17 10/2021-09-14 5/2021-09-13 40/2021-09-12 15/2021-09-11 20/2021-09-11 100/2021-09-11 30/2021-09-11 15/2021-09-11 30/2021-09-10 50/2021-09-08 10/2021-09-06 50/2021-08-28 10/2021-08-27 10/2021-08-27 10/2021-08-27 20/2021-08-27 20/2021-08-27 30/2021-08-27 10/2021-08-27 20/2021-08-27 10/2021-08-27 10/2021-08-27 30/2021-08-27 20/2021-08-27 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=OneBigWalkSouptoSoup&pageUrl=1&isTeam=true,2021-10-14,,,1300
3,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-27,"2021-10-14 30/2021-10-13 30/2021-10-10 30/2021-10-10 25/2021-10-10 10/2021-10-10 10/2021-10-10 10/2021-10-10 15/2021-10-10 15/2021-10-10 10/2021-10-10 30/2021-10-10 50/2021-10-09 10/2021-10-09 15/2021-10-09 20/2021-10-09 10/2021-10-09 10/2021-10-08 15/2021-10-06 20/2021-10-06 10/2021-10-06 20/2021-10-05 25/2021-10-04 30/2021-09-30 30/2021-09-19 150/2021-09-19 20/2021-09-17 10/2021-09-17 30/2021-09-17 10/2021-09-14 5/2021-09-13 40/2021-09-12 15/2021-09-11 20/2021-09-11 100/2021-09-11 30/2021-09-11 15/2021-09-11 30/2021-09-10 50/2021-09-08 10/2021-09-06 50/2021-08-28 10/2021-08-27 10/2021-08-27 10/2021-08-27 20/2021-08-27 20/2021-08-27 30/2021-08-27 10/2021-08-27 20/2021-08-27 10/2021-08-27 10/2021-08-27 30/2021-08-27 20/2021-08-27 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=OneBigWalkSouptoSoup&pageUrl=1&isTeam=true,2021-10-14,,,1300
4,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-09-09,"2021-10-15 20/2021-10-15 10/2021-10-11 30/2021-10-11 10/2021-10-10 30/2021-10-10 25/2021-10-10 10/2021-10-10 10/2021-10-10 10/2021-10-10 10/2021-10-10 15/2021-10-10 10/2021-10-09 10/2021-10-09 10/2021-10-09 15/2021-10-09 10/2021-10-08 20/2021-10-08 10/2021-10-08 10/2021-10-08 30/2021-10-07 15/2021-10-07 10/2021-10-06 10/2021-10-06 5/2021-10-06 20/2021-10-06 10/2021-10-06 10/2021-10-06 50/2021-10-06 10/2021-10-05 5/2021-10-05 5/2021-10-03 20/2021-10-02 20/2021-10-02 20/2021-09-28 15/2021-09-27 10/2021-09-27 10/2021-09-27 20/2021-09-27 20/2021-09-27 10/2021-09-27 15/2021-09-26 20/2021-09-26 5/2021-09-26 15/2021-09-25 10/2021-09-25 10/2021-09-25 10/2021-09-25 5/2021-09-25 15/2021-09-25 10/2021-09-25 50/2021-09-25 20/2021-09-24 50/2021-09-24 10/2021-09-24 30/2021-09-23 5/2021-09-22 10/2021-09-20 30/2021-09-17 30/2021-09-14 10/2021-09-12 50/2021-09-12 10/2021-09-09 5/2021-09-09 5/2021-09-09 15/2021-09-09 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SouptoSoupClaireWendyandJayne55km&pageUrl=1&isTeam=true,2021-10-15,,,1120
5,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-27,"2021-10-14 30/2021-10-13 30/2021-10-10 30/2021-10-10 25/2021-10-10 10/2021-10-10 10/2021-10-10 10/2021-10-10 15/2021-10-10 15/2021-10-10 10/2021-10-10 30/2021-10-10 50/2021-10-09 10/2021-10-09 15/2021-10-09 20/2021-10-09 10/2021-10-09 10/2021-10-08 15/2021-10-06 20/2021-10-06 10/2021-10-06 20/2021-10-05 25/2021-10-04 30/2021-09-30 30/2021-09-19 150/2021-09-19 20/2021-09-17 10/2021-09-17 30/2021-09-17 10/2021-09-14 5/2021-09-13 40/2021-09-12 15/2021-09-11 20/2021-09-11 100/2021-09-11 30/2021-09-11 15/2021-09-11 30/2021-09-10 50/2021-09-08 10/2021-09-06 50/2021-08-28 10/2021-08-27 10/2021-08-27 10/2021-08-27 20/2021-08-27 20/2021-08-27 30/2021-08-27 10/2021-08-27 20/2021-08-27 10/2021-08-27 10/2021-08-27 30/2021-08-27 20/2021-08-27 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=OneBigWalkSouptoSoup&pageUrl=1&isTeam=true,2021-10-14,,,1300
6,,,"Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,2021-05-14,"2021-05-14 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AlanKitchener&pageUrl=1,2021-05-14,,,100
7,,,"The Royal Parks","The Royal Parks are one of Britain’s greatest national treasures, to be protected and enjoyed, for today and future generations. Can you imagine London without them? London’s eight amazing Royal Parks offer 5,000 acres of green space to more than 77 million visitors a year – from local Londoners to visitors from around the world. Home to thousands of trees, plants and wildlife species and the setting for historic monuments and landscapes, these vital green sanctuaries give our city space to breathe. It costs more than £35 million to care for these green spaces each year. We work hard to raise funds for a sustainable future for our capital’s green spaces. We are passionate about sharing the magic of the Royal Parks with as many people as possible. As a charity, we work to protect 500 years of history, inspire the next generation with the wonders of the natural world, make London a happier and healthier place to live and conserve precious wildlife.  The Royal Parks are: Hyde, The Green, Richmond, Greenwich, St James’s, Bushy and The Regent’s Parks, and Kensington Gardens. We also manage other important open spaces in the capital including Grosvenor Square Garden, Brompton Cemetery, Victoria Tower Gardens, Canning Green and Poet’s Corner.",True,2016-04-14,"2016-04-14 50/2016-04-14 50/2016-04-14 100",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=ChristineKitchen,2016-04-14,,,200
8,,,"Diabetes UK","Diabetes UK is the charity for people with diabetes, their family, friends and carers. Our mission is to improve the lives of people with the condition and work towards a future without diabetes. Diabetes UK is one of the largest patient organisations in Europe. We stand up for the interests of people with diabetes by campaigning for better standards of care. We are the largest funder in the UK of research into better treatments for diabetes and the search for a cure. We provide practical support and information and safety net services to help people manage their diabetes. For more information please visit our website: www.diabetes.org.uk.",True,2019-10-26,"2019-11-18 35/2019-11-10 20/2019-11-05 15/2019-10-26 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=GuyKitchen&pageUrl=1,2019-11-18,,,100
9,,,"Get Kids Going!","Get Kids Going! is a National charity which gives disabled children and young people - up to the age of 26 years - the wonderful opportunity of participating in sport. We provide them with specially built sports wheelchairs so they can do: athletics, marathons, tennis, skiing, rugby, sailing, boccia, basketball, sledge hockey, table tennis, fencing, shooting, archery, powerlifting and many many sports. Get Kids Going! inspires British disabled youngsters to compete in sporting events, from start to paralympic level, by giving them sports grants to help their; training, physiotherapy, travel, competition fees, design and development of sports wheelchairs etc. With your help many can become world record holders and paralympic champions!  The cost of a bespoke sports wheelchair is about £4000.  A lightweight manual wheelchair is around £2500. An annual sports grant costs on average £2500. All sports wheelchairs are designed individually and perform just like a Formula 1 racing car! In general there are over 200,000 disabled children and young people in Britain who need the help of Get Kids Going!    ",True,2021-08-08,"2021-10-16 10/2021-10-05 10/2021-10-03 25/2021-09-30 30/2021-09-30 50/2021-09-29 30/2021-09-28 30/2021-09-27 15/2021-09-27 15/2021-09-25 50/2021-09-25 15/2021-09-24 15/2021-09-23 50/2021-09-23 15/2021-09-14 50/2021-09-12 15/2021-09-12 25/2021-09-02 15/2021-08-31 20/2021-08-31 10/2021-08-30 15/2021-08-25 15/2021-08-08 15/2021-08-08 50/2021-08-08 15/2021-08-08 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=JanetKitchener&pageUrl=3,2021-10-16,,,620
