Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Help feed our Families ","Everton, North West England, United Kingdom",https://www.gofundme.com/f/support-our-kids-this-christmas,50000,23280,2022-04-06,2020-09-27,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",571,"2022-04-06 10/2022-04-06 10/2022-04-06 5/2022-04-06 50/2022-04-06 5/2022-04-06 10/2022-04-06 10/2022-04-06 10/2022-04-06 10/2022-04-06 25/2022-04-04 10/2022-04-04 10/2022-04-04 5/2022-04-04 5/2022-04-04 10/2022-04-04 18/2022-04-04 25/2022-04-04 5/2022-04-04 5/2022-04-04 15/2022-04-04 25/2022-04-04 20/2022-04-04 5/2022-04-03 27/2022-04-02 20/2022-04-02 50/2022-04-01 30/2022-04-01 20/2022-03-31 200/2022-03-30 20/2022-03-30 5/2022-03-30 20/2022-03-29 100/2022-03-29 15/2022-03-13 20/2022-03-12 10/2022-03-12 30/2022-03-12 10/2022-03-12 5/2022-03-12 5/2022-03-12 50/2022-03-12 10/2022-03-12 10/2022-03-01 20/2022-02-23 10/2022-02-22 50/2022-02-21 5/2022-02-21 10/2022-02-19 10/2022-02-19 20/2022-02-19 10/2022-02-19 10/2022-02-19 10/2022-02-19 10/2022-02-19 100/2022-02-19 30/2022-02-19 10/2022-02-19 20/2022-02-19 100/2022-02-19 20/2022-02-19 20/2022-02-19 20/2022-02-19 20/2022-02-19 50/2022-02-19 20/2022-02-19 20/2022-02-19 20/2022-02-19 10/2022-02-19 50/2022-02-19 30/2022-02-19 20/2022-02-19 10/2022-02-19 10/2022-02-19 5/2022-02-19 20/2022-02-19 5/2022-02-19 10/2022-02-19 10/2022-02-19 10/2022-02-18 25/2022-02-18 5/2022-02-13 300/2022-02-05 500/2022-02-04 10/2022-02-04 10/2022-02-04 10/2022-02-03 5/2022-02-03 150/2022-01-24 5/2022-01-18 50/2022-01-17 30/2022-01-17 10/2022-01-16 100/2022-01-16 20/2022-01-15 100/2022-01-13 5/2022-01-13 18/2022-01-13 10/2022-01-13 10/2022-01-11 50/2022-01-11 50/2022-01-11 50/2022-01-11 30/2022-01-10 25/2022-01-10 10/2022-01-10 100/2022-01-10 5/2022-01-10 5/2022-01-10 20/2022-01-10 40/2021-12-24 20/2021-12-24 30/2021-12-23 20/2021-12-23 20/2021-12-23 50/2021-12-22 200/2021-12-22 8/2021-12-22 24/2021-12-22 16/2021-12-22 16/2021-12-22 16/2021-12-22 100/2021-12-22 20/2021-12-22 8/2021-12-22 24/2021-12-22 20/2021-12-22 5/2021-12-21 20/2021-12-21 30/2021-12-20 100/2021-12-20 20/2021-12-19 10/2021-12-19 10/2021-12-19 10/2021-12-18 24/2021-12-18 16/2021-12-17 25/2021-12-17 20/2021-12-16 8/2021-12-16 16/2021-12-16 40/2021-12-16 8/2021-12-16 24/2021-12-15 250/2021-12-15 10/2021-12-15 100/2021-12-14 24/2021-12-14 24/2021-12-14 10/2021-12-14 8/2021-12-14 8/2021-12-14 8/2021-12-14 8/2021-12-13 8/2021-12-13 50/2021-12-12 100/2021-12-12 8/2021-12-12 20/2021-12-12 5/2021-12-12 30/2021-12-12 8/2021-12-12 16/2021-12-11 10/2021-12-11 100/2021-12-11 135/2021-12-11 20/2021-12-11 25/2021-12-11 50/2021-12-11 100/2021-12-11 10/2021-12-10 30/2021-12-10 100/2021-12-10 25/2021-12-10 1000/2021-12-10 50/2021-12-10 20/2021-12-10 100/2021-12-10 50/2021-12-10 39/2021-12-10 20/2021-12-10 20/2021-12-09 50/2021-12-09 100/2021-12-08 25/2021-12-07 66/2021-12-06 500/2021-12-06 20/2021-12-06 100/2021-12-06 200/2021-12-06 20/2021-12-06 30/2021-12-06 30/2021-12-05 10/2021-12-05 10/2021-12-05 20/2021-12-05 20/2021-12-05 20/2021-12-05 25/2021-12-05 20/2021-12-05 10/2021-12-05 100/2021-12-05 5/2021-12-05 100/2021-12-05 20/2021-12-05 10/2021-12-05 10/2021-12-05 10/2021-12-05 50/2021-12-05 50/2021-12-05 20/2021-12-05 10/2021-12-05 20/2021-12-05 25/2021-12-05 10/2021-12-05 10/2021-12-05 25/2021-12-05 40/2021-12-05 20/2021-12-05 20/2021-12-05 20/2021-12-04 10/2021-12-04 10/2021-12-04 10/2021-12-04 10/2021-12-04 20/2021-12-04 30/2021-12-04 25/2021-12-04 50/2021-12-04 10/2021-12-04 20/2021-12-04 20/2021-12-04 75/2021-12-04 100/2021-12-04 10/2021-12-04 20/2021-12-04 40/2021-12-04 50/2021-12-04 20/2021-12-04 20/2021-12-04 100/2021-12-04 20/2021-12-04 50/2021-12-04 15/2021-12-04 10/2021-12-04 46/2021-12-03 10/2021-12-02 12/2021-11-30 50/2021-11-29 100/2021-11-28 35/2021-11-28 5/2021-11-28 10/2021-11-28 20/2021-11-27 6/2021-11-27 15/2021-11-27 20/2021-11-26 60/2021-11-26 10/2021-11-20 6/2021-11-20 12/2021-11-20 6/2021-11-20 6/2021-11-20 10/2021-11-19 30/2021-11-17 25/2021-11-17 55/2021-11-15 35/2021-11-09 21/2021-11-06 8/2021-11-06 20/2021-11-06 8/2021-11-06 10/2021-11-06 120/2021-11-06 20/2021-11-06 20/2021-11-06 20/2021-11-06 40/2021-11-06 10/2021-11-05 10/2021-11-05 10/2021-11-05 10/2021-11-05 10/2021-11-05 10/2021-11-05 10/2021-11-05 10/2021-11-05 100/2021-11-05 10/2021-11-05 100/2021-11-03 51/2021-11-03 15/2021-11-03 84/2021-10-31 15/2021-10-30 33/2021-10-29 10/2021-10-24 10/2021-10-24 10/2021-10-23 5/2021-10-23 10/2021-10-21 10/2021-10-21 5/2021-10-20 35/2021-10-19 80/2021-10-16 20/2021-10-16 10/2021-10-14 10/2021-10-13 75/2021-10-11 20/2021-10-09 45/2021-10-08 10/2021-10-07 70/2021-10-05 10/2021-10-03 80/2021-10-01 10/2021-10-01 5/2021-10-01 35/2021-09-29 20/2021-09-29 135/2021-09-29 20/2021-09-25 25/2021-09-25 10/2021-09-25 36/2021-09-23 40/2021-09-23 64/2021-09-21 80/2021-09-18 150/2021-09-16 14/2021-09-13 350/2021-09-08 255/2021-09-07 11/2021-09-06 45/2021-09-02 25/2021-08-27 60/2021-08-16 10/2021-08-07 100/2021-08-07 43/2021-08-06 10/2021-08-06 30/2021-08-01 196/2021-07-31 133/2021-07-31 30/2021-07-31 10/2021-07-31 20/2021-07-31 30/2021-07-31 20/2021-07-30 48/2021-07-30 30/2021-07-25 152/2021-07-24 158/2021-07-24 10/2021-07-22 20/2021-07-22 20/2021-07-22 20/2021-07-22 30/2021-07-22 20/2021-07-22 10/2021-07-21 10/2021-07-21 10/2021-07-21 10/2021-07-21 30/2021-07-21 10/2021-07-21 20/2021-07-20 26/2021-07-18 214/2021-07-15 200/2021-07-14 58/2021-07-12 20/2021-07-12 20/2021-07-12 10/2021-07-11 207/2021-07-10 135/2021-07-09 65/2021-07-05 10/2021-07-03 105/2021-07-01 30/2021-07-01 50/2021-06-27 413/2021-06-26 234/2021-06-24 17/2021-06-24 10/2021-06-20 265/2021-06-19 10/2021-06-19 5/2021-06-19 411/2021-06-19 5/2021-06-19 10/2021-06-19 9/2021-06-19 5/2021-06-19 20/2021-06-19 10/2021-06-18 5/2021-06-18 30/2021-06-16 30/2021-06-16 10/2021-06-16 10/2021-06-16 10/2021-06-16 10/2021-06-16 30/2021-06-14 340/2021-06-12 440/2021-06-10 10/2021-06-10 12/2021-06-09 10/2021-06-08 25/2021-06-06 227/2021-06-05 20/2021-06-05 192/2021-06-04 10/2021-05-29 205/2021-05-28 15/2021-05-28 20/2021-05-28 10/2021-05-21 20/2021-05-17 10/2021-05-17 20/2021-05-16 20/2021-05-16 20/2021-05-15 30/2021-05-11 20/2021-05-07 15/2021-05-06 10/2021-05-05 10/2021-04-27 20/2021-04-24 10/2021-04-21 40/2021-04-20 25/2021-04-14 30/2021-04-13 25/2021-04-06 25/2021-04-01 50/2021-03-22 25/2021-03-21 40/2021-03-18 16/2021-03-17 40/2021-03-08 42/2021-03-05 12/2021-03-05 12/2021-03-05 18/2021-03-05 20/2021-02-27 18/2021-02-27 20/2021-02-27 20/2021-02-26 20/2021-02-20 20/2021-02-15 20/2021-02-15 15/2021-02-09 15/2021-02-08 15/2021-02-08 15/2021-02-08 20/2021-02-08 22/2021-01-28 20/2021-01-15 10/2020-12-31 20/2020-12-31 20/2020-12-26 20/2020-12-23 100/2020-12-22 20/2020-12-22 100/2020-12-20 10/2020-12-19 5/2020-12-19 5/2020-12-19 5/2020-12-19 20/2020-12-19 20/2020-12-19 20/2020-12-19 30/2020-12-19 10/2020-12-18 20/2020-12-08 20/2020-12-08 10/2020-12-08 20/2020-12-08 50/2020-12-07 100/2020-12-05 20/2020-12-03 125/2020-12-02 5/2020-12-02 20/2020-12-02 10/2020-12-02 5/2020-12-01 20/2020-12-01 15/2020-11-28 5/2020-11-28 14/2020-11-28 16/2020-11-28 20/2020-11-28 19/2020-11-28 25/2020-11-28 6/2020-11-28 9/2020-11-28 6/2020-11-27 50/2020-11-25 25/2020-11-24 20/2020-11-23 10/2020-11-23 10/2020-11-22 20/2020-11-22 10/2020-11-21 20/2020-11-21 200/2020-11-21 10/2020-11-20 23/2020-11-20 10/2020-11-20 70/2020-11-20 50/2020-11-19 40/2020-11-19 20/2020-11-18 20/2020-11-18 200/2020-11-15 10/2020-11-15 10/2020-11-15 20/2020-11-15 10/2020-11-14 100/2020-11-13 50/2020-11-13 10/2020-11-12 20/2020-11-12 30/2020-11-12 50/2020-11-12 12/2020-11-12 15/2020-11-12 20/2020-11-12 10/2020-11-11 22/2020-11-11 25/2020-11-10 5/2020-11-10 50/2020-11-09 200/2020-11-08 22/2020-11-08 6/2020-11-08 480/2020-11-06 75/2020-11-05 20/2020-11-05 5/2020-11-05 10/2020-11-05 10/2020-11-05 10/2020-11-05 25/2020-11-05 5/2020-11-05 25/2020-11-04 25/2020-11-04 10/2020-11-01 50/2020-10-31 10/2020-10-31 10/2020-10-31 10/2020-10-30 40/2020-10-29 50/2020-10-29 25/2020-10-28 20/2020-10-28 50/2020-10-28 10/2020-10-26 10/2020-10-26 55/2020-10-26 5/2020-10-22 10/2020-10-18 40/2020-10-18 25/2020-10-17 10/2020-10-16 20/2020-10-15 10/2020-10-11 30/2020-10-11 20/2020-10-10 5/2020-10-07 50/2020-10-06 25/2020-10-01 25/2020-09-30 25/2020-09-30 50/2020-09-30 20/2020-09-27 15/2020-09-27 55","Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.    More information about Liverpool Six Community Association: At our Community Centre we provide advice services  lunch clubs  youth clubs  a foodbank  tea dances  short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at throughout the year.",False
" Finedon foodbank storage container. ","Finedon, East Midlands, United Kingdom",https://www.gofundme.com/f/finedon-foodbank-storage-container,600,40,2022-02-22,2022-02-21,,,2,"2022-02-22 20/2022-02-22 20","Hi. As you know Finedon foodbank has to leave it’s premises in two weeks at finedin cricket club .     We have found a storage unit available at £172. 00 a month with one months deposit and two months rent upfront.     We are doing this to try and fund the upfront costs.     ",False
" Chelwood Volunteers Garden Project ","Cheadle Hulme, North West England, United Kingdom",https://www.gofundme.com/f/a-garden-and-outside-space-area-for-volunteers,2000,291,2022-04-05,2022-03-30,"Chelwood Foodbank Plus (Stockport)","Registered nonprofitDonations eligible for Gift Aid.",11,"2022-04-05 50/2022-04-05 50/2022-04-04 20/2022-04-03 10/2022-04-02 6/2022-04-02 20/2022-04-02 10/2022-04-02 50/2022-04-01 5/2022-04-01 50/2022-04-01 20","Hello and thank you for reading my post   I’m trying to raise funds to make this piece of ground into a nice peaceful and much needed area for all our lovely hardworking Foodbank volunteers to have a bit of time out and somewhere to grab a sandwich and a brew   It will be mainly artificial grass for non maintenance with decorative gravel and potted shrubs around it using the existing pub bench and chairs   I’ve had a quote and it’s going to be in the region of £1750   If you can help raise funds to make this happen it would be more than appreciated   Thank you and I know it’s a big ask through these tough times   Love   David   X   We support people throughout Stockport and beyond who are in need of food. Young people  older people  families  we support everyone. People are referred to us by agencies such as the CAB/Stockport Homes/MIND/Social Services etc. We have other projects in the pipeline which are coming soon as we seek to address the root causes of poverty and play our small part in addressing the issues caused by poverty  low pay and unemployment. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for Chelwood Foodbank Plus (Stockport) and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" The Scouse Fundraiser ","Liverpool, North West England, United Kingdom",https://www.gofundme.com/f/the-scouse-fundraiser,2000,970,2022-03-29,2022-02-02,,,19,"2022-03-29 30/2022-03-27 20/2022-03-27 24/2022-03-27 15/2022-03-27 10/2022-03-26 20/2022-03-26 20/2022-03-25 20/2022-03-25 170/2022-03-08 100/2022-03-07 440/2022-02-20 15/2022-02-13 20/2022-02-10 13/2022-02-10 10/2022-02-10 10/2022-02-10 10/2022-02-09 13/2022-02-09 10","Hi everyone  we are putting on several events and challenges over the next 6 months or so  to try and raise much needed funds for charitable groups in Liverpool who look to alleviate poverty.   For the most part  with any money raised we will be supporting the following organisations:   1. Reaching Out - A homeless outreach community group   2. Aid to All - An independent emergency foodbank   3. Sefton Baby Baskets CIO - A charity supporting new mums and babies   4. Halle Obrien CIC - A CIC who provides children living in financial hardship with extra curricular activities to inspire them   We are running ‘Project Hygiene’ alongside this  and will be supporting the first 3 charitable groups through this initiative. I’m a nutshell  through this initiative we will be providing toiletries and household cleaning items to help alleviate hygiene poverty.   At the moment the event calendar is looking as follows:   Scouse Fundraiser 5-a-side Football Tournament - Sunday 6th March    Climb Mount Snowdon - Saturday 26th March   Yorkshire 3 Peak Challenge - Sunday 16th April  Liverpool Cathedral Abseil - Saturday 16th and 23rd July  ",False
" GFTH Cycle from Gloucester to Lands End ","Gloucester, South West England, United Kingdom",https://www.gofundme.com/f/gfth-cycle-from-gloucester-to-lands-end,1000,110,2022-03-07,2022-03-03,,,8,"2022-03-07 20/2022-03-06 10/2022-03-04 10/2022-03-04 20/2022-03-04 20/2022-03-03 10/2022-03-03 10/2022-03-03 10","Hi     My name is Steve Wakefield and I’m involved with an organisation called Gloucester Feed The Hungry (check us out on Facebook).     GFTH was set up just over 5 years ago to provide hot meals  free haircuts  clothing and toiletries to the homeless and vulnerable in our community.    Since then GFTH have set up a full time foodbank and in the past two years have served over 15 000 meals and over 3000 free food parcels to the homeless  vulnerable and those needing a helping hand. Pretty impressive right?!    GFTH have recently started a daily hot food programme with approximately 3500 meals served in the past two months alone.    All this is done with founder Hash Norat holding down a full time job (as well as many of the volunteers too).     We now need your help to raise £10 000 collectively  for us to purchase a food trailer. This will allow us to support more of our homeless and vulnerable in our city but more importantly  all of Gloucestershire.    I am taking part in a fundraising cycle from Gloucester Cathedral to Land's End  to be completed over two days.     Please help us to make our vision a reality  by sponsoring anything you can. Every penny helps!     Your every penny will be supporting our most vulnerable for years to come.     Again  please check us out on Facebook and see all of the great work that we do.     Thank you so much I’m advance.     Steve",False
" Making a difference 2022 ","Great Sankey, North West England, United Kingdom",https://www.gofundme.com/f/making-a-difference-2022,500,50,2022-03-05,2022-02-27,,,3,"2022-03-05 25/2022-03-05 20/2022-02-27 5","The impact Covid has had on so many people is huge leaving people struggling financially and mentally Numbers at foodbanks are increasing day by day  calls to Samaritans total 10000 a day .I class myself lucky that my cupboards are full and that I have family and friends around to talk to but many have no one My walk is for me but many people have asked how they can help so here you go Funds will be split equally between Trussell Trust and Samaritans Thank you for reading  your support last year and your ongoing support   ",False
" Help feed those in need this Ramadan. ","Leatherhead, South East England, United Kingdom",https://www.gofundme.com/f/help-feed-those-in-need-this-ramadan,2000,514,2022-04-03,2022-03-29,,,16,"2022-04-03 10/2022-04-02 50/2022-04-02 14/2022-04-02 50/2022-04-02 25/2022-04-02 100/2022-04-02 10/2022-04-02 50/2022-04-02 50/2022-04-02 5/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 20/2022-04-01 50","Assalaamu Alaykum  it’s that time of year again  it’s time to do yet another food bank donation InshaAllah. Last year we hit £1000 MashAllah  but this year I’m hoping to go a little bit further to £2000 InshaAllah. Given the amount of fact that people are struggling even more this year due to an increase it energy bills and living costs it is becoming even harder for some people  financially. So InshaAllah this year  we will try to ease that. With your kindness and generosity this Ramadan we can hopefully feed over 500 families  InshaAllah beating last years 380 families. May Allah SWT reward you all for your acts of generosity and acts of charity. ",False
" Easter Egg Appeal 2022 ","Chippenham, South West England, United Kingdom",https://www.gofundme.com/f/easter-egg-appeal-2022,200,75,2022-04-05,2022-03-29,"Helping Victims of Domestic Violence in Wiltshire","Registered nonprofitDonations eligible for Gift Aid.",8,"2022-04-05 10/2022-04-05 10/2022-04-04 20/2022-03-31 5/2022-03-31 10/2022-03-31 10/2022-03-31 5/2022-03-31 5","    We need your help !!!!   Each year we run an Easter Egg Appeal  donating Easter Eggs to Children who would otherwise not Receive one. Children in Refuge  Children in safe House  Children that our outreach work with. Also vulnerable children that are identified in our community.   No one should have to feel left out of an age old tradition after all its only an egg   to you and me maybe. But to the poor child its alot more. Firstly it shows someone cares. It showd that they are not being punished for what has just gone on in their life. It also socially includes them as Tommy at school got an egg  well now with your support so did they.   So please don't let the child think they are not getting an egg because they have been bad or because they believe what's gone on with seeing Violence and abuse is their fault. !! Show them someone does care help with the cost of a few Eggs   We are in need of Chocolate Easter Eggs. Please Donate to help a child this year or Would you Company  School  Group do a Collection ?   Covid has taken enough from our Children please don't let it take their Easter.   Helping victims of Domestic Violence is a charity set up to help Families/individuals that are suffering or involved in associated issues surrounding domestic abuse.   We help from the time of them leaving DV. Through the time they are in refuge or Safe House's through to When they get their keys to their new Empty New Home and Beyond.   We help with Clothes  Toys  essential hygiene items and some nice luxuarys like a face pack or somthing to show them we and you care. Baby items   bottles  Nappies  Food.   Right up to sourcing Furniture and equipment to furnishing their home. Being a Friend and support in times or need.   When covid started in 2019 we also started a food bank to help the local community. We went door to door to ensure the elderly and vulnerable had food and delivered fresh fruit and veg along with Bakery items that had been donated to us through food surplus.   We continue to support the local community from vulnerable children to the elderly and vulnerable adults who are suffering in very hard times.   Please help support a wonderful charity. Working hard to make a difference.   Saving Lives that could be taken during DV !!   All of us are Volunteers there are no paid members of staff within the Charuty. So you know that your donation is not someone's Wage. It does go to the ones that need it   Thank you                 ",False
" Support for Tomi Waziri ","London, Greater London, United Kingdom",https://www.gofundme.com/f/support-for-tomi-waziri,10000,230,2022-04-01,2022-01-24,,,10,"2022-04-01 50/2022-04-01 20/2022-04-01 50/2022-02-13 5/2022-02-01 10/2022-02-01 10/2022-01-29 25/2022-01-26 50/2022-01-24 5/2022-01-24 5","  The Tomi Waziri foundation is dedicated to reigniting hope love and kindness in humanity.   Tomi lost his sight September 2019 to an arm robbery attack on him.He was shot at the face and became blind immediately.Devastated by the bad news when the doctor told him he won’t be able to see again Even almost committing suicide realising the reality of blindness after 27 years of being a sighted person Tomi showed courage and turned his mess to a message He realised he could be a source of hope to millions of people if only he didn’t give up.   Now after a couple of outreach to juvenile homes persons with disabilities and the feed hundred project the organization is launching a food bank dedicated to persons with disabilities and the less privileged in my community here in Nigeria.   The initiative is titled Feed the disabled food bank. The organization plans to launch the food bank project on April 24th 2022.   Your support will be highly appreciated by donating towards the food bank to put a smile on the faces and food on tables of persons with disabilities and the needy here in Nigeria.God bless you as you become an ambassador of love and kindness.   Food stuffs donations like rice  beans  spaghetti  noodles  tomato paste  and the likes will be highly appreciated . For inquiries on how to donate and support     Instagram:   https://instagram.com/tomiwazirifoundation?utm_medium=copy_link    OpenSea : https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/25974020542835949380985582884747750837262786565986079785528810728444674941216/    YouTube: https://youtube.com/playlist?list=PLvfGMvun3MKVlwudILUmXmMblJ_PLKE4q    Please call / WhatsApp : Tel: +2347061766748 For our past event  documentaries and stories watch YouTube link below   Organized by: Tomi Waziri Foundation in collaboration with Grillaz BBQ Bistro Cafe  NOMFRO Technologies &The social park club.      ",False
" PAYBACK TIME ✊ SIMFIT100 ","Leeds, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/payback-time-simfit100,1000,275,2022-03-15,2022-02-16,,,16,"2022-03-15 10/2022-03-15 10/2022-03-14 30/2022-03-14 10/2022-03-14 20/2022-03-12 20/2022-03-12 25/2022-02-22 20/2022-02-22 10/2022-02-17 20/2022-02-16 10/2022-02-16 20/2022-02-16 20/2022-02-16 20/2022-02-16 20/2022-02-16 10","SIMFIT100 have been a sponsor of Vulnerable Citizen Support C.I.C for around 7/8 months - They have supported us with football kits for our mental health team to equipment to money ❤️ This team are amazing in how they support us !!     Now for SIMFIT100 to undertake the ‘Challenge’ - PAYBACK!!!!! ❤️❤️     Instructors of SIMFIT100 will give ‘CONTROL’ to their clients to give them 5 minutes of pure hell - Anything they can think of - can happen   Are SIMFIT100 up for this challenge………     This will take place:   Sunday 10th April 2022   Temple Newsam  10:15am ❤️    In return this will help VCS carry on with the vital duties they do day to day - it will help provide more food for the food bank - help with fuel costs to cover mental health calls - help with our local mental health classes & equipment to keep them going - ❤️❤️ each week we do around 50-100 food parcels to struggling families and try to assist people who are sleeping rough into suitable accommodation ❤️❤️",False
