Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"Rugby Foodbank",5422,Hope4,"Bedford, Central Bedfordshire, Luton",,,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk.
The Hope Centre is open 364 days a year and provides the following help
Homeless and badly housed people are helped to:


Thank you for your support!","8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",07/10/2019,19/04/2020
1,"Luton Foodbank",13157,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",13/03/2020,18/04/2020
2,"Runnymede Foodbank Covid Appeal",20635,"Runnymede Foodbank","Throughout Wales",,"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","£5 will buy a flask for a homeless person
£10 will fund a Christmas dinner for a local family
£21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program
Thank you for your generosity


Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide.
We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis. 
We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively. 
People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses. 
We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future. 
The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS",18/03/2020,19/04/2020
3,"Walton and Hersham Foodbank",16999.52,"St Peters Hersham","West Sussex","RH13 5SA","Monthly meeting of members of the Women's Institute .",,"Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA",20/10/2019,19/04/2020
4,"Dylan Evans",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
5,"Marcus Miller",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
6,"Thomas McShane",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
7,"Annie Trihan",75,"Bow Foodbank",Kent,"TN16 1EX","MEMBERS MEETINGS  LECTURES  DISCUSSIONS  FUND RAISING ACTIVITIES","Corona Virus - Food crisis
As well as looking after the individuals and families who need our help week after week, we are doing everything that we can to support the local community, working with other organisations and with the local council to help to distribute food to those who are self isolating or unable to leave their homes. 
Thank you to everyone who has helped us, especially in these last few weeks. Please support us if you can. Our costs are escalating way beyong our normal budget, but we want to do more. These are difficult times for all of us, but desperate for those with limited access to food for their families. 
Thank you
2 April 2020.


Bow Foodbank is a small independent foodbank based in Bow, east London. Our mission is to provide food and support to anyone in need.
We are fairly unique in our approach: the dignity of each client is foremost, they choose the food they need, and we don't require clients to be referred or have vouchers, prefering to trust each client. 

We provide a warm welcome, tea and a sandwich/cake while clients wait to do their 'shopping'. Free legal advice is available at each foodbank session.




","177 Bow Road,  London,  E3 2SG",17/04/2020,17/04/2020
8,"Elizabeth Richardson",0,"Basingstoke Foodbank",,,,"The Basingstoke Foodbank provides emergency food and support to local people in the Basingstoke and Tadley areas who are in crisis and in danger of going hungry.
Foodbanks are an emergency food service.  We receive and store food donated by individuals, church groups and local businesses and we give out food parcels, in exchange for vouchers issued by 3rd party agencies, who we partner with, who have issued them to their clients as they have judged that they are in crisis.  To prevent dependency on Foodbanks, clients are entitled to up to three consecutive Foodbank vouchers.","Trinity Methodist Church,Sarum Hill  Basingstoke,  RG21 8SR",,
9,"Hannah Groves",123,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",29/02/2020,16/03/2020
10,"Jane Wellens",50,NSPCC,"Kingston Upon Thames, Surrey","KT1 1HL","Presenting a programme of plays and other activities in the Rose Theatre, Kingston and beyond, which advance the education of the public in all aspects of dramatic art.","We’re the only charity fighting to end child abuse in the UK and Channel Islands. That’s why we help children who’ve been abused to rebuild their lives, we protect children at risk, and we find the best ways of preventing child abuse from ever happening.","N S P C C,Weston House  42 Curtain Road,London  EC2A 3NH",21/03/2020,31/03/2020
11,"Jen Collins",0,"Dundee Foodbank",Devon,,,,"Unit 5-6 Dunsinane Avenue,Dunsinane Industrial Estate  Dundee,Angus  DD2 3QN",,
12,"Jo Eayres",50,"Cirencester Foodbank",,,,,"Cirencester Foodbank,Cirencester Baptist Church  Chesterton Lane,Cirencester  GL7 1YE",21/03/2020,21/03/2020
13,"Kal Karim",13305.25,"The Cambridge City Foodbank",,,,,"The Cambridge City Foodbank,2 Orwell House  Cowley Road,Cambridge  CB4 0PP",15/03/2020,18/04/2020
14,"Rebecca Dawn",55,"Scunthorpe Foodbank (a part of Scunthorpe Baptist Church)",Lancashire,"FY6 7EU","Advancing the education of pupils in the school in particular by developing effective relationships between the staff, parents and others associated with the school and engaging in activities or providing facilities or equipment which support the school and advance education of the pupils","Scunthorpe Baptist Church is a local charity responsible for the running of the Scunthorpe Foodbank. All monies donated through this page will be used for the running of the foodbank exclusively. 
Our foodbank is now feeding in excess of 3,000 people every year, of which 1/3 are children under the age of 16. The number of children and adults we feed rises every year.
The foodbank is run almost entirely by volunteers with no paid staff costs attributed to the foodbank by the church. 
We rely entirely on the donations of the public to fund our work, and are grateful for all that we receive, both financial and also in terms of the food that is given.

","Scunthorpe Baptist Church,Ashby Road  Scunthorpe,  DN16 1NR",03/04/2020,04/04/2020
15,"Samantha Scaife",0,"Hull Foodbank",Norfolk,,,"Thank you for visiting our donation page. We supply 3 days emergency food to individuals and families experiencing a short-term crisis.
Please feel free to visit our website or contact us if you have any questions, or would like to know more.


","Jubilee Central,King Edward Street  Hull,  HU1 3SQ",,
